As Crilly is taken back into the cells, he catches my eyes.	0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	ADP PROPN VERB VERB ADV ADP DET NOUN PRON VERB ADJ NOUN
There was a series of engravings on the wall which caught Katherine's eye : dark, sombre images where clusters of fraught figures seemed to howl.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	ADV VERB DET NOUN ADP NOUN ADP DET NOUN ADJ VERB PROPN NOUN PUNCT ADJ ADJ NOUN ADV NOUN ADP ADJ NOUN VERB ADP NOUN
Piper managed to catch Bernice's eye, but the archaeologist only shrugged helplessly.	0 0 0 1 1 1 0 0 0 0 0 0	catch someone's eye	figurative	combined-other	NOUN VERB PART VERB PROPN NOUN CCONJ DET NOUN ADV VERB ADV
Then a mark on the back of the card caught her eye.	0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	ADV DET NOUN ADP DET NOUN ADP DET NOUN VERB ADJ NOUN
Seven goals in as many games caught Graham Taylor's eye but it all went wrong with a missed chance early in his England debut against Spain in September.	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	NUM NOUN ADP ADV ADJ NOUN VERB PROPN PROPN NOUN CCONJ PRON DET VERB ADJ ADP DET VERB NOUN ADV ADP ADJ PROPN NOUN ADP PROPN ADP PROPN
A moving spectator caught her eye as she swung and she hooked into sand on her way to the first of three successive bogeys.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	DET VERB NOUN VERB ADJ NOUN ADP PRON VERB CCONJ PRON VERB ADP NOUN ADP ADJ NOUN ADP DET ADJ ADP NUM ADJ NOUN
nor yet confirm, my eyes were caught	0 0 0 1 1 0 1	catch someone's eye	figurative	misc	CCONJ ADV VERB ADJ NOUN VERB VERB
If I don't want anything I, I just go in there and I think well I 'll just go and see I may see something which catches my eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	ADP PRON VERB VERB NOUN PRON PRON ADV VERB ADV ADV CCONJ PRON VERB INTJ PRON VERB ADV VERB CCONJ VERB PRON VERB VERB NOUN ADJ VERB ADJ NOUN
Sam tried to catch Evelyn's eye, but she was more than usually preoccupied.	0 0 0 1 1 1 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-other	PROPN VERB PART VERB PROPN NOUN CCONJ PRON VERB ADJ ADP ADV VERB
Gabriel turned so that Izzie could not catch his eye.	0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	possessive	PROPN VERB ADV ADP PROPN VERB ADV VERB ADJ NOUN
She stood by the window for some minutes, looking down into Hand and Ball Court, where an old tramp was feeling his way round the walls and trying not to catch people's eyes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	PRON VERB ADP DET NOUN ADP DET NOUN VERB PART ADP PROPN CCONJ PROPN PROPN ADV DET ADJ NOUN VERB VERB ADJ NOUN ADP DET NOUN CCONJ VERB ADV PART VERB NOUN NOUN
She had caught his eye as she came down the aisle.	0 0 1 1 1 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PRON VERB VERB ADJ NOUN ADP PRON VERB ADP DET NOUN
As the Colonel began to swell up with rage, Pooley caught Milton's eye and shot him a warning glance.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	ADP DET PROPN VERB PART VERB PART ADP NOUN PROPN VERB PROPN NOUN CCONJ VERB PRON DET NOUN NOUN
It was a useful means, anyway, of catching her eye.	0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	PRON VERB DET ADJ NOUN ADV ADP VERB ADJ NOUN
Ellen caught my eye, looked down at the ridiculous leaflet, and suddenly we both began to laugh helplessly.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PROPN VERB ADJ NOUN VERB PART ADP DET ADJ NOUN CCONJ ADV PRON DET VERB PART VERB ADV
Age : 25 Fave Labels : Everything and anything that catches her eye.	0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	NOUN PUNCT NUM PROPN PROPN PUNCT NOUN CCONJ NOUN ADJ VERB ADJ NOUN
The Marines were staring morosely out to sea, when a glimmer of unusual movement caught their eyes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	DET PROPN VERB VERB ADV ADP ADP NOUN ADV DET NOUN ADP ADJ NOUN VERB ADJ NOUN
Then he caught Epitot's eye, and realized that he knew it too.	0 0 1 1 1 0 0 0 0 0 0 0	catch someone's eye	literal	combined-inflection	ADV PRON VERB PROPN NOUN CCONJ VERB ADP PRON VERB PRON ADV
They smiled as they caught his eye.	0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	PRON VERB ADP PRON VERB ADJ NOUN
I suggested putting an old lady sitting on a bench with a lace shawl erm er sculpture of so that it represents er Nottingham lace and etcetera and I said it would look more attractive and catch people's eye than what's there at the present.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	catch someone's eye	figurative	combined-other	PRON VERB VERB DET ADJ NOUN VERB ADP DET NOUN ADP DET NOUN VERB ADV INTJ NOUN ADP ADP ADP PRON VERB INTJ PROPN NOUN CCONJ NOUN CCONJ PRON VERB PRON VERB VERB ADV ADJ CCONJ VERB NOUN NOUN ADP NOUN ADV ADP DET NOUN
A little further on a surprisingly clean rag doll caught her eye, which she recognized.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	catch someone's eye	figurative	combined-inflection	DET ADJ ADV ADP DET ADV ADJ NOUN NOUN VERB ADJ NOUN ADJ PRON VERB
well it could be as many as that I mean sit and count it, but there's a lot of variation, there's a lot to catch your eye, I mean the more things contrast with each other, the more you notice them, isn't that true.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	possessive	INTJ PRON VERB VERB ADV ADJ ADP ADP PRON VERB VERB CCONJ VERB PRON CCONJ ADV DET NOUN ADP NOUN ADV DET NOUN PART VERB ADJ NOUN PRON VERB DET ADJ NOUN VERB ADP DET ADJ DET ADV PRON VERB PRON VERB ADV ADJ
She caught Lee's eye and Lee felt an electric shock pass through her.	0 1 1 1 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PRON VERB PROPN NOUN CCONJ PROPN VERB DET ADJ NOUN VERB ADP PRON
ROS:(A flat lie and he knows it and shows it, perhaps catching GUIL's eye ) Niggard of question, but of our demands most free in his reply.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	VERB ADJ NOUN CCONJ PRON VERB PRON CCONJ VERB PRON ADV VERB PROPN NOUN PUNCT PROPN ADP NOUN CCONJ ADP ADJ NOUN ADV ADJ ADP ADJ NOUN
He caught Sandor's eye.	0 1 1 1	catch someone's eye	figurative	combined-inflection	PRON VERB PROPN NOUN
They her eye was caught by a faded and peeling board.	0 1 1 0 1 0 0 0 0 0 0	catch someone's eye	figurative	misc	PRON ADJ NOUN VERB VERB ADP DET VERB CCONJ VERB NOUN
But Cuthbert catches his eye and grins : ‘ Well … stay.’	0 0 1 1 1 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	CCONJ PROPN VERB ADJ NOUN CCONJ NOUN PUNCT PUNCT INTJ PUNCT NOUN
For this reason my eye was caught one day by a small box - ad at the bottom of the column :	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	misc	ADP DET NOUN ADJ NOUN VERB VERB NUM NOUN ADP DET ADJ NOUN PUNCT NOUN ADP DET NOUN ADP DET NOUN PUNCT
She was lowering herself from the tip - toe that she needed to look over the panelled backing of the window display when something else caught her eye, further down the road.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	catch someone's eye	figurative	combined-inflection	PRON VERB VERB PRON ADP DET NOUN PUNCT NOUN ADJ PRON VERB PART VERB ADP DET VERB NOUN ADP DET NOUN NOUN ADV NOUN ADV VERB ADJ NOUN ADV ADP DET NOUN
But now one of them catches my eye because I recognize the handwriting.	0 0 0 0 0 1 1 1 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	CCONJ ADV NUM ADP PRON VERB ADJ NOUN ADP PRON VERB DET NOUN
But really it was the buzzards and the kestrels circling overhead that caught my eye as we made our way down the coastal path.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	CCONJ ADV PRON VERB DET NOUN CCONJ DET NOUN VERB ADV ADJ VERB ADJ NOUN ADP PRON VERB ADJ NOUN ADP DET ADJ NOUN
Jo caught her mother's eye and saw that she, too, was amused by her father's instant expertise in their business.	0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PROPN VERB ADJ NOUN NOUN CCONJ VERB ADP PRON ADV VERB VERB ADP ADJ NOUN ADJ NOUN ADP ADJ NOUN
Unfortunately —’ he caught Owen's eye meaningfully —‘they can not answer for others.’	0 0 0 1 1 1 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	ADV ADV PRON VERB PROPN NOUN ADV PRON VERB ADV VERB ADP X
Erm being that I, one of the bits which I think catches your eye is this little house here, although there's lots of them about, because this one tends to be in a slightly darker area, and for some reason that, the light on there is sort of picking that one out rather more than all the others, and I think that's quite a nice little feature.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	NOUN VERB ADP PRON NUM ADP DET NOUN ADJ PRON VERB VERB ADJ NOUN VERB DET ADJ NOUN ADV ADP ADV NOUN ADP PRON ADP ADP DET NOUN VERB PART VERB ADP DET ADV ADJ NOUN CCONJ ADP DET NOUN ADP DET NOUN ADP ADV VERB ADV ADV VERB ADP NUM ADP ADV ADJ ADP ADJ DET NOUN CCONJ PRON VERB DET ADJ DET ADJ ADJ NOUN
He caught Carol's eye, and winked.	0 1 1 1 0 0	catch someone's eye	figurative	combined-inflection	PRON VERB PROPN NOUN CCONJ VERB
They were standing in the kitchen loading the dishwasher and putting the salads in the fridge when a picture caught her eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	PRON VERB VERB ADP DET NOUN VERB DET NOUN CCONJ VERB DET NOUN ADP DET NOUN ADV DET NOUN VERB ADJ NOUN
Ah well, ' he continued unhappily, having caught his wife's eye, ' least said soonest mended, I dare say. '	0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	INTJ INTJ PUNCT PRON VERB ADV VERB VERB ADJ NOUN NOUN PUNCT ADJ VERB ADV ADJ PRON VERB VERB PUNCT
Then she caught Chris's eyes, and yes, it was, after all.	0 0 1 1 1 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	ADV PRON VERB PROPN NOUN CCONJ INTJ PRON VERB ADV ADV
Something else caught his eye.	0 0 1 1 1	catch someone's eye	figurative	combined-inflection	NOUN ADV VERB ADJ NOUN
On his way back to his office, Patterson caught my eye and without breaking his stride, he tapped his wristwatch ( I put odds on a Rolex ) and held up five fingers.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	ADP ADJ NOUN ADV ADP ADJ NOUN PROPN VERB ADJ NOUN CCONJ ADP VERB ADJ NOUN PRON VERB ADJ NOUN PUNCT PRON VERB NOUN ADP DET PROPN PUNCT CCONJ VERB PART NUM NOUN
But direct observation does give you the colours and you do become more accurate, even though sunlight and shadows move so fast during the time it takes to paint such a scene that the particular arrangement that caught your eye in the first place has long since gone by the time the picture is finished!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	CCONJ ADJ NOUN VERB VERB PRON DET NOUN CCONJ PRON VERB VERB ADV ADJ ADV ADP NOUN CCONJ NOUN VERB ADV ADV ADP DET NOUN PRON VERB PART VERB ADJ DET NOUN ADJ DET ADJ NOUN ADJ VERB ADJ NOUN ADP DET ADJ NOUN VERB ADV ADV VERB ADP DET NOUN DET NOUN VERB VERB
A prostitute caught Graham's eye but he shook his head before she could get off her bar stool.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	DET NOUN VERB PROPN NOUN CCONJ PRON VERB ADJ NOUN ADP PRON VERB VERB ADP ADJ NOUN NOUN
.. ’ The policewoman sounded very wretched, almost distraught, and catching her eye, Sergeant Camb gave her a sharp reproving glance.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PUNCT PUNCT DET NOUN VERB ADV ADJ ADV ADJ CCONJ VERB ADJ NOUN PROPN PROPN VERB PRON DET ADJ NOUN NOUN
Dream of the Heart, Passionate Fire, and Fire of the Heart in particular caught his eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	NOUN ADP DET PROPN PROPN PROPN CCONJ NOUN ADP DET NOUN ADP ADJ VERB ADJ NOUN
I glance behind to catch Maggie's eyes.	0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	PRON VERB PART PART VERB PROPN NOUN
I kind of caught her eye when the others weren't looking.	0 0 0 1 1 1 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PRON ADV ADV VERB ADJ NOUN ADV DET NOUN VERB VERB
Among the slow - moving crowds slender, graceful Annamese girls wearing traditional skilken ao dai caught their eye again and again.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	catch someone's eye	figurative	combined-inflection	ADP DET ADV PUNCT VERB NOUN ADJ ADJ ADJ NOUN VERB ADJ ADJ ADP NOUN VERB ADJ NOUN ADV CCONJ ADV
The Under - Secretary will have a chance to catch Mr. Speaker's eye later, no doubt.	0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0	catch someone's eye	figurative	combined-other	DET PROPN PUNCT PROPN VERB VERB DET NOUN PART VERB PROPN PROPN NOUN ADV ADV NOUN
Among the chaos and competition, however, one lucky reader caught our eye.	0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	ADP DET NOUN CCONJ NOUN ADV NUM ADJ NOUN VERB ADJ NOUN
Either side of him sat a large, so lid man : one caught Marcus's eye and he began an earnest inspection of the floor.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	DET NOUN ADP PRON VERB DET ADJ ADV ADJ NOUN PUNCT NOUN VERB PROPN NOUN CCONJ PRON VERB DET ADJ NOUN ADP DET NOUN
From time to time, too, Jenna caught Alain's dark eyes watching her through the driving mirror, and she was greatly relieved when they began to skirt Paris.	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	ADP NOUN ADP NOUN ADV PROPN VERB PROPN ADJ NOUN VERB PRON ADP DET NOUN NOUN CCONJ PRON VERB ADV VERB ADV PRON VERB PART VERB PROPN
These lovely curls and the pretty floral headband caught our eye.	0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	DET ADJ NOUN CCONJ DET ADV ADJ NOUN VERB ADJ NOUN
Over Jack's shoulder, she caught her friend's eye and put a finger to her lips.	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	ADP PROPN NOUN PRON VERB ADJ NOUN NOUN CCONJ VERB DET NOUN ADP ADJ NOUN
An emaciated fellow with jet black hair, thin lips and large brooding eyes caught the friar's eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	catch someone's eye	figurative	combined-inflection	DET VERB NOUN ADP NOUN ADJ NOUN ADJ NOUN CCONJ ADJ NOUN NOUN VERB DET NOUN NOUN
She looked at Mairi, who happened to glance over and catch her eye ; and the woman howled and started to moan at the very sight of the wee lass.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	possessive	PRON VERB ADP PROPN NOUN VERB PART VERB PART CCONJ VERB ADJ NOUN PUNCT CCONJ DET NOUN VERB CCONJ VERB PART VERB ADP DET ADJ NOUN ADP DET ADJ NOUN
He caught Emily's eye on him and looked away quickly.	0 1 1 1 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PRON VERB PROPN NOUN ADP PRON CCONJ VERB ADV ADV
‘ The crudest joke against the human race lies in that sweaty farce by which we are first formed and given life —’ the words caught his eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	PUNCT DET ADJ NOUN ADP DET ADJ NOUN VERB ADP DET ADJ NOUN ADP ADJ PRON VERB ADV VERB CCONJ VERB NOUN ADV DET NOUN VERB ADJ NOUN
When the task was almost over Marcus, who had been solemn, caught Ludens's eye in the mirror and smiled, and Ludens smiled too.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	ADV DET NOUN VERB ADV ADP PROPN NOUN VERB VERB ADJ VERB PROPN NOUN ADP DET NOUN CCONJ VERB CCONJ PROPN VERB ADV
Marcus caught his eye and spread his hands in confusion.	0 1 1 1 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PROPN VERB ADJ NOUN CCONJ VERB ADJ NOUN ADP NOUN
He tried to catch the attendant's eye but the man was already turning away and reaching for the nozzle of the pump hose.	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-other	PRON VERB PART VERB DET NOUN NOUN CCONJ DET NOUN VERB ADV VERB ADV CCONJ VERB ADP DET NOUN ADP DET NOUN NOUN
She stepped forward a moment to admire a cabinet of gleaming silver — quite the most beautiful collection imaginable — and it was in that moment that something caught her eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	PRON VERB ADV DET NOUN PART VERB DET NOUN ADP VERB NOUN PUNCT ADJ DET ADV ADJ NOUN ADJ PUNCT CCONJ PRON VERB ADP DET NOUN ADP NOUN VERB ADJ NOUN
A big black Labrador, catching his eye, thumped her tail and rolled on her side, looking up at him hopefully.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	DET ADJ ADJ PROPN VERB ADJ NOUN VERB ADJ NOUN CCONJ VERB ADP ADJ NOUN VERB PART ADP PRON ADV
As he stood watching Massingham looked up, caught his eye, and moved down the nave towards him.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	ADP PRON VERB VERB PROPN VERB PART VERB ADJ NOUN CCONJ VERB ADP DET NOUN ADP PRON
