It leads to the Gulag, you know, and is patriarchal to boot(translation : Marx had a beard ).	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	to boot	figurative	insertion-determiner	PRON VERB ADP DET PROPN PRON VERB CCONJ VERB ADJ ADP NOUN PUNCT PROPN VERB DET NOUN PUNCT
When Dyson was hidden beneath the bonnet again Bob tiptoed round to the boot and eased it open.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	to boot	literal	insertion-determiner	ADV PROPN VERB VERB ADP DET NOUN ADV PROPN VERB ADV ADP DET NOUN CCONJ VERB PRON ADJ
Alexei offered a hand to her, and when she took it he stood, meeting her gaze steadily, while she stepped from slipper to boot first with one foot, and then with the other.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	to boot	literal	identical	PROPN VERB DET NOUN ADP PRON CCONJ ADV PRON VERB PRON PRON VERB VERB ADJ NOUN ADV ADP PRON VERB ADP NOUN ADP NOUN ADV ADP NUM NOUN CCONJ ADV ADP DET ADJ
All good games going by the reports and super goals to boot.	0 0 0 0 0 0 0 0 0 0 1 1	to boot	figurative	identical	DET ADJ NOUN VERB ADP DET NOUN CCONJ ADJ NOUN ADP NOUN
Where many teams would be content to boot the ball deep and far, the Boks have shown that they don't mind taking a risk or three at the highest level — very exciting and very dangerous.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to boot	literal	identical	ADV ADJ NOUN VERB VERB ADJ PART VERB DET NOUN ADV CCONJ ADV DET NOUN VERB VERB ADP PRON VERB VERB VERB DET NOUN CCONJ NUM ADP DET ADJ NOUN PUNCT ADV ADJ CCONJ ADV ADJ
‘ I still think it's a bit odd that not only are your staff here all women, but also all stunningly attractive to boot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	to boot	figurative	identical	PUNCT PRON ADV VERB PRON DET NOUN ADJ ADP ADV ADV VERB ADJ NOUN ADV DET NOUN CCONJ ADV DET ADV ADJ ADP NOUN
A machine that refuses to boot indicates incorrect power supply connections or sometimes a reversed IDE hard disk ribbon cable.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to boot	literal	identical	DET NOUN ADJ VERB ADP NOUN VERB ADJ NOUN NOUN NOUN CCONJ ADV DET ADJ PROPN ADJ NOUN NOUN NOUN
Hispanic house with a sunshine vibe and a Fabi Paras facelift to boot.	0 0 0 0 0 0 0 0 0 0 0 1 1	to boot	figurative	identical	ADJ NOUN ADP DET NOUN NOUN CCONJ DET PROPN PROPN VERB ADP NOUN
The pay was welcome and there might well be plunder to boot, not to mention the excitement.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	to boot	figurative	identical	DET NOUN VERB ADJ CCONJ ADV VERB ADV VERB VERB ADP NOUN ADV PART VERB DET NOUN
They had wooden clubs in their fists and steel - capped toes to their boots, and they used them viciously.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	to boot	literal	combined-inflection	PRON VERB ADJ NOUN ADP ADJ NOUN CCONJ NOUN PUNCT VERB NOUN ADP ADJ NOUN CCONJ PRON VERB PRON ADV
Unused as I am to public scribbling, and tardy to boot(I've just read your December / January issue ), I felt I had to thank you for saving me time and trouble ( not to mention hard - won shekels ), in a search for something which obviously does not exist.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to boot	figurative	insertion-determiner	ADJ ADP PRON VERB ADP ADJ NOUN CCONJ ADJ PART VERB ADV VERB ADJ PROPN SYM PROPN NOUN PUNCT PRON VERB PRON VERB PART VERB PRON ADP VERB PRON NOUN CCONJ NOUN PUNCT ADV PART VERB ADV PUNCT VERB NOUN PUNCT ADP DET NOUN ADP NOUN ADJ ADV VERB ADV VERB
And an artist to boot.	0 0 0 1 1	to boot	figurative	identical	CCONJ DET NOUN ADP NOUN
But everyone in the financial markets knows that the EFSF has insufficient firepower to undertake that task – and that it has an un workable governance structure to boot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	to boot	figurative	identical	CCONJ NOUN ADP DET ADJ NOUN VERB ADP DET PROPN VERB ADJ NOUN PART VERB ADP NOUN PUNCT CCONJ ADP PRON VERB DET NOUN ADJ NOUN NOUN ADP NOUN
Trying to boot off the hard disk loads to the same screen and I 'm locked out.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to boot	literal	identical	VERB PART VERB PART DET ADJ NOUN NOUN ADP DET ADJ NOUN CCONJ PRON VERB VERB PART
Microsoft sent my friend a USB to boot from, because his Surface~2 was broken, can I use it to download Windows~8 onto my Macbook Pro?	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to boot	literal	identical	PROPN VERB ADJ NOUN DET NOUN ADP NOUN ADP ADP ADJ PROPN VERB VERB VERB PRON VERB PRON PART VERB ADV ADP ADJ PROPN NOUN
Now family reasons can be anything from baby's colic to a wife running off with the milkman, and there is no arguing with them, because it is indelicate to inquire further, and potentially embarrassing to boot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	to boot	figurative	identical	ADV NOUN NOUN VERB VERB NOUN ADP NOUN NOUN ADP DET NOUN VERB PART ADP DET NOUN CCONJ ADV VERB DET VERB ADP PRON ADP PRON VERB ADJ PART VERB ADV CCONJ ADV ADJ ADP NOUN
It has been much improved over the previous version and humanized, to boot.	0 0 0 0 0 0 0 0 0 0 0 1 1	to boot	figurative	identical	PRON VERB VERB ADV VERB ADP DET ADJ NOUN CCONJ VERB ADP NOUN
Plastic containers, cans and trays line our shop shelves and we have come to expect at least two - fold wrapping and a carrier bag to boot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	to boot	figurative	identical	ADJ NOUN NOUN CCONJ NOUN VERB ADJ NOUN NOUN CCONJ PRON VERB VERB PART VERB ADV ADV NUM PUNCT NOUN NOUN CCONJ DET NOUN NOUN ADP NOUN
This tread is less damaging to your boots or shoes when pushing the spade in with your foot, but the soil tends to pack beneath it.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to boot	literal	combined-inflection	DET NOUN VERB ADV ADJ ADP ADJ NOUN CCONJ NOUN ADV VERB DET NOUN PART ADP ADJ NOUN CCONJ DET NOUN VERB PART VERB ADP PRON
Now Benjamin had unmasked many a killer and brought numerous murderers to boot.	0 0 0 0 0 0 0 0 0 0 0 1 1	to boot	figurative	identical	ADV PROPN VERB VERB ADJ DET NOUN CCONJ VERB ADJ NOUN ADP NOUN
Thieves broke into the vehicle and gained access to the boot.	0 0 0 0 0 0 0 0 1 0 1	to boot	literal	insertion-determiner	NOUN VERB ADP DET NOUN CCONJ VERB NOUN ADP DET NOUN
Having lost in the last group match against Australia 6–0 and punctured an eardrum to boot, he admits he felt depressed.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	to boot	figurative	identical	VERB VERB ADP DET ADJ NOUN NOUN ADP PROPN NUM CCONJ VERB DET NOUN ADP NOUN PRON VERB PRON VERB ADJ
So western business people contemplating putting a foot in Eastern waters can often tap a ready source of advice in their local communications companies — one that speaks their own language, to boot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	to boot	figurative	identical	ADV ADJ NOUN NOUN VERB VERB DET NOUN ADP PROPN NOUN VERB ADV VERB DET ADJ NOUN ADP NOUN ADP ADJ ADJ NOUN NOUN PUNCT NUM ADJ VERB ADJ ADJ NOUN ADP NOUN
Many years ago, supermarket bread acquired a reputation which has proved almost impossible to shake off ; any colour you like as long as it is white, and probably thin sliced and steamed to boot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	to boot	figurative	identical	ADJ NOUN ADV NOUN NOUN VERB DET NOUN ADJ VERB VERB ADV ADJ PART VERB PART PUNCT DET NOUN PRON VERB ADV ADV ADP PRON VERB ADJ CCONJ ADV ADJ VERB CCONJ VERB ADP NOUN
Arriving, triumphant, in Ulm in the late afternoon, I had within half an hour found the worst hotel I had been in in years, with the modest staff and a parking ticket to boot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	to boot	figurative	identical	VERB NOUN ADP PROPN ADP DET ADJ NOUN PRON VERB ADP ADJ DET NOUN VERB DET ADJ NOUN PRON VERB VERB ADP ADP NOUN ADP DET ADJ NOUN CCONJ DET NOUN NOUN ADP NOUN
Bennett was considered an upstart, and a civilian upstart to boot, in spite of Point Cook and his Short Service Commission, not to mention his formidable flying experience and technical background.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to boot	figurative	identical	PROPN VERB VERB DET NOUN CCONJ DET ADJ NOUN ADP NOUN ADP NOUN ADP PROPN PROPN CCONJ ADJ PROPN PROPN PROPN ADV PART VERB ADJ ADJ NOUN NOUN CCONJ ADJ NOUN
She certainly did not, in the vast school hall, in front of two hundred other parents, in a very loud voice, need to tell the maths teacher that she was a moron and incompetent to boot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	to boot	figurative	identical	PRON ADV VERB ADV ADP DET ADJ NOUN NOUN ADP NOUN ADP NUM NUM ADJ NOUN ADP DET ADV ADJ NOUN VERB PART VERB DET NOUN NOUN ADP PRON VERB DET ADJ CCONJ ADJ ADP NOUN
Try to boot into recovery and reinstall windows.	0 1 1 0 0 0 0 0	to boot	literal	identical	VERB PART VERB ADP NOUN CCONJ ADJ NOUN
‘ Well, excuse me, Mrs Sutherland, but a kid with no ma, no pa but they 're both alive, living near by and rich to boot, while some matron, fine though she may be, is paid to take care of him and he works vacations?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to boot	figurative	identical	PUNCT INTJ VERB PRON PROPN PROPN CCONJ DET NOUN ADP DET NOUN INTJ INTJ CCONJ PRON VERB DET ADJ VERB ADV ADP CCONJ ADJ ADP NOUN ADP DET NOUN ADJ ADP PRON VERB VERB VERB VERB PART VERB NOUN ADP PRON CCONJ PRON VERB NOUN
Somnolent now within its low grey walls and stumpy towers, it was once rich on salt, and powerful to boot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	to boot	figurative	identical	PROPN ADV ADP ADJ ADJ ADJ NOUN CCONJ NOUN NOUN PRON VERB ADV ADJ ADP NOUN CCONJ ADJ ADP NOUN
Samsung has clearly decided it's make or break time for the company in the UK PC market, launching a completely new range of low cost machines and adding a couple of new laser printers to boot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	to boot	figurative	identical	PROPN VERB ADV VERB PRON VERB CCONJ VERB NOUN ADP DET NOUN ADP DET PROPN NOUN NOUN VERB DET ADV ADJ NOUN ADP ADJ NOUN NOUN CCONJ VERB DET NOUN ADP ADJ NOUN NOUN ADP NOUN
The man was worse than she 'd thought, not just egocentric but mad, to boot.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	to boot	figurative	identical	DET NOUN VERB ADJ ADP PRON VERB VERB ADV ADV ADJ CCONJ ADJ ADP NOUN
' ’ Wonderful bum,’Ken said, ‘ Marvellous and working class to boot’.’	0 0 0 0 0 0 0 0 0 0 1 1	to boot	figurative	dashes	PUNCT PUNCT ADJ NOUN VERB PUNCT ADJ CCONJ ADJ NOUN ADP PROPN
It was only after the war that Jean - Claude's parents followed Mme Guérigny's brothers and their wives to Paris, the soil of la Sologne clinging to their boots.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to boot	literal	combined-inflection	PRON VERB ADV ADP DET NOUN ADJ PROPN PUNCT PROPN NOUN VERB PROPN PROPN NOUN CCONJ ADJ NOUN ADP PROPN DET NOUN ADP DET PROPN VERB ADP ADJ NOUN
Straps are the traditional method and give a very secure fit to the boot if used correctly ( Fig 2 ) ; but this is time consuming and cold on the fingers.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to boot	literal	insertion-determiner	NOUN VERB DET ADJ NOUN CCONJ VERB DET ADV ADJ NOUN ADP DET NOUN ADP VERB ADV PUNCT NOUN NUM PUNCT PUNCT CCONJ DET VERB NOUN VERB CCONJ ADJ ADP DET NOUN
Only four, and a gardener to boot	0 0 0 0 0 1 1	to boot	figurative	identical	ADV NUM CCONJ DET NOUN ADP NOUN
‘ Not only a chauvinist, but a voyeur to boot!’	0 0 0 0 0 0 0 0 1 1	to boot	figurative	dashes	PUNCT ADV ADV DET NOUN CCONJ DET NOUN PART VERB
The idea behind it is to cover practically every graphics eventually in one integrated bundle, with loads of fonts and clip - art to boot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	to boot	figurative	identical	DET NOUN ADP PRON VERB PART VERB ADV DET NOUN ADV ADP NUM VERB NOUN ADP NOUN ADP NOUN CCONJ NOUN PUNCT NOUN ADP NOUN
She became one of the greatest sportswomen of the century and was stunningly beautiful to boot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	to boot	figurative	identical	PRON VERB NUM ADP DET ADJ NOUN ADP DET NOUN CCONJ VERB ADV ADJ ADP NOUN
And before Mala could lash at him again, he explained, and terrified me right down to my boots.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to boot	literal	combined-inflection	CCONJ ADP PROPN VERB VERB ADP PRON ADV PRON VERB CCONJ VERB PRON ADV ADV ADP ADJ NOUN
And they are environmentally dirty to boot.	0 0 0 0 0 1 1	to boot	figurative	identical	CCONJ PRON VERB ADV ADJ ADP NOUN
Despite all that had gone before, the public and their representatives were stunned to learn that bankers had systematically undermined the foundations of a global market benchmark – one with London in its name to boot – for personal gain.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	to boot	figurative	identical	ADP DET ADJ VERB VERB ADV DET NOUN CCONJ ADJ NOUN VERB ADJ PART VERB ADP NOUN VERB ADV VERB DET NOUN ADP DET ADJ NOUN NOUN PUNCT NUM ADP PROPN ADP ADJ NOUN ADP NOUN PUNCT ADP ADJ NOUN
The other exciting thing was the leeches er because the monsoon hadn't finished there were lots of leeches around, and I 'd imagined these huge things that were going to suck me to death, but they 're actually little, like, just very very tiny little worms, about erm an inch long and very thin and what they do is they sit on leaves and things and as you walk by they get flicked on to your boots or your socks and then they wiggle their way in and they, you can't feel them there, but what they do is they suck your blood until they explode	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to boot	literal	combined-inflection	DET ADJ ADJ NOUN VERB DET NOUN INTJ ADP DET NOUN VERB VERB ADV VERB NOUN ADP NOUN ADV CCONJ PRON VERB VERB DET ADJ NOUN ADJ VERB VERB PART VERB PRON ADP NOUN CCONJ PRON VERB ADV ADJ INTJ ADV ADV ADV ADJ ADJ NOUN ADP ADJ DET NOUN ADJ CCONJ ADV ADJ CCONJ NOUN PRON VERB VERB PRON VERB ADP NOUN CCONJ NOUN CCONJ ADP PRON VERB ADP PRON VERB VERB PART ADP ADJ NOUN CCONJ ADJ NOUN CCONJ ADV PRON VERB ADJ NOUN ADV CCONJ PRON PRON VERB VERB PRON ADV CCONJ NOUN PRON VERB VERB PRON VERB ADJ NOUN ADP PRON VERB
In the words of a close associate of mine, and professional northerner to boot, ‘ It was just a platform for a load of posey, irrelevant southerners to use The Smiths to gain publicity.’	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to boot	figurative	identical	ADP DET NOUN ADP DET ADJ NOUN ADP NOUN CCONJ ADJ NOUN ADP NOUN PUNCT PRON VERB ADV DET NOUN ADP DET NOUN ADP NOUN ADJ NOUN PART VERB DET PROPN PART VERB PRON
Warmed by the Gulf Stream and with an enviably mild climate, it feels like another country — but with all the comforts of home and duty - free shopping to boot!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	to boot	figurative	identical	VERB ADP DET PROPN PROPN CCONJ ADP DET ADV ADJ NOUN PRON VERB ADP DET NOUN PUNCT CCONJ ADP ADJ DET NOUN ADP NOUN CCONJ NOUN PUNCT ADJ NOUN ADP NOUN
There is no truth whatsoever to any suggestion that he is anything less than lustily heterosexual ( and spousally loyal to boot ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	to boot	figurative	identical	ADV VERB DET NOUN ADV ADP DET NOUN ADP PRON VERB NOUN ADJ ADP ADV ADJ PUNCT CCONJ ADV ADJ ADP NOUN PUNCT
It has worked well until recently, when it failed to boot to drive C and this message came up on the screen :	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	to boot	literal	identical	PRON VERB VERB ADV ADP ADV ADV PRON VERB PART VERB PART VERB PROPN CCONJ DET NOUN VERB PART ADP DET NOUN PUNCT
25 tracks and pair of fat lips to boot	0 0 0 0 0 0 0 1 1	to boot	figurative	identical	NUM NOUN CCONJ NOUN ADP ADJ NOUN ADP NOUN
The station commander, who just happened to be a bit of an oppo of mine called " Bull " Jarmen — a great monster of a fellow and a Kiwi to boot— who was heard to say : " Well, it was very convenient him leaving it there ; you did not have to travel very far to collect it or find out what happened to the undercarriage. "	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to boot	figurative	dashes	DET NOUN NOUN NOUN ADV VERB PART VERB DET NOUN ADP DET NOUN ADP PRON VERB PUNCT PROPN PUNCT PROPN PUNCT DET ADJ NOUN ADP DET NOUN CCONJ DET PROPN ADP NOUN NOUN VERB VERB PART VERB PUNCT PUNCT INTJ PRON VERB ADV ADJ PRON VERB PRON ADV PUNCT PRON VERB ADV VERB PART VERB ADV ADV PART VERB PRON CCONJ VERB PART NOUN VERB ADP DET NOUN PUNCT
