Yet of all the lame ducks I 've met or heard of, she's the lamest.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	lame duck	figurative	inflection	CCONJ ADP ADJ DET ADJ NOUN PRON VERB VERB CCONJ VERB ADP PRON DET ADJ
The sixth, Italy, was to prove something of a lame duck in their company, because of her lack of resources.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	lame duck	figurative	identical	DET ADJ PROPN VERB PART VERB NOUN ADP DET ADJ NOUN ADP ADJ NOUN ADP ADP ADJ NOUN ADP NOUN
JERUSALEM – The resumption of peace talks between Israel and Syria after eight years of saber - rattling is not a diversion from the political troubles of Israel's lame - duck prime ~ minister.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	lame duck	figurative	dashes	PROPN PUNCT DET NOUN ADP NOUN NOUN ADP PROPN CCONJ PROPN ADP NUM NOUN ADP NOUN PUNCT NOUN VERB ADV DET NOUN ADP DET ADJ NOUN ADP PROPN ADJ PUNCT NOUN ADJ PUNCT NOUN
But many commentators believe that there are points of common interest between the government, the traffickers and the traditional ruling class, and that Mr Barco, a lame - duck president in the closing months of his administration, may no longer have the power within his own party to sustain his offensive.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lame duck	figurative	dashes	CCONJ ADJ NOUN VERB ADP ADV VERB NOUN ADP ADJ NOUN ADP DET NOUN DET NOUN CCONJ DET ADJ NOUN NOUN CCONJ ADP PROPN PROPN DET ADJ PUNCT NOUN NOUN ADP DET NOUN NOUN ADP ADJ NOUN VERB ADV ADV VERB DET NOUN ADP ADJ ADJ NOUN PART VERB ADJ NOUN
However, they know that your Company is not a lame duck, but widely described as one of the best managed in the industry.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	lame duck	figurative	identical	ADV PRON VERB ADP ADJ NOUN VERB ADV DET ADJ NOUN CCONJ ADV VERB ADP NUM ADP DET ADV VERB ADP DET NOUN
It has become clear that the House ~ Republicans will steadfastly refuse to vote for any increases in tax rates during the current lame - duck congressional session.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	lame duck	figurative	dashes	PRON VERB VERB ADJ ADP DET PROPN PUNCT PROPN VERB ADV VERB PART VERB ADP DET NOUN ADP NOUN NOUN ADP DET ADJ ADJ PUNCT NOUN ADJ NOUN
Delhi's response has been complicated by the existence of the lame - duck Kashmiri state government of Dr Farooq Abdullah, who fought last month's general election in alliance with the then governing Congress party, and which is deeply unpopular in the valley.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lame duck	figurative	dashes	PROPN NOUN VERB VERB VERB ADP DET NOUN ADP DET ADJ PUNCT NOUN PROPN NOUN NOUN ADP PROPN PROPN PROPN NOUN VERB ADJ NOUN ADJ NOUN ADP NOUN ADP DET ADV VERB PROPN NOUN CCONJ ADJ VERB ADV ADJ ADP DET NOUN
Board of Trade President Michael Heseltine warned rebels they would be left with a lame duck administration if they did not ratify Maastricht.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	lame duck	figurative	identical	PROPN ADP PROPN PROPN PROPN PROPN VERB NOUN PRON VERB VERB VERB ADP DET ADJ NOUN NOUN ADP PRON VERB ADV VERB PROPN
As a result of the no - confidence vote, Poland faces four months with a lame - duck government at a time when hard decisions about privatisation, tax and banking reforms have been left untaken.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lame duck	figurative	dashes	ADP DET NOUN ADP DET DET PUNCT NOUN NOUN PROPN VERB NUM NOUN ADP DET ADJ PUNCT NOUN NOUN ADP DET NOUN ADV ADJ NOUN ADP NOUN NOUN CCONJ NOUN NOUN VERB VERB VERB ADJ
He had turned out to be a lame duck and limped out of her life.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	lame duck	figurative	identical	PRON VERB VERB PART PART VERB DET ADJ NOUN CCONJ VERB ADP ADP ADJ NOUN
It may be desirable to spend what could otherwise be dole money on temporarily subsidizing lame ducks to ease the transition.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	lame duck	figurative	inflection	PRON VERB VERB ADJ PART VERB NOUN VERB ADV VERB ADJ NOUN ADP ADV VERB ADJ NOUN PART VERB DET NOUN
This happened despite the government's claims that it was injecting market discipline into the private sector by not ‘ bailing out lame ducks’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	lame duck	figurative	deletion-determiner	DET VERB ADP DET NOUN NOUN ADP PRON VERB VERB NOUN NOUN ADP DET ADJ NOUN ADP ADV PUNCT VERB PART ADJ NOUN
If I had to nominate those politicians whose views I most trusted, who have most clearly articulated my own fluid, contingent thoughts on the crisis as it developed, I would opt for two pensionable septuagenarians, both of whom I despised in their political heyday : Denis Healey, who sold the Labour government to the IMF, and Ted Heath, who became the Tories ' lamest duck of all.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	lame duck	figurative	misc	ADP PRON VERB PART VERB DET NOUN ADJ NOUN PRON ADV VERB NOUN VERB ADV ADV VERB ADJ ADJ NOUN ADJ NOUN ADP DET NOUN ADP PRON VERB PRON VERB VERB ADP NUM ADJ NOUN DET ADP NOUN PRON VERB ADP ADJ ADJ NOUN PUNCT PROPN PROPN NOUN VERB DET PROPN NOUN ADP DET PROPN CCONJ PROPN PROPN NOUN VERB DET PROPN PART ADJ NOUN ADP DET
In those circumstances, does he really think that a dying Parliament, a week after the Maastricht summit, should empower a lame - duck Prime Minister to use the royal prerogative to sign that treaty without any consultation with the British people whose rights will be affected far more than this Parliament?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lame duck	figurative	dashes	ADP DET NOUN VERB PRON ADV VERB ADP DET VERB PROPN DET NOUN ADP DET PROPN NOUN VERB VERB DET ADJ PUNCT NOUN PROPN PROPN PART VERB DET ADJ NOUN PART VERB DET NOUN ADP DET NOUN ADP DET ADJ NOUN ADJ NOUN VERB VERB VERB ADV ADJ ADP DET PROPN
And Richie was no longer treating him like a lame duck.	0 0 0 0 0 0 0 0 0 1 1	lame duck	figurative	identical	CCONJ PROPN VERB ADV ADV VERB PRON ADP DET ADJ NOUN
We should view the Bill in the light of the package of panic measures that were announced in December, as the rapidly rising tide of repossessions threatened finally to engulf the remnants of this lame - duck Government.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	lame duck	figurative	dashes	PRON VERB VERB DET PROPN ADP DET NOUN ADP DET NOUN ADP NOUN NOUN ADJ VERB VERB ADP PROPN ADP DET ADV VERB NOUN ADP NOUN VERB ADV PART VERB DET NOUN ADP DET ADJ PUNCT NOUN NOUN
The intentions of this government in the ‘ Selsdon’ phase are well known : to regenerate a profitable, fast - growing, internationally competitive British capitalism by creating ‘ incentives’(direct tax cuts ), outlawing the ‘ disruptive’activities of industrial militants, and reducing state ‘ interference’in the workings of the market : no more support for ‘ lame ducks’ ; no more detailed quantitative restriction on credit ; no more incomes policy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	lame duck	figurative	deletion-determiner	DET NOUN ADP DET NOUN ADP DET PUNCT ADJ NOUN VERB ADV VERB PUNCT PART VERB DET ADJ ADV PUNCT VERB ADV ADJ ADJ NOUN ADP VERB PUNCT ADJ NOUN NOUN PUNCT VERB DET PUNCT NOUN ADP ADJ NOUN CCONJ VERB NOUN ADJ NOUN DET NOUN ADP DET NOUN PUNCT DET ADJ NOUN ADP PUNCT ADJ NOUN PUNCT DET ADV ADJ ADJ NOUN ADP NOUN PUNCT DET ADJ NOUN NOUN
As a lame duck, he will even have to contend with an unruly Republican contingent in Congress, as the fight to succeed him will begin immediately.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lame duck	figurative	identical	ADP DET ADJ NOUN PRON VERB ADV VERB PART VERB ADP DET ADJ ADJ NOUN ADP PROPN ADP DET NOUN PART VERB PRON VERB VERB ADV
