Ciggie lands gran in dock	0 0 0 1 1	in the dock	figurative	inflection	PROPN VERB NOUN ADP NOUN
Labourers were found in the docks, railways, factories and domestic spheres, many of them employed on a casual basis.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	inflection	NOUN VERB VERB ADP DET NOUN NOUN NOUN CCONJ ADJ NOUN ADJ ADP PRON VERB ADP DET ADJ NOUN
There are no homes close to the area where the body was found, but workers in the docks area expect to be questioned by police.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the dock	literal	inflection	ADV VERB DET NOUN ADJ ADP DET NOUN ADV DET NOUN VERB VERB CCONJ NOUN ADP DET NOUN NOUN VERB PART VERB VERB ADP NOUN
Er if my choice, I 'd like to be in the docks, but things can not ha happen that way, we 've got a lot o, a lot of the yuppies moving in that area, and that seems to be taking over that area so no chance of a football stadium there.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	inflection	INTJ ADP ADJ NOUN PRON VERB VERB PART VERB ADP DET NOUN CCONJ NOUN VERB ADV INTJ VERB DET NOUN PRON VERB VERB DET NOUN NOUN DET NOUN ADP DET NOUN VERB ADP DET NOUN CCONJ DET VERB PART VERB VERB PART DET NOUN ADV DET NOUN ADP DET NOUN NOUN ADV
The first in the docks area was the Gloucester Steam Mills, arriving around 1840.	0 0 1 0 1 0 0 0 0 0 0 0 0 0	in the dock	literal	inflection	DET ADJ ADP DET NOUN NOUN VERB DET PROPN PROPN PROPN VERB ADP NUM
The street looked much the same — a cul - de - sac, with a brick wall at the far end, closing the road ; and above the wall, towering above the slate - roofed houses, a ship rode at anchor in the Jubilee Dock, its masts and funnels silhouetted against the sky.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0	in the dock	literal	combined-other	DET NOUN VERB ADV DET ADJ PUNCT DET NOUN PUNCT NOUN PUNCT PROPN ADP DET NOUN NOUN ADP DET ADJ NOUN VERB DET NOUN PUNCT CCONJ ADP DET NOUN VERB ADP DET NOUN PUNCT VERB NOUN DET NOUN VERB ADP NOUN ADP DET PROPN PROPN ADJ NOUN CCONJ NOUN ADJ ADP DET NOUN
Ipswich's cereal import and exports continue to play a vital role in the dock's success.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	in the dock	literal	identical	PROPN NOUN NOUN CCONJ NOUN VERB PART VERB DET ADJ NOUN ADP DET NOUN NOUN
The ship ended her seagoing life when she was berthed in the West Old Dock, Leith, in 1928 where she remained until moved to the Newcastle Quay in 1969.	0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	combined-other	DET NOUN VERB ADJ NOUN NOUN ADV PRON VERB VERB ADP DET PROPN PROPN PROPN PROPN ADP NUM ADV PRON VERB ADP VERB ADP DET PROPN PROPN ADP NUM
They were not themselves in the dock.	0 0 0 0 1 0 1	in the dock	figurative	identical	PRON VERB ADV PRON ADP DET NOUN
Christie sat in the dock yesterday gently nodding as if she agreed with the judges ' decision to increase her sentence by 80 per cent.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	PROPN VERB ADP DET NOUN NOUN ADV VERB ADP ADP PRON VERB ADP DET NOUN PART NOUN PART VERB ADJ NOUN ADP NUM NOUN NOUN
The most famous of these, and the only one remaining today is the Cutty Sark, which is now moored in a dry dock at Greenwich in London.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0	in the dock	literal	combined-other	DET ADV ADJ ADP DET CCONJ DET ADJ NOUN VERB NOUN VERB DET PROPN PROPN ADJ VERB ADV VERB PART DET ADJ NOUN ADP PROPN ADP PROPN
Watson, who turned to crime after moving to London, slumped in the dock of Inner London Crown Court as Judge Brian Pryor handed out the sentence on Monday.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	PROPN NOUN VERB ADP NOUN ADP VERB ADP PROPN VERB ADP DET NOUN ADP PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN VERB PART DET NOUN ADP PROPN
One's always in the dock and being questioned, isn't one?	0 0 1 0 1 0 0 0 0 0	in the dock	figurative	identical	PRON ADV ADP DET NOUN CCONJ VERB VERB VERB NUM
And FA official David Bloomfield confirmed that Jones is back in the dock saying : ‘ Vinny Jones has been charged with misconduct, more specifically bringing the game into disrepute.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	CCONJ PROPN NOUN PROPN PROPN VERB ADP PROPN VERB ADV ADP DET NOUN VERB PUNCT PUNCT PROPN PROPN VERB VERB VERB ADP NOUN ADV ADV VERB DET NOUN ADP NOUN
First - time mugger Michael Watson slumped in the dock in disbelief as Judge Brian Pryor told him thugs were making Britain's streets ‘ places of fear’.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	ADJ PUNCT NOUN NOUN PROPN PROPN VERB ADP DET NOUN ADP NOUN ADP PROPN PROPN PROPN VERB PRON NOUN VERB VERB PROPN NOUN PART NOUN ADP NOUN
One of the world's largest wooden sailing ships is in Gloucester docks this weekend to mark the two hundredth birthday of the world's first ship canal.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	determiner-broad	NUM ADP DET NOUN ADJ ADJ NOUN NOUN VERB ADP PROPN NOUN DET NOUN PART VERB DET NUM ADJ NOUN ADP DET NOUN ADJ NOUN NOUN
It would be quite unrealistic to attempt to draw a line in the dock company's operation to limit the amount of trade it can permit at the port.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	identical	PRON VERB VERB ADV ADJ PART VERB PART VERB DET NOUN ADP DET NOUN NOUN NOUN PART VERB DET NOUN ADP NOUN PRON VERB VERB ADP DET NOUN
He had grown up in a quasi - syndicalist tradition in the Liverpool docks, and his influence in the sixties had been thrown behind the growth of the shop - stewards movement and local plant bargaining on a devolved basis very much on the lines of the 1968 Donovan Report.	0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	combined-inflection	PRON VERB VERB PART ADP DET ADV PUNCT ADJ NOUN ADP DET PROPN NOUN CCONJ ADJ NOUN ADP DET NOUN VERB VERB VERB ADP DET NOUN ADP DET NOUN PUNCT NOUN NOUN CCONJ ADJ NOUN NOUN ADP DET ADJ NOUN ADV ADV ADP DET NOUN ADP DET NUM PROPN PROPN
The committee appointed to enquire into the copper trade and mining ( 1799 ), said in their report that copper bolts had never been considered strong enough, and that the practice of copper bottoming was stopped by about 1750, as a result of the losses, and the fact that at one time a third of the navy was in dock under repair.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	in the dock	literal	inflection	DET NOUN VERB PART VERB ADP DET NOUN NOUN CCONJ NOUN PUNCT NUM PUNCT VERB ADP ADJ NOUN ADP NOUN NOUN VERB ADV VERB VERB ADJ ADV CCONJ ADP DET NOUN ADP NOUN NOUN VERB VERB ADP ADV NUM ADP DET NOUN ADP DET NOUN CCONJ DET NOUN ADP ADP NUM NOUN DET NOUN ADP DET NOUN VERB ADP NOUN ADP NOUN
But don't forget this : Gustave has been in the dock before.	0 0 0 0 0 0 0 0 1 0 1 0	in the dock	figurative	identical	CCONJ VERB VERB DET PUNCT PROPN VERB VERB ADP DET NOUN ADV
The wreckage of the gantry now lies in a dry dock.	0 0 0 0 0 0 0 1 0 0 1	in the dock	literal	combined-other	DET NOUN ADP DET NOUN ADV VERB ADP DET ADJ NOUN
SCREAMING relatives were dragged from court yesterday after a joyrider who killed two children was attacked in the dock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	figurative	identical	VERB NOUN VERB VERB ADP NOUN NOUN ADP DET NOUN NOUN VERB NUM NOUN VERB VERB ADP DET NOUN
Oh yes they, that was further in t that was further in the dock	0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	literal	identical	INTJ INTJ PRON DET VERB ADV ADP NOUN ADJ VERB ADV ADP DET NOUN
You were allowed in the dock with children?	0 0 0 1 0 1 0 0	in the dock	literal	identical	PRON VERB VERB ADP DET NOUN ADP NOUN
We have made sure that we get on with as much as we can get through in our help for Iraq through UNHCR, but there is one man — and one man only — who stands in the dock for the denial of resources to the northern Iraqi people, and that is Saddam Hussein.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	PRON VERB VERB ADJ ADP PRON VERB PART ADP ADV ADJ ADP PRON VERB VERB PART ADP ADJ NOUN ADP PROPN ADP PROPN CCONJ ADV VERB NUM NOUN PUNCT CCONJ NUM NOUN ADV PUNCT NOUN VERB ADP DET NOUN ADP DET NOUN ADP NOUN ADP DET ADJ ADJ NOUN CCONJ DET VERB PROPN PROPN
goodies that they 'd got because they all worked in the docks!	0 0 0 0 0 0 0 0 0 1 0 1	in the dock	literal	inflection	NOUN ADP PRON VERB VERB ADP PRON DET VERB ADP DET NOUN
The six - storey warehouses were designed by Telford to stand by the water's edge so that goods could be moved by crane straight from ship to warehouse without the double handling usual in docks of the time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	in the dock	literal	inflection	DET NUM PUNCT NOUN NOUN VERB VERB ADP PROPN PART VERB ADP DET NOUN NOUN ADP ADP NOUN VERB VERB VERB ADP NOUN ADV ADP NOUN PART VERB ADP DET ADJ VERB ADJ ADP NOUN ADP DET NOUN
If, in the jury's opinion, the prosecution had proved beyond all doubt that the two men in the dock were responsible for this brave young constable's demise, then they had but one course, and that was to bring a verdict of guilty of manslaughter.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	ADP ADP DET NOUN NOUN DET NOUN VERB VERB ADP DET NOUN ADP DET NUM NOUN ADP DET NOUN VERB ADJ ADP DET ADJ ADJ NOUN NOUN ADV PRON VERB CCONJ NUM NOUN CCONJ DET VERB PART VERB DET NOUN ADP ADJ ADP NOUN
Eden was instantly plunged into industrial disputes in the docks and on the railways.	0 0 0 0 0 0 0 1 0 1 0 0 0 0	in the dock	literal	inflection	PROPN VERB ADV VERB ADP ADJ NOUN ADP DET NOUN CCONJ ADP DET NOUN
Prosecutor Dorian Lovell - Pank told the court : ‘ A group of people, not all of whom are in the dock, were engaged in the wholesale theft or handling of a vast amount of property.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	NOUN PROPN PROPN PUNCT PROPN VERB DET NOUN PUNCT PUNCT DET NOUN ADP NOUN ADV DET ADP NOUN VERB ADP DET NOUN VERB VERB ADP DET ADJ NOUN CCONJ NOUN ADP DET ADJ NOUN ADP NOUN
So should not the law be changed immediately to prevent the likes of Dr Cox ending up in the dock?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	figurative	identical	ADV VERB ADV DET NOUN VERB VERB ADV PART VERB DET NOUN ADP PROPN PROPN VERB PART ADP DET NOUN
( 4 ) A specific immunity, possessed by accused persons undergoing trial, from being compelled to give evidence, and from being compelled to answer questions put to them in the dock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	literal	identical	PUNCT PUNCT PUNCT DET ADJ NOUN VERB ADP VERB NOUN VERB NOUN ADP VERB VERB PART VERB NOUN CCONJ ADP VERB VERB PART VERB NOUN VERB ADP PRON ADP DET NOUN
The first forcibly draws the reader's attention to the changing costing scene that has placed traditional costing systems in the dock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	figurative	identical	DET ADJ ADV VERB DET NOUN NOUN ADP DET VERB NOUN NOUN ADJ VERB VERB ADJ NOUN NOUN ADP DET NOUN
Across the whole end of the building, stretching from the ceiling down into the river, was a curtain of linked metal like thick over - sized chicken wire, presumably originally installed to keep thieves away from any boat in the dock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	literal	identical	ADP DET ADJ NOUN ADP DET NOUN VERB ADP DET NOUN PART ADP DET NOUN VERB DET NOUN ADP VERB NOUN ADP ADJ ADP PUNCT ADJ NOUN NOUN ADV ADV VERB PART VERB NOUN ADV ADP DET NOUN ADP DET NOUN
The bones most recently found in the docks will be reburied.	0 0 0 0 0 1 0 1 0 0 0	in the dock	literal	inflection	DET NOUN ADV ADV VERB ADP DET NOUN VERB VERB VERB
The embattled Premier will now find himself in the dock at Brighton.	0 0 0 0 0 0 0 1 0 1 0 0	in the dock	figurative	identical	DET ADJ PROPN VERB ADV VERB PRON ADP DET NOUN ADP PROPN
Although occasionally an older vessel may substitute for one in dry dock, many venerable craft have been pensioned off.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the dock	literal	determiner-broad	ADP ADV DET ADJ NOUN VERB VERB ADP NUM ADP ADJ NOUN ADJ ADJ NOUN VERB VERB VERB PART
Over in the dock the accused, a gangling boy of about nineteen, was smirking.	0 1 0 1 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	ADP ADP DET NOUN DET VERB DET VERB NOUN ADP ADP NUM VERB VERB
They came out into a wide waterway which ended in docks.	0 0 0 0 0 0 0 0 0 1 1	in the dock	literal	inflection	PRON VERB PART ADP DET ADJ NOUN ADJ VERB ADP NOUN
Also in the dock are Brendan McCrory ( 26 ), of Dermothill Road ; Hugh McLaughlin ( 20 ), of Ballymurphy Drive ; Anthony Garland ( 19 ), of Divismore Crescent ; Michael Beck ( 20 ), of Ballymurphy Crescent ; and 18-year - olds Ciaran McAllister, of Divismore Park, and Daniel Pettigrew, New Barnsley Crescent.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	ADV ADP DET NOUN VERB PROPN PROPN PUNCT NUM PUNCT ADP PROPN PROPN PUNCT PROPN PROPN PUNCT NUM PUNCT ADP PROPN PROPN PUNCT PROPN PROPN PUNCT NUM PUNCT ADP PROPN PROPN PUNCT PROPN PROPN PUNCT NUM PUNCT ADP PROPN PROPN PUNCT CCONJ NUM PUNCT NOUN PROPN PROPN ADP PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN
He used to work in the dock's offices.	0 0 0 0 1 0 1 0	in the dock	literal	identical	PRON VERB PART VERB ADP DET NOUN NOUN
The Lebanese man in the dock says he was invited back to the flat, and it was Kim who threatened him with a knife.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	identical	DET ADJ NOUN ADP DET NOUN VERB PRON VERB VERB ADV ADP DET ADJ CCONJ PRON VERB PROPN NOUN VERB PRON ADP DET NOUN
‘ There's nothing in the dock except maybe a couple of beer cans and a radio some clumsy bimbo dropped when she was teetering out of a punt in high heels.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	identical	PUNCT ADV NOUN ADP DET NOUN ADP ADV DET NOUN ADP NOUN NOUN CCONJ DET NOUN DET ADJ NOUN VERB ADV PRON VERB VERB ADP ADP DET NOUN ADP ADJ NOUN
Four in dock on car scam charges	0 1 1 0 0 0 0	in the dock	literal	inflection	NUM ADP NOUN ADP NOUN NOUN NOUN
Nex anyway it's quite near Portsmouth and we heard that the first Queen Elizabeth ship, they don't say it's the first but they call this one the Q E Two but there was a Q E One, you see at one time and so we took a coach from there to Southampton because we heard that she was in dock there and so we went and there were crowds of people and all in a queue waiting to go in.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	inflection	NOUN ADV PRON ADV ADP PROPN CCONJ PRON VERB ADP DET ADJ PROPN PROPN NOUN PRON VERB VERB PRON DET ADJ CCONJ PRON VERB DET NOUN DET NOUN NOUN NUM CCONJ ADV VERB DET NOUN NOUN NUM PRON VERB ADP NUM NOUN CCONJ ADV PRON VERB DET NOUN ADP ADV ADP PROPN ADP PRON VERB ADP PRON VERB ADP NOUN ADV CCONJ ADV PRON VERB CCONJ ADV VERB NOUN ADP NOUN CCONJ DET ADP DET NOUN VERB PART VERB ADV
Hugh Fraser predictably had been most anxious to join his friend and colleague in the dock.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	literal	identical	PROPN PROPN ADV VERB VERB ADV ADJ PART VERB ADJ NOUN CCONJ NOUN ADP DET NOUN
It is still open today it ain't in some docks.	0 0 0 0 0 0 0 1 0 1	in the dock	literal	determiner-broad	PRON VERB ADV ADJ NOUN PRON VERB ADP DET NOUN
When prostitute Carol Clarke was found dumped in a canal in Sharpness docks in Gloucestershire in March police interrogated crew members from visiting ships and searched through her extensive list of clients.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	determiner-broad	ADV VERB PROPN PROPN VERB VERB VERB ADP DET NOUN ADP PROPN NOUN ADP PROPN ADP PROPN NOUN VERB NOUN NOUN ADP VERB NOUN CCONJ VERB ADP ADJ ADJ NOUN ADP NOUN
He writes of ‘ the little town Portadown, with its comfortable unpretending houses, its squares and market - place, its pretty quay, with craft along the river, a steamer building in the dock close to mills and warehouses — a pleasant conclusion to this ten miles ' drive ( from Armagh).’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	identical	PRON VERB ADP PUNCT DET ADJ NOUN PROPN ADP ADJ ADJ ADJ NOUN ADJ NOUN CCONJ NOUN PUNCT NOUN ADJ ADV ADV ADP NOUN ADP DET NOUN DET NOUN NOUN ADP DET NOUN ADV ADP NOUN CCONJ NOUN PUNCT DET ADJ NOUN ADP DET NUM NOUN PART NOUN PUNCT ADP PROPN
It is a major move in the dock industry.	0 0 0 0 0 1 0 1 0	in the dock	literal	identical	PRON VERB DET ADJ NOUN ADP DET NOUN NOUN
They were found as workmen dug foundations for a new county court being built in Gloucester docks.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	literal	determiner-broad	PRON VERB VERB ADP NOUN VERB NOUN ADP DET ADJ NOUN NOUN VERB VERB ADP PROPN NOUN
A narrow boat and butty took over three - quarters of an hour to negotiate the locks, however, and an inclined plane was eventually built to speed up traffic by lifting boats in movable docks.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	literal	determiner-broad	DET ADJ NOUN CCONJ NOUN VERB PART NUM PUNCT NOUN ADP DET NOUN PART VERB DET NOUN ADV CCONJ DET ADJ NOUN VERB ADV VERB PART VERB PART NOUN ADP VERB NOUN ADP ADJ NOUN
I said, ‘ What happens to the rubbish lying in the dock when you roll up the curtain?’	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	in the dock	literal	identical	PRON VERB PUNCT NOUN VERB ADP DET ADJ NOUN ADP DET NOUN ADV PRON VERB PART DET NOUN
