Sandy had given the boat a hefty kick before collapsing on the beach in stitches.’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	in stitches	figurative	dashes	PROPN VERB VERB DET NOUN DET ADJ NOUN ADP VERB ADP DET NOUN ADP PUNCT
Thus a sweater with front and back in tuck stitch and sleeves in stocking stitch would have to be split into two files, one containing the front and back pieces and another containing the two sleeves.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in stitches	literal	combined-inflection	ADV DET NOUN ADP NOUN CCONJ ADV ADP NOUN NOUN CCONJ VERB ADP NOUN NOUN VERB VERB PART VERB VERB ADP NUM NOUN NUM VERB DET NOUN CCONJ ADJ NOUN CCONJ DET VERB DET NUM NOUN
And his own unique brand of droll self - mockery had his audiences in stitches.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	in stitches	figurative	identical	CCONJ ADJ ADJ ADJ NOUN ADP NOUN NOUN PUNCT NOUN VERB ADJ NOUN ADP NOUN
He used to have us in stitches at times at Aberdeen, and I 'm sure he does at United.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	in stitches	figurative	identical	PRON VERB PART VERB PRON ADP NOUN ADP NOUN ADP PROPN CCONJ PRON VERB ADJ PRON VERB ADP PROPN
Leaflet number 7071 shows a stocking stitch sweater with garter stitch and cable trimmed sleeves ; leaflet 7072 offers a lovely textured sweater in knot stitch round necked cardigan and sweater pattern ; leaflet 7073 includes instructions for a classic stocking stitch round necked cardigan and sweater pattern ; leaflet 7074 features a textured coat with hood.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in stitches	literal	combined-inflection	NOUN NOUN NUM VERB DET NOUN NOUN NOUN ADP NOUN NOUN CCONJ NOUN VERB NOUN PUNCT NOUN NUM VERB DET ADJ VERB NOUN ADP NOUN NOUN ADJ ADJ NOUN CCONJ NOUN NOUN PUNCT NOUN NUM VERB NOUN ADP DET ADJ NOUN NOUN ADJ ADJ NOUN CCONJ NOUN NOUN PUNCT NOUN NUM VERB DET VERB NOUN ADP NOUN
In class he would play the clown and have the other boys in stitches, but a teacher would walk in and all fingers would point to him.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	in stitches	figurative	identical	ADP NOUN PRON VERB VERB DET NOUN CCONJ VERB DET ADJ NOUN ADP NOUN CCONJ DET NOUN VERB VERB ADV CCONJ DET NOUN VERB VERB ADP PRON
He was a brilliant raconteur, with a wicked wit and a razor tongue, and he had them all in stitches.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	in stitches	figurative	identical	PRON VERB DET ADJ NOUN ADP DET ADJ NOUN CCONJ DET NOUN NOUN CCONJ PRON VERB PRON DET ADP NOUN
I once knitted almost half of the front of a sweater in tuck stitch, continually dropping stitches and muttering at all the time I was spending picking them up.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in stitches	literal	combined-inflection	PRON ADV VERB ADV NOUN ADP DET NOUN ADP DET NOUN ADP NOUN NOUN ADV VERB NOUN CCONJ VERB ADP ADJ DET NOUN PRON VERB VERB VERB PRON PART
However, always remember that the sleeve can be knitted in stocking stitch or with a narrow band of pattern.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in stitches	literal	combined-inflection	ADV ADV VERB ADP DET NOUN VERB VERB VERB ADP VERB NOUN CCONJ ADP DET ADJ NOUN ADP NOUN
They had a comic on the bill who had me in stitches.’	0 0 0 0 0 0 0 0 0 0 1 1	in stitches	figurative	dashes	PRON VERB DET NOUN ADP DET NOUN NOUN VERB PRON ADP PUNCT
Bands usually look better if a few needles at the edges are knitted in stocking stitch which will roll and give a neat firm edge.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	in stitches	literal	combined-inflection	NOUN ADV VERB ADJ ADP DET ADJ NOUN ADP DET NOUN VERB VERB ADP VERB NOUN ADJ VERB VERB CCONJ VERB DET ADJ ADJ NOUN
She found a similar cushion hanging in front of her place, sewn in neat wool stitches.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	in stitches	literal	insertion-other	PRON VERB DET ADJ NOUN VERB ADP NOUN ADP ADJ NOUN VERB ADP ADJ NOUN NOUN
He could keep the table in stitches.’	0 0 0 0 0 1 1	in stitches	figurative	dashes	PRON VERB VERB DET NOUN ADP PUNCT
I 've had her in stitches!	0 0 0 0 1 1	in stitches	figurative	identical	PRON VERB VERB PRON ADP NOUN
A plate of jelly in the White Cliffs Hotel in Dover had the film crew in stitches.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	in stitches	figurative	identical	DET NOUN ADP NOUN ADP DET PROPN PROPN PROPN ADP PROPN VERB DET NOUN NOUN ADP NOUN
