They are also a way of injecting new blood into the Fair.	0 0 0 0 0 0 0 1 1 0 0 0	new blood	figurative	identical	PRON VERB ADV DET NOUN ADP VERB ADJ NOUN ADP DET PROPN
Stockton Twinning Association needs new blood to extend the town's hand of friendship to its twin town of Asnieres - sur - Seine, on the northern outskirts of Paris.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	PROPN PROPN PROPN VERB ADJ NOUN PART VERB DET NOUN NOUN ADP NOUN ADP ADJ ADJ NOUN ADP PROPN PUNCT PROPN PUNCT PROPN ADP DET ADJ NOUN ADP PROPN
The face in the picture was still terrible — more hateful, if possible, than before — and the red on the hand seemed brighter, like new blood.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	new blood	literal	identical	DET NOUN ADP DET NOUN VERB ADV ADJ PUNCT ADV ADJ ADP ADJ ADP ADP PUNCT CCONJ DET NOUN ADP DET NOUN VERB ADJ ADP ADJ NOUN
The state of goth — as catch - all historical movement for the too - ugly and the too - grim and as a modern phenom — is given little credence by UK Decay, the ridiculous Virgin Prunes, the talentless and misguided Christian Death, The Neff's rubbish psychobilly and the new blood's slavering adherence to the Sisters Of Mercy songbook ( eg Rosetta Stone, James Ray, Nosferatu ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	DET NOUN ADP NOUN PUNCT ADP NOUN PUNCT DET ADJ NOUN ADP DET ADV PUNCT ADJ CCONJ DET ADV PUNCT ADJ CCONJ ADP DET ADJ NOUN PUNCT VERB VERB ADJ NOUN ADP PROPN PROPN DET ADJ PROPN PROPN DET NOUN CCONJ ADJ PROPN PROPN DET PROPN NOUN ADV CCONJ DET ADJ NOUN ADJ NOUN ADP DET PROPN ADP PROPN NOUN PUNCT PROPN PROPN PROPN PROPN PROPN PROPN PUNCT
At its best, it extended the family circle and brought in new blood ; it relayed vital personal information ( too often dismissed as gossip ) and offered an informal moot for exchanging opinions and information.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	ADP ADJ ADJ PRON VERB DET NOUN NOUN CCONJ VERB PART ADJ NOUN PUNCT PRON VERB ADJ ADJ NOUN PUNCT ADV ADV VERB ADP NOUN PUNCT CCONJ VERB DET ADJ NOUN ADP VERB NOUN CCONJ NOUN
Mr Hitch's son told me that there was a lack of enthusiasm a few years ago but, with new blood on the committee, it is once again gaining in popularity.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	PROPN PROPN NOUN VERB PRON ADP ADV VERB DET NOUN ADP NOUN DET ADJ NOUN ADV CCONJ ADP ADJ NOUN ADP DET NOUN PRON VERB ADV ADV VERB ADP NOUN
They received an influx of new blood in 1691, during one of the many episodes in the interminable struggle between Austria and Turkey for control of the Balkans.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	PRON VERB DET NOUN ADP ADJ NOUN ADP NUM ADP NUM ADP DET ADJ NOUN ADP DET ADJ NOUN ADP PROPN CCONJ PROPN ADP NOUN ADP DET PROPN
More new blood was emerging.	0 1 1 0 0	new blood	figurative	identical	ADJ ADJ NOUN VERB VERB
He was jealous of new blood, particularly when it was as blue as Angel's, but Luke, who knew how hard it was to get established, had recognized Angel's talent.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	PRON VERB ADJ ADP ADJ NOUN ADV ADV PRON VERB ADV ADJ ADP PROPN CCONJ PROPN NOUN VERB ADV ADV PRON VERB PART VERB VERB VERB VERB PROPN NOUN
Shaikh Khalifa continued during 1990 with his plans to introduce new blood into the country's leading positions ; in January Abdulla Khalid al - Attiya, an experienced commercial banker, was appointed head of the Qatar Monetary Agency [ see p. 37432 ].	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	PROPN PROPN VERB ADP NUM ADP ADJ NOUN PART VERB ADJ NOUN ADP DET NOUN VERB NOUN PUNCT ADP PROPN PROPN PROPN PROPN PUNCT PROPN DET ADJ ADJ NOUN VERB VERB NOUN ADP DET PROPN PROPN PROPN PUNCT VERB NOUN NUM PUNCT
Promoted at the end of last season to Division 1 of the West Middlesex Midweek Cricket League, the team is searching for new blood to add to the pool of players to make sure they stay there.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	VERB ADP DET NOUN ADP ADJ NOUN ADP PROPN NUM ADP DET PROPN PROPN PROPN PROPN PROPN DET NOUN VERB VERB ADP ADJ NOUN PART VERB ADP DET NOUN ADP NOUN PART VERB ADJ PRON VERB ADV
Embryo transfer is potentially the safest way of introducing new blood - lines, though even this is not entirely safe ; the outside of a goat embryo resembles a rolled up hedgehog and can not be washed clean!	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	NOUN NOUN VERB ADV DET ADJ NOUN ADP VERB ADJ NOUN PUNCT NOUN ADP ADV DET VERB ADV ADV ADJ PUNCT DET NOUN ADP DET NOUN NOUN VERB DET VERB PART ADV CCONJ VERB ADV VERB VERB ADJ
If the underlying cause persists, however, then a suffocating blanket of activated lymphocytes surrounds every new blood vessel.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	new blood	literal	identical	ADP DET ADJ NOUN VERB ADV ADV DET VERB NOUN ADP VERB VERB NOUN DET ADJ NOUN NOUN
There's the rapidly - rising Kenny Larkin with his exotically sepulchral ‘ Serena X’, and two deep, dreamy excursions by new blood Dan Curtin.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	new blood	figurative	identical	ADV DET ADV PUNCT VERB PROPN PROPN ADP ADJ ADV NOUN PUNCT PROPN PROPN CCONJ NUM ADJ ADJ NOUN ADP ADJ NOUN PROPN PROPN
They felt they should either bring in new blood or sell the company.	0 0 0 0 0 0 0 1 1 0 0 0 0	new blood	figurative	identical	PRON VERB PRON VERB CCONJ VERB PART ADJ NOUN CCONJ VERB DET NOUN
We 're a little one - paced at the moment, so I want to raise the pace of the training sessions, although that doesn't mean we have to bring in new blood quite yet’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	new blood	figurative	identical	PRON VERB DET ADJ NUM PUNCT VERB ADP DET NOUN CCONJ PRON VERB PART VERB DET NOUN ADP DET NOUN NOUN ADP DET VERB VERB PRON VERB PART VERB PART ADJ NOUN ADV NOUN
In an attempt to find new blood to lead the science research councils, the then education secretary, Sir Keith Joseph, a great proselytizer for the new approach, hired a firm of headhunters.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	ADP DET NOUN PART VERB ADJ NOUN PART VERB DET NOUN NOUN NOUN DET ADJ NOUN NOUN PROPN PROPN PROPN DET ADJ NOUN ADP DET ADJ NOUN VERB DET NOUN ADP NOUN
