Funny thing, heredity ; hit and miss.	0 0 0 0 1 1 1	hit and miss	figurative	identical	ADJ NOUN NOUN PUNCT VERB CCONJ VERB	▁F un ny ▁thing , ▁here d ity ▁ ; ▁hit ▁and ▁miss .	0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADJ ADJ ADJ NOUN NOUN NOUN NOUN NOUN PUNCT PUNCT VERB CCONJ VERB VERB
Whichever form of transport you use, your arrival on time is always hit and miss.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	hit and miss	figurative	identical	ADJ NOUN ADP NOUN PRON VERB ADJ NOUN ADP NOUN VERB ADV VERB CCONJ VERB	▁Which ever ▁form ▁of ▁transport ▁you ▁use , ▁your ▁arrival ▁on ▁time ▁is ▁always ▁hit ▁and ▁miss .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADJ ADJ NOUN ADP NOUN PRON VERB VERB ADJ NOUN ADP NOUN VERB ADV VERB CCONJ VERB VERB
HIT AND MISS FOR MORRISSEY	1 1 1 0 0	hit and miss	figurative	case	PROPN CCONJ PROPN ADP PROPN	▁H IT ▁AND ▁MI SS ▁FOR ▁M OR RIS S EY	1 1 1 1 1 0 0 0 0 0 0	PROPN PROPN CCONJ PROPN PROPN ADP PROPN PROPN PROPN PROPN PROPN
Their copulations can not be the somewhat hit - and - miss gropings practised by the millipedes.	0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0	hit and miss	figurative	dashes	ADJ NOUN VERB ADV VERB DET ADV VERB PUNCT CCONJ PUNCT ADJ NOUN VERB ADP DET NOUN	▁The ir ▁co pul ations ▁can ▁not ▁be ▁the ▁somewhat ▁hit ▁- ▁and ▁- ▁miss ▁gro ping s ▁practised ▁by ▁the ▁milli ped es .	0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0	ADJ ADJ NOUN NOUN NOUN VERB ADV VERB DET ADV VERB PUNCT CCONJ PUNCT ADJ NOUN NOUN NOUN VERB ADP DET NOUN NOUN NOUN NOUN
It was hit and miss, and it was more miss than hit.	0 0 1 1 1 0 0 0 0 0 0 0	hit and miss	figurative	identical	PRON VERB VERB CCONJ VERB CCONJ PRON VERB ADV ADJ ADP VERB	▁It ▁was ▁hit ▁and ▁miss , ▁and ▁it ▁was ▁more ▁miss ▁than ▁hit .	0 0 1 1 1 1 0 0 0 0 0 0 0 0	PRON VERB VERB CCONJ VERB VERB CCONJ PRON VERB ADV ADJ ADP VERB VERB
He says the basic idea is if you understand what's going wrong then you can design any therapy sensibly not on the hit and miss basis it's been done in the past.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	hit and miss	figurative	identical	PRON VERB DET ADJ NOUN VERB ADP PRON VERB NOUN VERB ADJ ADV PRON VERB VERB DET NOUN ADV ADV ADP DET NOUN CCONJ VERB NOUN PRON VERB VERB ADP DET NOUN	▁He ▁says ▁the ▁basic ▁idea ▁is ▁if ▁you ▁understand ▁what ' s ▁going ▁wrong ▁then ▁you ▁can ▁design ▁any ▁therapy ▁sensibly ▁not ▁on ▁the ▁hit ▁and ▁miss ▁basis ▁it ' s ▁been ▁done ▁in ▁the ▁past .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	PRON VERB DET ADJ NOUN VERB ADP PRON VERB NOUN NOUN NOUN VERB ADJ ADV PRON VERB VERB DET NOUN ADV ADV ADP DET NOUN CCONJ VERB NOUN PRON PRON PRON VERB VERB ADP DET NOUN NOUN
These appeals to distinctive class values are not hit - and - miss affairs, but are based on careful research into class preferences for particular goods and services.	0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hit and miss	figurative	dashes	DET NOUN PART VERB NOUN NOUN VERB ADV VERB PUNCT CCONJ PUNCT VERB NOUN CCONJ VERB VERB ADP ADJ NOUN ADP NOUN NOUN ADP ADJ NOUN CCONJ NOUN	▁These ▁appeals ▁to ▁distinctive ▁class ▁values ▁are ▁not ▁hit ▁- ▁and ▁- ▁miss ▁affairs , ▁but ▁are ▁based ▁on ▁careful ▁research ▁into ▁class ▁preferences ▁for ▁particular ▁goods ▁and ▁services .	0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN PART VERB NOUN NOUN VERB ADV VERB PUNCT CCONJ PUNCT VERB NOUN NOUN CCONJ VERB VERB ADP ADJ NOUN ADP NOUN NOUN ADP ADJ NOUN CCONJ NOUN NOUN
When it did work, I was never sure what I 'd done right, and when it didn't, I was never sure what I had done wrong — it was very hit and miss.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	hit and miss	figurative	identical	ADV PRON VERB NOUN PRON VERB ADV ADJ NOUN PRON VERB VERB ADV CCONJ ADV PRON VERB PRON VERB ADV ADJ NOUN PRON VERB VERB ADV PUNCT PRON VERB ADV VERB CCONJ VERB	▁When ▁it ▁did ▁work , ▁I ▁was ▁never ▁sure ▁what ▁I ▁' d ▁done ▁right , ▁and ▁when ▁it ▁did n ' t , ▁I ▁was ▁never ▁sure ▁what ▁I ▁had ▁done ▁wrong ▁ — ▁it ▁was ▁very ▁hit ▁and ▁miss .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADV PRON VERB NOUN NOUN PRON VERB ADV ADJ NOUN PRON VERB VERB VERB ADV ADV CCONJ ADV PRON VERB VERB VERB VERB VERB PRON VERB ADV ADJ NOUN PRON VERB VERB ADV PUNCT PUNCT PRON VERB ADV VERB CCONJ VERB VERB
Why are the hospices and Macmillan nurses able to control pain with precision, while in general wards it is still sometimes a case of hit - and - miss?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1	hit and miss	figurative	dashes	ADV VERB DET NOUN CCONJ PROPN NOUN ADJ PART VERB NOUN ADP NOUN ADP ADP ADJ NOUN PRON VERB ADV ADV DET NOUN ADP NOUN PUNCT CCONJ PUNCT VERB	▁Why ▁are ▁the ▁ho spice s ▁and ▁Mac m illan ▁nurses ▁able ▁to ▁control ▁pain ▁with ▁precision , ▁while ▁in ▁general ▁ward s ▁it ▁is ▁still ▁sometimes ▁a ▁case ▁of ▁hit ▁- ▁and ▁- ▁miss ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1	ADV VERB DET NOUN NOUN NOUN CCONJ PROPN PROPN PROPN NOUN ADJ PART VERB NOUN ADP NOUN NOUN ADP ADP ADJ NOUN NOUN PRON VERB ADV ADV DET NOUN ADP NOUN PUNCT CCONJ PUNCT VERB VERB
Some local authorities are arranging for pick - ups, but it is still a very hit and miss affair.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	hit and miss	figurative	identical	DET ADJ NOUN VERB VERB ADP NOUN PUNCT NOUN CCONJ PRON VERB ADV DET ADV ADJ CCONJ VERB NOUN	▁Some ▁local ▁authorities ▁are ▁arranging ▁for ▁pick ▁- ▁up s , ▁but ▁it ▁is ▁still ▁a ▁very ▁hit ▁and ▁miss ▁affair .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	DET ADJ NOUN VERB VERB ADP NOUN PUNCT NOUN NOUN NOUN CCONJ PRON VERB ADV DET ADV ADJ CCONJ VERB NOUN NOUN
The legal procedure is far too clumsy and hit - and - miss.	0 0 0 0 0 0 0 0 1 0 1 0 1	hit and miss	figurative	dashes	DET ADJ NOUN VERB ADV ADV ADJ CCONJ VERB PUNCT CCONJ PUNCT VERB	▁The ▁legal ▁procedure ▁is ▁far ▁too ▁cl um sy ▁and ▁hit ▁- ▁and ▁- ▁miss .	0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1	DET ADJ NOUN VERB ADV ADV ADJ ADJ ADJ CCONJ VERB PUNCT CCONJ PUNCT VERB VERB
It won't, for example, recognize joined - up writing and even with individual letters it's so hit and miss that you can't write at any speed because you have to go back to correct all the mistakes it makes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hit and miss	figurative	identical	PRON VERB ADP NOUN VERB VERB PUNCT PART NOUN CCONJ ADV ADP ADJ NOUN PRON ADV VERB CCONJ VERB ADP PRON VERB VERB ADP DET NOUN ADP PRON VERB PART VERB ADV PART VERB ADJ DET NOUN PRON VERB	▁It ▁won ' t , ▁for ▁example , ▁recognize ▁joined ▁- ▁up ▁writing ▁and ▁even ▁with ▁individual ▁letters ▁it ' s ▁so ▁hit ▁and ▁miss ▁that ▁you ▁can ' t ▁write ▁at ▁any ▁speed ▁because ▁you ▁have ▁to ▁go ▁back ▁to ▁correct ▁all ▁the ▁mistakes ▁it ▁makes .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB VERB ADP NOUN NOUN VERB VERB PUNCT PART NOUN CCONJ ADV ADP ADJ NOUN PRON PRON PRON ADV VERB CCONJ VERB ADP PRON VERB VERB VERB VERB ADP DET NOUN ADP PRON VERB PART VERB ADV PART VERB ADJ DET NOUN PRON VERB VERB
Quite often though, through various hit - and - miss applications, he would get one of the engines running.	0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0	hit and miss	figurative	dashes	ADV ADV ADV ADP ADJ NOUN PUNCT CCONJ PUNCT VERB NOUN PRON VERB VERB NUM ADP DET NOUN VERB	▁Quit e ▁often ▁though , ▁through ▁various ▁hit ▁- ▁and ▁- ▁miss ▁applications , ▁he ▁would ▁get ▁one ▁of ▁the ▁engines ▁running .	0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV ADV ADV ADP ADJ NOUN PUNCT CCONJ PUNCT VERB NOUN NOUN PRON VERB VERB NUM ADP DET NOUN VERB VERB
The jokes are copious, hit - and - miss and very broad ( the credits include a ' collapsing dunny specialist ' ) : we 're in Life of Brian territory, which may be more congenial here than in America, where the film failed to reproduce its massive success on home turf.	0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hit and miss	figurative	dashes	DET NOUN VERB ADJ VERB PUNCT CCONJ PUNCT VERB CCONJ ADV ADJ PUNCT DET NOUN VERB DET PUNCT VERB NOUN NOUN PUNCT PUNCT PUNCT PRON VERB ADP PROPN ADP PROPN NOUN ADJ VERB VERB ADV ADJ ADV ADP ADP PROPN ADV DET NOUN VERB PART VERB ADJ ADJ NOUN ADP NOUN NOUN	▁The ▁joke s ▁are ▁co p ious , ▁hit ▁- ▁and ▁- ▁miss ▁and ▁very ▁broad ▁( ▁the ▁credits ▁include ▁a ▁' ▁col lapsing ▁du nn y ▁specialist ▁' ▁ ) ▁ : ▁we ▁' re ▁in ▁Life ▁of ▁Brian ▁territory , ▁which ▁may ▁be ▁more ▁con gen ial ▁here ▁than ▁in ▁America , ▁where ▁the ▁film ▁failed ▁to ▁reproduce ▁its ▁massive ▁success ▁on ▁home ▁ tur f .	0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN VERB ADJ ADJ ADJ ADJ VERB PUNCT CCONJ PUNCT VERB CCONJ ADV ADJ PUNCT DET NOUN VERB DET PUNCT VERB VERB NOUN NOUN NOUN NOUN PUNCT PUNCT PUNCT PUNCT PUNCT PRON VERB VERB ADP PROPN ADP PROPN NOUN NOUN ADJ VERB VERB ADV ADJ ADJ ADJ ADV ADP ADP PROPN PROPN ADV DET NOUN VERB PART VERB ADJ ADJ NOUN ADP NOUN NOUN NOUN NOUN NOUN
