‘ He dropped right out of sight then.	0 0 0 0 1 1 1 0	out of sight	figurative	identical	PUNCT PRON VERB ADV ADP ADP NOUN ADV
It wasn't until she was completely out of his sight that she allowed herself to break into a swift trot.	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	out of sight	literal	insertion-other	PRON VERB ADP PRON VERB ADV ADP ADP ADJ NOUN ADP PRON VERB PRON PART VERB ADP DET ADJ NOUN
Out of sight they remained, it was intermission, they were changing their costumes, or making bricks and getting paid for it.	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of sight	literal	case	ADP ADP NOUN PRON VERB PRON VERB NOUN PRON VERB VERB ADJ NOUN CCONJ VERB NOUN CCONJ VERB VERB ADP PRON
She had only seen him when she had climbed the wooden steps up to the promenade : he was out of sight of the kiosk, waiting across the road, almost hidden in the dark cave of an amusement arcade.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of sight	literal	identical	PRON VERB ADV VERB PRON ADV PRON VERB VERB DET ADJ NOUN ADP ADP DET NOUN PUNCT PRON VERB ADP ADP NOUN ADP DET NOUN VERB ADP DET NOUN ADV VERB ADP DET ADJ NOUN ADP DET NOUN NOUN
It even helps tidy the kitchen by keeping all the dirty dishes out of sight.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of sight	literal	identical	PRON ADV VERB VERB DET NOUN ADP VERB ADJ DET ADJ NOUN ADP ADP NOUN
By the time it had been persuaded onwards the victoria was out of sight.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of sight	literal	identical	ADP DET NOUN PRON VERB VERB VERB ADV DET NOUN VERB ADP ADP NOUN
If the unfallen state is being pushed further and further out of sight, it may eventually vanish into unreality.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	out of sight	literal	identical	ADP DET ADJ NOUN VERB VERB VERB ADV CCONJ ADV ADP ADP NOUN PRON VERB ADV VERB ADP NOUN
Then, just before dusk a single figure was spotted again moving out of sight on the small col below the second pinnacle.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	out of sight	literal	identical	ADV ADV ADP NOUN DET ADJ NOUN VERB VERB ADV VERB ADP ADP NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN
He bowed slightly, then shouldered his camera and was soon out of sight.	0 0 0 0 0 0 0 0 0 0 1 1 1	out of sight	literal	identical	PRON VERB ADV ADV VERB ADJ NOUN CCONJ VERB ADV ADP ADP NOUN
' Don't let him out of your sight, ' he said softly.	0 0 0 0 1 1 0 1 0 0 0 0	out of sight	literal	insertion-other	PUNCT VERB VERB PRON ADP ADP ADJ NOUN PUNCT PRON VERB ADV
Following the tidy path through the pines, past a picnic site with slaked wooden tables and large litter bins, she was soon out of sight of any other people.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	out of sight	literal	identical	VERB DET ADJ NOUN ADP DET NOUN ADP DET NOUN NOUN ADP ADJ ADJ NOUN CCONJ ADJ NOUN NOUN PRON VERB ADV ADP ADP NOUN ADP DET ADJ NOUN
If you have a young family a sandpit can be popular but don't site it at the bottom of the garden out of sight.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of sight	literal	identical	ADP PRON VERB DET ADJ NOUN DET NOUN VERB VERB ADJ CCONJ VERB VERB PRON ADP DET NOUN ADP DET NOUN ADP ADP NOUN
Each day was blessed with the same strangely cool weather, until one evening the clear sky suddenly filled with haze and the new moon faded out of sight as though sailing out of orbit into oblivion.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	out of sight	literal	identical	DET NOUN VERB VERB ADP DET ADJ ADV ADJ NOUN ADP NUM NOUN DET ADJ NOUN ADV VERB ADP NOUN CCONJ DET ADJ NOUN VERB ADP ADP NOUN ADP ADP VERB ADP ADP NOUN ADP NOUN
Next moment their wraithlike figures had darted out of sight among the trees like two startled deer.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	out of sight	literal	identical	ADJ NOUN ADJ ADP NOUN VERB VERB ADP ADP NOUN ADP DET NOUN ADP NUM ADJ NOUN
Police believe it's only a matter of time before the robber uses the knife which he keeps out of sight while demanding money.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	out of sight	literal	identical	NOUN VERB PRON ADV DET NOUN ADP NOUN ADP DET NOUN VERB DET NOUN ADJ PRON VERB ADP ADP NOUN ADP VERB NOUN
The guards scurried out of sight.	0 0 0 1 1 1	out of sight	literal	identical	DET NOUN VERB ADP ADP NOUN
Gesturing that she was to follow him, he began to march along the path that led down the hill, and was quickly out of sight.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of sight	literal	identical	VERB ADP PRON VERB PART VERB PRON PRON VERB PART VERB ADP DET NOUN ADJ VERB ADP DET NOUN CCONJ VERB ADV ADP ADP NOUN
Alice stood back away from the trapdoor up into the attic so that she was out of Philip's sight, and took off her sweat shirt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	out of sight	literal	combined-other	PROPN VERB ADV ADV ADP DET NOUN PART ADP DET NOUN ADP ADP PRON VERB ADP ADP PROPN NOUN CCONJ VERB PART ADJ NOUN NOUN
But, as he reached across her to open the door and her fear of being touched didn't materialise, her heartbeat steadied and, contenting herself with a curt nod, she stepped across the threshold and walked briskly down the passageway and out of his sight.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	out of sight	literal	insertion-other	CCONJ ADP PRON VERB ADP PRON PART VERB DET NOUN CCONJ ADJ NOUN ADP VERB VERB VERB VERB ADJ NOUN VERB CCONJ VERB PRON ADP DET ADJ NOUN PRON VERB ADP DET NOUN CCONJ VERB ADV ADP DET NOUN CCONJ ADP ADP ADJ NOUN
When he was almost out of sight she called after him.	0 0 0 0 1 1 1 0 0 0 0	out of sight	literal	identical	ADV PRON VERB ADV ADP ADP NOUN PRON VERB ADP PRON
Laidlaw waited until the prostitute was out of sight then nodded to Graham who had been standing by the tree.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	out of sight	literal	identical	PROPN VERB ADP DET NOUN VERB ADP ADP NOUN ADV VERB ADP PROPN NOUN VERB VERB VERB ADP DET NOUN
Little is done without reference to the mother, and the mother, for her part, may empathically share the child's feelings, and even know telepathically what the child is doing when out of sight.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of sight	literal	identical	ADJ VERB VERB ADP NOUN ADP DET NOUN CCONJ DET NOUN ADP ADJ NOUN VERB ADV VERB DET NOUN NOUN CCONJ ADV VERB ADV NOUN DET NOUN VERB VERB ADV ADP ADP NOUN
And, before Cranston could object, Doctor Mirabilis slipped up another alleyway and disappeared out of sight.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of sight	literal	identical	CCONJ ADP PROPN VERB VERB PROPN PROPN VERB PART DET NOUN CCONJ VERB ADP ADP NOUN
As the car drove off, Chrissie stood in the street and watched it out of sight.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of sight	literal	identical	ADP DET NOUN VERB ADV PROPN VERB ADP DET NOUN CCONJ VERB PRON ADP ADP NOUN
There was a grassy hollow nearby, not a totally private place but well out of sight of the farm.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	out of sight	literal	identical	ADV VERB DET NOUN NOUN ADV ADV DET ADV ADJ NOUN CCONJ ADV ADP ADP NOUN ADP DET NOUN
O'Hara and Freddie Reynalde dragged Geoffrey from the pitch and marched him out of sight behind the club - house.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	out of sight	literal	identical	PROPN CCONJ PROPN PROPN VERB PROPN ADP DET NOUN CCONJ VERB PRON ADP ADP NOUN ADP DET NOUN PUNCT NOUN
When at last I stopped to take breath, the orchard and the whole valley were out of sight and I was in a beautiful forest.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	out of sight	literal	identical	ADV ADP ADJ PRON VERB PART VERB NOUN DET NOUN CCONJ DET ADJ NOUN VERB ADP ADP NOUN CCONJ PRON VERB ADP DET ADJ NOUN
She had a quick look round the room and shoved a few things out of sight in the glory - hole cupboard.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	out of sight	literal	identical	PRON VERB DET ADJ NOUN ADP DET NOUN CCONJ VERB DET ADJ NOUN ADP ADP NOUN ADP DET NOUN PUNCT NOUN NOUN
There was also a certain amount of natural fun and horseplay in the maltings themselves when the foreman or piece - walker was out of sight.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of sight	literal	identical	ADV VERB ADV DET ADJ NOUN ADP ADJ NOUN CCONJ NOUN ADP DET NOUN PRON ADV DET NOUN CCONJ NOUN PUNCT NOUN VERB ADP ADP NOUN
With the balloon tethered to prevent it going up instead of along, there was some confusion over when the race had actually started. A problem compounded by the fact that the Emma Louise was out of sight on the river, so a check would be made separately on her speed.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	out of sight	literal	identical	ADP DET NOUN VERB PART VERB PRON VERB PART ADV ADP ADV ADV VERB DET NOUN ADP ADV DET NOUN VERB ADV VERB DET NOUN VERB ADP DET NOUN ADP DET PROPN PROPN VERB ADP ADP NOUN ADP DET NOUN ADV DET NOUN VERB VERB VERB ADV ADP ADJ NOUN
So I was particularly pleased to find at one point, when I 'd indulged in a lengthy photo session, that the rest of the party had gone over the brow and out of sight and I was left for a while with the world to myself.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	out of sight	literal	identical	ADV PRON VERB ADV ADJ PART VERB ADP NUM NOUN ADV PRON VERB VERB ADP DET ADJ NOUN NOUN ADP DET NOUN ADP DET NOUN VERB VERB ADP DET NOUN CCONJ ADP ADP NOUN CCONJ PRON VERB VERB ADP DET NOUN ADP DET NOUN ADP PRON
Wreckage flew afar, diminishing out of sight.	0 0 0 0 1 1 1	out of sight	literal	identical	NOUN VERB ADV VERB ADP ADP NOUN
Of a sudden, one of the police helicopters shot overhead, startling me with its enormous clatter, as if the thing were a flying tree, streaking out of sight behind the crisp crest of the Jungfrau.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	out of sight	literal	identical	ADP DET ADJ NUM ADP DET NOUN NOUN VERB ADV VERB PRON ADP ADJ ADJ NOUN ADP ADP DET NOUN VERB DET VERB NOUN VERB ADP ADP NOUN ADP DET ADJ NOUN ADP DET PROPN
As many mothers rely on their partners for childcare, they often work out - of - sight, nil - promotion night shifts.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0	out of sight	literal	dashes	ADP ADJ NOUN VERB ADP ADJ NOUN ADP NOUN PRON ADV VERB PART PUNCT ADP PUNCT NOUN ADJ PUNCT NOUN NOUN NOUN
I failed to play a tape throughout the weekend of a drill relentlessly droning away in some shelfless room out of sight.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of sight	literal	identical	PRON VERB PART VERB DET NOUN ADP DET NOUN ADP DET NOUN ADV VERB ADV ADP DET NOUN NOUN ADP ADP NOUN
You get on your bike and find that old lady what were in here just now and you don't let her out of your sight.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	out of sight	literal	insertion-other	PRON VERB ADP ADJ NOUN CCONJ VERB DET ADJ NOUN NOUN VERB ADV ADV ADV ADV CCONJ PRON VERB VERB PRON ADP ADP ADJ NOUN
And the ‘ golden age’ is there once more : glimmering in the distance, just out of sight, back over the next hill, twenty years ago, ‘ before the war’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	out of sight	literal	identical	CCONJ DET PUNCT ADJ PROPN VERB ADV ADV ADV PUNCT VERB ADP DET NOUN ADV ADP ADP NOUN ADV ADP DET ADJ NOUN NUM NOUN ADV PUNCT ADP DET NOUN
Unfortunately for such exotic ideas, even if the ‘ centre of the Universe’ were out of sight, such a peculiar behaviour would be revealed by an asymmetric pattern of redshifts on the sky.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of sight	literal	identical	ADV ADP ADJ ADJ NOUN ADV ADP DET ADJ NOUN ADP DET PROPN VERB ADP ADP NOUN ADJ DET ADJ NOUN VERB VERB VERB ADP DET ADJ NOUN ADP NOUN ADP DET NOUN
But such people forgot that for most Americans television is an inherently incredible medium, and to the extent that in the King case it might be believable, demonstrated merely that Los Angeles police officers were subduing a human who, out of sight of the video camera, might have been threatening these officers with fists, machine pistol or portable Scud missile.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of sight	literal	identical	CCONJ ADJ NOUN VERB ADP ADP ADJ PROPN NOUN VERB DET ADV ADJ NOUN CCONJ ADP DET NOUN ADP ADP DET PROPN NOUN PRON VERB VERB ADJ VERB ADV ADP PROPN PROPN NOUN NOUN VERB VERB DET NOUN NOUN ADP ADP NOUN ADP DET NOUN NOUN VERB VERB VERB VERB DET NOUN ADP NOUN NOUN NOUN CCONJ ADJ PROPN NOUN
‘ Now get out of sight until you see me come back.	0 0 0 1 1 1 0 0 0 0 0 0	out of sight	literal	identical	PUNCT ADV VERB ADP ADP NOUN ADP PRON VERB PRON VERB ADV
But as usual all I saw was the hairy form bounding away out of sight round the corner of the house.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	out of sight	literal	identical	CCONJ ADP ADJ DET PRON VERB VERB DET ADJ NOUN VERB ADV ADP ADP NOUN ADP DET NOUN ADP DET NOUN
Then the van was leaping over rough ground, getting out of sight of the road.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	out of sight	literal	identical	ADV DET NOUN VERB VERB ADP ADJ NOUN VERB ADP ADP NOUN ADP DET NOUN
Any sign of Men and he was off out of sight using the dead ground between rises to stay hidden, and he was careful to rise when he could over ridges where rocks or trees broke the skyline and so camouflaged his presence.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of sight	literal	identical	DET NOUN ADP PROPN CCONJ PRON VERB ADV ADP ADP NOUN VERB DET ADJ NOUN ADP NOUN PART VERB ADJ CCONJ PRON VERB ADJ PART VERB ADV PRON VERB ADP NOUN ADV NOUN CCONJ NOUN VERB DET NOUN CCONJ ADV VERB ADJ NOUN
And that means a reason right there on the spot, otherwise, once out of sight, he 'd simply have made off for wherever it was he wanted to be.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of sight	literal	identical	CCONJ DET VERB DET NOUN ADV ADV ADP DET NOUN ADV ADV ADP ADP NOUN PRON VERB ADV VERB VERB PART ADP ADV PRON VERB PRON VERB PART VERB
The mother was just out of sight around the corner in the kitchen making Mr Wormwood's breakfast which always had to be two fried eggs on fried bread with three pork sausages and three strips of bacon and some fried tomatoes.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of sight	literal	identical	DET NOUN VERB ADV ADP ADP NOUN ADP DET NOUN ADP DET NOUN VERB PROPN PROPN NOUN ADJ ADV VERB PART VERB NUM VERB NOUN ADP VERB NOUN ADP NUM NOUN NOUN CCONJ NUM NOUN ADP NOUN CCONJ DET VERB NOUN
Won't let me out of his sight for a minute, he said.	0 0 0 1 1 0 1 0 0 0 0 0	out of sight	literal	insertion-other	VERB VERB PRON ADP ADP ADJ NOUN ADP DET NOUN PRON VERB
The otter either heard me or got my scent, because it suddenly looked up, then stood up and moved out of sight round the other side of the rock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	out of sight	literal	identical	DET NOUN CCONJ VERB PRON CCONJ VERB ADJ NOUN ADP PRON ADV VERB PART ADV VERB PART CCONJ VERB ADP ADP NOUN ADP DET ADJ NOUN ADP DET NOUN
But, in China, everything takes place out of sight.	0 0 0 0 0 0 1 1 1	out of sight	literal	identical	CCONJ ADP PROPN NOUN VERB NOUN ADP ADP NOUN
Looking over the oak rails, I could see the gallery floor and, further below, the ground - floor area, the spectacular chimney continuing upward and out of sight above the sloping - beamed ceiling.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	out of sight	literal	identical	VERB ADP DET NOUN NOUN PRON VERB VERB DET NOUN NOUN CCONJ ADV ADV DET NOUN PUNCT NOUN NOUN DET ADJ NOUN VERB ADV CCONJ ADP ADP NOUN ADP DET NOUN PUNCT VERB NOUN
They had all been working at stone - gathering, keeping their pageant money out of sight for fear the constables mark them as robbers or miracle - workers.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	out of sight	literal	identical	PRON VERB DET VERB VERB ADP NOUN PUNCT NOUN VERB ADJ ADJ NOUN ADP ADP NOUN ADP NOUN DET NOUN VERB PRON ADP NOUN CCONJ NOUN PUNCT NOUN
Next time she dared look back, the guard in her niche was below and out of sight but there was another just above.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	out of sight	literal	identical	ADJ NOUN PRON VERB VERB ADV DET NOUN ADP ADJ NOUN VERB ADV CCONJ ADP ADP NOUN CCONJ ADV VERB DET ADV ADV
Oddly, though he could never bear to be out of her sight and cried whenever she left him, as soon as his eldest sister, the faithful Cis, got him to her own home he ceased to cry.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of sight	literal	insertion-other	ADV ADP PRON VERB ADV VERB PART VERB ADP ADP ADJ NOUN CCONJ VERB ADV PRON VERB PRON ADV ADV ADP ADJ ADJ NOUN DET ADJ PROPN VERB PRON ADP ADJ ADJ NOUN PRON VERB PART VERB
We must keep out of sight … .’	0 0 0 1 1 1 0 0	out of sight	literal	identical	PRON VERB VERB ADP ADP NOUN PUNCT PUNCT
' Get out of my sight, until we 've finished eating!	0 0 1 1 0 1 0 0 0 0 0	out of sight	literal	insertion-other	PUNCT VERB ADP ADP ADJ NOUN ADP PRON VERB VERB VERB
Pascoe watched them out of sight.	0 0 0 1 1 1	out of sight	figurative	identical	PROPN VERB PRON ADP ADP NOUN
He raked her from head to foot with one long, contemptuous look, then turned on his heel, and strode away under the arch and out of sight.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of sight	literal	identical	PRON VERB PRON ADP NOUN ADP NOUN ADP NUM ADJ ADJ NOUN ADV VERB PART ADJ NOUN CCONJ VERB ADV ADP DET NOUN CCONJ ADP ADP NOUN
First, we have evidence from Renée Baillargeon ( see the Bremner volume referred to above ) that babies as young as three or four months are able to ‘ represent’, in some sense, the continuing existence of an invisible object behind a screen because they show ‘ surprise’ when this out - of - sight object does not resist the backwards movement of the screen.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0	out of sight	literal	dashes	ADV PRON VERB NOUN ADP PROPN PROPN PUNCT VERB DET PROPN NOUN VERB ADP ADV PUNCT ADP NOUN ADV ADJ ADP NUM CCONJ NUM NOUN VERB ADJ PART PUNCT NOUN ADP DET NOUN DET VERB NOUN ADP DET ADJ NOUN ADP DET NOUN ADP PRON VERB PRON NOUN ADV DET ADP PUNCT ADP PUNCT NOUN NOUN VERB ADV VERB DET ADJ NOUN ADP DET NOUN
The column passed out of sight below his feet.	0 0 0 1 1 1 0 0 0	out of sight	literal	identical	DET NOUN VERB ADP ADP NOUN ADP ADJ NOUN
Keep valuables like TVs and video equipment out of sight and make a note of their serial numbers.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	out of sight	literal	identical	VERB NOUN ADP NOUN CCONJ NOUN NOUN ADP ADP NOUN CCONJ VERB DET NOUN ADP ADJ ADJ NOUN
For two full days, Hawk and the horseman travelled the same course, just out of each other's sight, but then, one evening, the presence was gone.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0	out of sight	literal	combined-other	ADP NUM ADJ NOUN PROPN CCONJ DET NOUN VERB DET ADJ NOUN ADV ADP ADP DET ADJ NOUN CCONJ ADV NUM NOUN DET NOUN VERB VERB
At High Tea, Dot was glad when he saw her staring and tidied the strange hand out of sight beneath the table.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	out of sight	literal	identical	ADP PROPN PROPN PROPN VERB ADJ ADV PRON VERB PRON VERB CCONJ VERB DET ADJ NOUN ADP ADP NOUN ADP DET NOUN
Heads roll ( though out of sight of the passengers ) if the local bus is late or the agent is lost.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of sight	literal	identical	NOUN VERB PUNCT ADP ADP ADP NOUN ADP DET NOUN PUNCT ADP DET ADJ NOUN VERB ADJ CCONJ DET NOUN VERB VERB
He waited until she was out of sight before raising his hand to where her mouth had rested.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	out of sight	literal	identical	PRON VERB ADP PRON VERB ADP ADP NOUN ADP VERB ADJ NOUN ADP ADV ADJ NOUN VERB VERB
Bob watched her all the way down the stairs, agonized on her behalf ; still more agonized when it occurred to him, just as she went out of sight, that he should have gone down with her and carried the case.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	out of sight	literal	identical	PROPN VERB PRON ADJ DET NOUN ADP DET NOUN VERB ADP ADJ NOUN PUNCT ADV ADV ADJ ADV PRON VERB ADP PRON ADV ADP PRON VERB ADP ADP NOUN ADP PRON VERB VERB VERB PART ADP PRON CCONJ VERB DET NOUN
Inspector comes in — up goes the radio to the ventilator out of sight.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of sight	literal	identical	NOUN VERB ADP PUNCT NOUN VERB DET NOUN ADP DET NOUN ADP ADP NOUN
And occasionally, when the market or those subterranean voices demand, they will get their due accord before dropping back out of sight.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of sight	literal	identical	CCONJ ADV ADV DET NOUN CCONJ DET ADJ NOUN VERB PRON VERB VERB ADJ ADJ NOUN ADP VERB ADV ADP ADP NOUN
" Come in, he's out of sight, " said his sister, obviously leading her mother in by the hand.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	out of sight	literal	identical	PUNCT VERB PART PRON ADP ADP NOUN PUNCT VERB ADJ NOUN ADV VERB ADJ NOUN ADP ADP DET NOUN
Naylor stepped to one side, and Travis went hurriedly out of sight.	0 0 0 0 0 0 0 0 0 1 1 1	out of sight	literal	identical	PROPN VERB ADP NUM NOUN CCONJ PROPN VERB ADV ADP ADP NOUN
He saw it drop out of sight below the lip.	0 0 0 0 1 1 1 0 0 0	out of sight	figurative	identical	PRON VERB PRON VERB ADP ADP NOUN ADP DET NOUN
