Blows in combat also suffer a -1 on the dice roll to hit.	0 0 0 0 0 0 0 1 0 0 1 0 0	on a roll	literal	combined-other	NOUN ADP NOUN ADV VERB DET NOUN ADP DET NOUN NOUN PART VERB	▁B low s ▁in ▁combat ▁also ▁suffer ▁a ▁-1 ▁on ▁the ▁dic e ▁roll ▁to ▁hit .	0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0	NOUN NOUN NOUN ADP NOUN ADV VERB DET NOUN ADP DET NOUN NOUN NOUN PART VERB VERB
If you are no longer acting for any of the appellants shown as being represented by you on the enclosed Roll, you should inform this office, in writing, at least seven days before the hearing date, enclosing a copy of your letter to the appellant informing him / her that you are no longer acting, giving him / her details of the date, time and place of the Appeal hearing and that he / she must attend to present his / her Appeal and that failure to appear may result in the Appeal being dismissed.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	literal	combined-other	ADP PRON VERB ADV ADV VERB ADP DET ADP DET NOUN VERB ADP VERB VERB ADP PRON ADP DET VERB PROPN PRON VERB VERB DET NOUN ADP NOUN ADP ADJ NUM NOUN ADP DET NOUN NOUN VERB DET NOUN ADP ADJ NOUN ADP DET NOUN VERB PRON SYM PRON ADP PRON VERB ADV ADV VERB VERB PRON SYM ADJ NOUN ADP DET NOUN NOUN CCONJ NOUN ADP DET PROPN NOUN CCONJ ADP PRON PUNCT PRON VERB VERB PART VERB ADJ SYM ADJ NOUN CCONJ DET NOUN PART VERB VERB VERB ADP DET PROPN VERB VERB	▁If ▁you ▁are ▁no ▁longer ▁acting ▁for ▁any ▁of ▁the ▁appellant s ▁shown ▁as ▁being ▁represented ▁by ▁you ▁on ▁the ▁enclosed ▁Roll , ▁you ▁should ▁inform ▁this ▁office , ▁in ▁writing , ▁at ▁least ▁seven ▁days ▁before ▁the ▁hearing ▁date , ▁en c losing ▁a ▁copy ▁of ▁your ▁letter ▁to ▁the ▁appellant ▁informing ▁him ▁/ ▁her ▁that ▁you ▁are ▁no ▁longer ▁acting , ▁giving ▁him ▁/ ▁her ▁details ▁of ▁the ▁date , ▁time ▁and ▁place ▁of ▁the ▁Appeal ▁hearing ▁and ▁that ▁he ▁/ ▁she ▁must ▁attend ▁to ▁present ▁his ▁/ ▁her ▁Appeal ▁and ▁that ▁failure ▁to ▁appear ▁may ▁result ▁in ▁the ▁Appeal ▁being ▁dismissed .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PRON VERB ADV ADV VERB ADP DET ADP DET NOUN NOUN VERB ADP VERB VERB ADP PRON ADP DET VERB PROPN PROPN PRON VERB VERB DET NOUN NOUN ADP NOUN NOUN ADP ADJ NUM NOUN ADP DET NOUN NOUN NOUN VERB VERB VERB DET NOUN ADP ADJ NOUN ADP DET NOUN VERB PRON SYM PRON ADP PRON VERB ADV ADV VERB VERB VERB PRON SYM ADJ NOUN ADP DET NOUN NOUN NOUN CCONJ NOUN ADP DET PROPN NOUN CCONJ ADP PRON PUNCT PRON VERB VERB PART VERB ADJ SYM ADJ NOUN CCONJ DET NOUN PART VERB VERB VERB ADP DET PROPN VERB VERB VERB
Tomorrow, Oxfordshire's, Debbie Stock and Janet Goodman hope to make the side against Ireland who 're on a roll after beating Denmark in Oxford earlier this week.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	on a roll	figurative	identical	NOUN PROPN PROPN PROPN CCONJ PROPN PROPN VERB PART VERB DET NOUN ADP PROPN NOUN VERB ADP DET NOUN ADP VERB PROPN ADP PROPN ADV DET NOUN	▁Tomorrow , ▁Ox fordshire ' s , ▁De bb ie ▁Stock ▁and ▁Jan et ▁Good man ▁hope ▁to ▁make ▁the ▁side ▁against ▁Ireland ▁who ▁' re ▁on ▁a ▁roll ▁after ▁be ating ▁Denmark ▁in ▁Oxford ▁earlier ▁this ▁week .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN VERB PART VERB DET NOUN ADP PROPN NOUN VERB VERB ADP DET NOUN ADP VERB VERB PROPN ADP PROPN ADV DET NOUN NOUN
The Niue Assembly comprises 20 members ( 14 village representatives and six elected on a common roll ) ; it chooses a Premier from amongst its number who appoints three Cabinet members, also chosen from the legislature.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	literal	insertion-other	DET PROPN PROPN VERB NUM NOUN PUNCT NUM NOUN NOUN CCONJ NUM VERB ADP DET ADJ NOUN PUNCT PUNCT PRON VERB DET PROPN ADP ADP ADJ NOUN NOUN VERB NUM PROPN NOUN ADV VERB ADP DET NOUN	▁The ▁Ni ue ▁Assembly ▁comprises ▁20 ▁members ▁( ▁14 ▁village ▁representatives ▁and ▁six ▁elected ▁on ▁a ▁common ▁roll ▁ ) ▁ ; ▁it ▁choose s ▁a ▁Pre m ier ▁from ▁amongst ▁its ▁number ▁who ▁appoint s ▁three ▁Cabinet ▁members , ▁also ▁chosen ▁from ▁the ▁legislature .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET PROPN PROPN PROPN VERB NUM NOUN PUNCT NUM NOUN NOUN CCONJ NUM VERB ADP DET ADJ NOUN PUNCT PUNCT PUNCT PUNCT PRON VERB VERB DET PROPN PROPN PROPN ADP ADP ADJ NOUN NOUN VERB VERB NUM PROPN NOUN NOUN ADV VERB ADP DET NOUN NOUN
The names of those who had died in battle were inscribed on a stone roll of honour on the war memorial by the cemetery.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0	on a roll	literal	insertion-other	DET NOUN ADP DET NOUN VERB VERB ADP NOUN VERB VERB ADP DET NOUN NOUN ADP NOUN ADP DET NOUN ADJ ADP DET NOUN	▁The ▁names ▁of ▁those ▁who ▁had ▁died ▁in ▁battle ▁were ▁in scribed ▁on ▁a ▁stone ▁roll ▁of ▁honour ▁on ▁the ▁war ▁mem orial ▁by ▁the ▁ce meter y .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP DET NOUN VERB VERB ADP NOUN VERB VERB VERB ADP DET NOUN NOUN ADP NOUN ADP DET NOUN ADJ ADJ ADP DET NOUN NOUN NOUN NOUN
Each time you record a sale, the till will record this on the till roll.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	on a roll	literal	combined-other	DET NOUN PRON VERB DET NOUN DET NOUN VERB VERB DET ADP DET NOUN NOUN	▁E ach ▁time ▁you ▁record ▁a ▁sale , ▁the ▁till ▁will ▁record ▁this ▁on ▁the ▁till ▁roll .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1	DET DET NOUN PRON VERB DET NOUN NOUN DET NOUN VERB VERB DET ADP DET NOUN NOUN NOUN
‘ And even if they really are fakes — synthetic fur —’ she was on a roll now ' — it's made from petrochemicals and they 're non - biodegradable and therefore damaging to the environment.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	figurative	identical	PUNCT CCONJ ADV ADP PRON ADV VERB NOUN PUNCT ADJ NOUN ADV PRON VERB ADP DET NOUN ADV PUNCT PUNCT PRON VERB ADP NOUN CCONJ PRON VERB ADJ PUNCT ADJ CCONJ ADV VERB ADP DET PROPN	▁ ‘ ▁And ▁even ▁if ▁they ▁really ▁are ▁fa kes ▁ — ▁synthetic ▁fur ▁ —’ ▁she ▁was ▁on ▁a ▁roll ▁now ▁' ▁ — ▁it ' s ▁made ▁from ▁petrochemical s ▁and ▁they ▁' re ▁non ▁- ▁biodegradable ▁and ▁therefore ▁damaging ▁to ▁the ▁environment . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT CCONJ ADV ADP PRON ADV VERB NOUN NOUN PUNCT PUNCT ADJ NOUN ADV ADV PRON VERB ADP DET NOUN ADV PUNCT PUNCT PUNCT PRON PRON PRON VERB ADP NOUN NOUN CCONJ PRON VERB VERB ADJ PUNCT ADJ CCONJ ADV VERB ADP DET PROPN PROPN PROPN
One minute he was at the table and the next he was threading his way between the dancers, leaving Geoffrey asleep with his cheek resting on a bread roll, bits of tinsel glittering in his hair.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0	on a roll	literal	insertion-other	NUM NOUN PRON VERB ADP DET NOUN CCONJ DET ADJ PRON VERB VERB ADJ NOUN ADP DET NOUN VERB PROPN ADJ ADP ADJ NOUN VERB ADP DET NOUN NOUN NOUN ADP NOUN VERB ADP ADJ NOUN	▁One ▁minute ▁he ▁was ▁at ▁the ▁table ▁and ▁the ▁next ▁he ▁was ▁thread ing ▁his ▁way ▁between ▁the ▁dance rs , ▁leaving ▁Geo ffre y ▁asleep ▁with ▁his ▁che ek ▁rest ing ▁on ▁a ▁bread ▁roll , ▁bit s ▁of ▁tin sel ▁gli ttering ▁in ▁his ▁hair .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	NUM NOUN PRON VERB ADP DET NOUN CCONJ DET ADJ PRON VERB VERB VERB ADJ NOUN ADP DET NOUN NOUN NOUN VERB PROPN PROPN PROPN ADJ ADP ADJ NOUN NOUN VERB VERB ADP DET NOUN NOUN NOUN NOUN NOUN ADP NOUN NOUN VERB VERB ADP ADJ NOUN NOUN
Any hit scored against the caster by an ordinary weapon is deflected on the D6 roll of a 3 or more.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0	on a roll	literal	combined-other	DET NOUN VERB ADP DET NOUN ADP DET ADJ NOUN VERB VERB ADP DET NOUN NOUN ADP DET NUM CCONJ ADJ	▁Any ▁hit ▁score d ▁against ▁the ▁cast er ▁by ▁an ▁ordinary ▁weapon ▁is ▁deflect ed ▁on ▁the ▁D 6 ▁roll ▁of ▁a ▁3 ▁or ▁more .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0	DET NOUN VERB VERB ADP DET NOUN NOUN ADP DET ADJ NOUN VERB VERB VERB ADP DET NOUN NOUN NOUN ADP DET NUM CCONJ ADJ ADJ
He was educated in Greenock and entered Glasgow University in 1806 to study medicine and, though not on the official roll of graduates, used the initials MD for the remainder of his life.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	literal	combined-other	PRON VERB VERB ADP PROPN CCONJ VERB PROPN PROPN ADP NUM PART VERB NOUN CCONJ ADP ADV ADP DET ADJ NOUN ADP NOUN VERB DET NOUN PROPN ADP DET NOUN ADP ADJ NOUN	▁He ▁was ▁educated ▁in ▁Green ock ▁and ▁entered ▁Glasgow ▁University ▁in ▁18 06 ▁to ▁study ▁medicine ▁and , ▁though ▁not ▁on ▁the ▁official ▁roll ▁of ▁graduates , ▁used ▁the ▁initial s ▁ MD ▁for ▁the ▁remainder ▁of ▁his ▁life .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADP PROPN PROPN CCONJ VERB PROPN PROPN ADP NUM NUM PART VERB NOUN CCONJ CCONJ ADP ADV ADP DET ADJ NOUN ADP NOUN NOUN VERB DET NOUN NOUN PROPN PROPN ADP DET NOUN ADP ADJ NOUN NOUN
If he is in combat with Grom the fury of Eltharion's blows is such that he gains + 1 on his rolls to hit and + 1 on the strength of his hits.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	on a roll	literal	determiner-broad	ADP PRON VERB ADP NOUN ADP PROPN DET NOUN ADP PROPN NOUN VERB ADJ ADP PRON VERB SYM NUM ADP ADJ NOUN PART VERB CCONJ SYM NUM ADP DET NOUN ADP ADJ NOUN	▁If ▁he ▁is ▁in ▁combat ▁with ▁G rom ▁the ▁fur y ▁of ▁El th ar ion ' s ▁blow s ▁is ▁such ▁that ▁he ▁gains ▁+ ▁1 ▁on ▁his ▁rolls ▁to ▁hit ▁and ▁+ ▁1 ▁on ▁the ▁strength ▁of ▁his ▁hit s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PRON VERB ADP NOUN ADP PROPN PROPN DET NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN NOUN NOUN VERB ADJ ADP PRON VERB SYM NUM ADP ADJ NOUN PART VERB CCONJ SYM NUM ADP DET NOUN ADP ADJ NOUN NOUN NOUN
He took her protesting hand, and laid it on a thick roll of tablecloths between their bodies.	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0	on a roll	literal	insertion-other	PRON VERB ADJ VERB NOUN CCONJ VERB PRON ADP DET ADJ NOUN ADP NOUN ADP ADJ NOUN	▁He ▁took ▁her ▁protest ing ▁hand , ▁and ▁laid ▁it ▁on ▁a ▁thick ▁roll ▁of ▁table cloth s ▁between ▁their ▁bodies .	0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0	PRON VERB ADJ VERB VERB NOUN NOUN CCONJ VERB PRON ADP DET ADJ NOUN ADP NOUN NOUN NOUN ADP ADJ NOUN NOUN
