But the temptations of the Flesh were different : they could not be dealt with in cold blood.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	in cold blood	figurative	identical	CCONJ DET NOUN ADP DET PROPN VERB ADJ PUNCT PRON VERB ADV VERB VERB ADP ADP ADJ NOUN
A good guy couldn't kill the bad guy in cold blood according to the Hays Code, so they 'd get into a fight on a ledge.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in cold blood	figurative	identical	DET ADJ NOUN VERB VERB DET ADJ NOUN ADP ADJ NOUN VERB ADP DET PROPN PROPN ADV PRON VERB VERB ADP DET NOUN ADP DET NOUN
Even the DGSE might have baulked at letting them drown or shooting them in cold blood.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	in cold blood	figurative	identical	ADV DET PROPN VERB VERB VERB ADP VERB PRON VERB CCONJ VERB PRON ADP ADJ NOUN
But was it necessary to kill my men in cold blood?	0 0 0 0 0 0 0 0 1 1 1	in cold blood	figurative	identical	CCONJ VERB PRON ADJ PART VERB ADJ NOUN ADP ADJ NOUN
I shot them in cold blood and I enjoyed every minute of it …	0 0 0 1 1 1 0 0 0 0 0 0 0 0	in cold blood	figurative	identical	PRON VERB PRON ADP ADJ NOUN CCONJ PRON VERB DET NOUN ADP PRON PUNCT
‘ They saw people killed in cold blood,’ one said.	0 0 0 0 0 1 1 1 0 0	in cold blood	figurative	dashes	PUNCT PRON VERB NOUN VERB ADP ADJ PROPN NUM VERB
Seamen have been attacked in cold blood ; women and children compelled to cross the seas have been foully murdered without warning or provocation.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in cold blood	figurative	identical	NOUN VERB VERB VERB ADP ADJ NOUN PUNCT NOUN CCONJ NOUN VERB PART VERB DET NOUN VERB VERB ADV VERB ADP NOUN CCONJ NOUN
That Elizabeth needed careful handling is shown in a letter to Burghley from Henry Savile, who wanted Burghley's help in a suit because his commendation, coming in cold blood and sober judgement, would weigh more heavily with the Queen than ‘ all the affectionate speech’ of the Earl of Essex.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in cold blood	figurative	identical	ADP PROPN VERB ADJ NOUN VERB VERB ADP DET NOUN ADP PROPN ADP PROPN PROPN NOUN VERB PROPN NOUN ADP DET NOUN ADP ADJ NOUN VERB ADP ADJ NOUN CCONJ NOUN NOUN VERB VERB ADV ADV ADP DET PROPN ADP PRON ADJ DET NOUN NOUN ADP DET PROPN ADP PROPN
After a 15-week trial, a military court on Dec. 12, 1989, sentenced a police colonel to 15 years ' imprisonment for ordering the killing in cold blood of 124 unarmed inmates of Lurigancho prison in Lima in 1986 following an uprising [ see pp. 34607 - 08 ].	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in cold blood	figurative	identical	ADP DET NUM NOUN DET ADJ NOUN ADP PROPN NUM NUM VERB DET NOUN NOUN ADP NUM NOUN PART NOUN ADP VERB DET NOUN ADP ADJ NOUN ADP NUM ADJ NOUN ADP PROPN NOUN ADP PROPN ADP NUM VERB DET NOUN PUNCT VERB PROPN NUM SYM NUM PUNCT
For example, it was said printed that the Red ~ Guards had not only thoroughly looted the Winter ~ Palace, but that they had massacred the yunkers after disarming them, had killed some of the Ministers in cold blood ; and as for the woman soldiers, most of them had been violated, and many had committed suicide because of the tortures they had gone through ....	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in cold blood	figurative	identical	ADP NOUN PRON VERB VERB VERB ADP DET PROPN PUNCT PROPN VERB ADV ADV ADV VERB DET PROPN PUNCT PROPN CCONJ ADP PRON VERB VERB DET NOUN ADP VERB PRON VERB VERB DET ADP DET PROPN ADP ADJ NOUN PUNCT CCONJ ADP ADP DET NOUN NOUN ADJ ADP PRON VERB VERB VERB CCONJ ADJ VERB VERB NOUN ADP ADP DET NOUN PRON VERB VERB ADV PUNCT
They would have been murdered in cold blood.	0 0 0 0 0 1 1 1	in cold blood	figurative	identical	PRON VERB VERB VERB VERB ADP ADJ NOUN
Mrs Proetta, 50, was the central figure in an ITV documentary in which she claimed that three IRA terrorists there were shot dead in cold blood by the SAS in 1988.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	in cold blood	figurative	identical	PROPN PROPN NUM VERB DET ADJ NOUN ADP DET PROPN NOUN ADP ADJ PRON VERB ADP NUM PROPN NOUN ADV VERB VERB ADJ ADP ADJ NOUN ADP DET PROPN ADP NUM
‘ It is clear that Professor Wybran has been assassinated in cold blood because he was a Jew,’ it said.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	in cold blood	figurative	identical	PUNCT PRON VERB ADJ ADP PROPN PROPN VERB VERB VERB ADP ADJ NOUN ADP PRON VERB DET NOUN PRON VERB
Then, if you have that necessary possession for any writer, luck, your subconscious will provide you with developments you never could have thought of in cold blood.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	in cold blood	figurative	identical	ADV ADP PRON VERB DET ADJ NOUN ADP DET NOUN NOUN ADJ NOUN VERB VERB PRON ADP NOUN PRON ADV VERB VERB VERB ADP ADP ADJ NOUN
