and so oh you really rocked the boat	0 0 0 0 0 1 0 1	rock the boat	figurative	inflection	CCONJ ADV INTJ PRON ADV VERB DET NOUN	▁and ▁so ▁ oh ▁you ▁really ▁rock ed ▁the ▁boat	0 0 0 0 0 0 1 1 0 1	CCONJ ADV INTJ INTJ PRON ADV VERB VERB DET NOUN
It was also a threat, which might ‘ rock the boat’ and provoke another disastrous onslaught of Roman wrath and retribution.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	rock the boat	figurative	dashes	PRON VERB ADV DET NOUN ADJ VERB PUNCT NOUN DET NOUN CCONJ VERB DET ADJ NOUN ADP ADJ NOUN CCONJ NOUN	▁It ▁was ▁also ▁a ▁threat , ▁which ▁might ▁ ‘ ▁rock ▁the ▁boat ’ ▁and ▁provoke ▁another ▁disastrous ▁on s la ught ▁of ▁Roman ▁wrath ▁and ▁re tribution .	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADV DET NOUN NOUN ADJ VERB PUNCT PUNCT NOUN DET NOUN NOUN CCONJ VERB DET ADJ NOUN NOUN NOUN NOUN ADP ADJ NOUN CCONJ NOUN NOUN NOUN
So why do we need to formalize these arrangements, why rock the boat at time when the political climate is?	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	rock the boat	figurative	identical	ADV ADV VERB PRON VERB PART VERB DET NOUN ADV VERB DET NOUN ADP NOUN ADV DET ADJ NOUN VERB	▁So ▁why ▁do ▁we ▁need ▁to ▁formal ize ▁these ▁arrangements , ▁why ▁rock ▁the ▁boat ▁at ▁time ▁when ▁the ▁political ▁climate ▁is ?	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	ADV ADV VERB PRON VERB PART VERB VERB DET NOUN NOUN ADV VERB DET NOUN ADP NOUN ADV DET ADJ NOUN VERB VERB
Candidates from Labour's Left still within the party have been careful not to rock the boat.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	rock the boat	figurative	identical	NOUN ADP PROPN VERB ADV ADP DET NOUN VERB VERB ADJ ADV PART VERB DET NOUN	▁Candida tes ▁from ▁Labour ' s ▁Left ▁still ▁within ▁the ▁party ▁have ▁been ▁careful ▁not ▁to ▁rock ▁the ▁boat .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	NOUN NOUN ADP PROPN PROPN PROPN VERB ADV ADP DET NOUN VERB VERB ADJ ADV PART VERB DET NOUN NOUN
She loyally endorsed Mr Major and — despite a few barbs about borrowing too much — confounded predictions that she would rock the boat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	rock the boat	figurative	identical	PRON ADV VERB PROPN PROPN CCONJ PUNCT ADP DET ADJ NOUN ADP VERB ADV ADV PUNCT VERB NOUN ADP PRON VERB VERB DET NOUN	▁She ▁loyal ly ▁endorsed ▁Mr ▁Major ▁and ▁ — ▁despite ▁a ▁few ▁barb s ▁about ▁borrowing ▁too ▁much ▁ — ▁con founded ▁prediction s ▁that ▁she ▁would ▁rock ▁the ▁boat .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON ADV ADV VERB PROPN PROPN CCONJ PUNCT PUNCT ADP DET ADJ NOUN NOUN ADP VERB ADV ADV PUNCT PUNCT VERB VERB NOUN NOUN ADP PRON VERB VERB DET NOUN NOUN
If she didn't like it then it was her fault for rocking the boat.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	rock the boat	figurative	inflection	ADP PRON VERB VERB PRON ADV PRON VERB ADJ NOUN ADP VERB DET NOUN	▁If ▁she ▁did n ' t ▁like ▁it ▁then ▁it ▁was ▁her ▁fault ▁for ▁rock ing ▁the ▁boat .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	ADP PRON VERB VERB VERB VERB VERB PRON ADV PRON VERB ADJ NOUN ADP VERB VERB DET NOUN NOUN
So, reluctantly, I joined Jack Hobbs in not rocking the boat, reporting the play and the general uproar with perhaps too much impartiality.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	rock the boat	figurative	inflection	ADV ADV PRON VERB PROPN PROPN ADP ADV VERB DET NOUN VERB DET NOUN CCONJ DET ADJ NOUN ADP ADV ADV ADJ NOUN	▁So , ▁reluctant ly , ▁I ▁joined ▁Jack ▁Ho bb s ▁in ▁not ▁rock ing ▁the ▁boat , ▁reporting ▁the ▁play ▁and ▁the ▁general ▁up ro ar ▁with ▁perhaps ▁too ▁much ▁impartiality .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV ADV ADV PRON VERB PROPN PROPN PROPN PROPN ADP ADV VERB VERB DET NOUN NOUN VERB DET NOUN CCONJ DET ADJ NOUN NOUN NOUN ADP ADV ADV ADJ NOUN NOUN
I hope the work will be interesting, I was a bit disappointed not to have the chance to tackle my own book as the main editor at last but of course one doesn't want to rock the boat too much — there are too many people who 'd happily fill my shoes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock the boat	figurative	identical	PRON VERB DET NOUN VERB VERB ADJ PRON VERB DET NOUN ADJ ADV PART VERB DET NOUN PART VERB ADJ ADJ NOUN ADP DET ADJ NOUN ADP ADJ CCONJ ADP NOUN PRON VERB VERB PART VERB DET NOUN ADV ADV PUNCT ADV VERB ADV ADJ NOUN NOUN VERB ADV VERB ADJ NOUN	▁I ▁hope ▁the ▁work ▁will ▁be ▁interesting , ▁I ▁was ▁a ▁bit ▁disappointed ▁not ▁to ▁have ▁the ▁chance ▁to ▁tackle ▁my ▁own ▁book ▁as ▁the ▁main ▁editor ▁at ▁last ▁but ▁of ▁course ▁one ▁does n ' t ▁want ▁to ▁rock ▁the ▁boat ▁too ▁much ▁ — ▁there ▁are ▁too ▁many ▁people ▁who ▁' d ▁happily ▁fill ▁my ▁shoes .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET NOUN VERB VERB ADJ ADJ PRON VERB DET NOUN ADJ ADV PART VERB DET NOUN PART VERB ADJ ADJ NOUN ADP DET ADJ NOUN ADP ADJ CCONJ ADP NOUN PRON VERB VERB VERB VERB VERB PART VERB DET NOUN ADV ADV PUNCT PUNCT ADV VERB ADV ADJ NOUN NOUN VERB VERB ADV VERB ADJ NOUN NOUN
Ms Morrell attempts damage limitation by telling her boss to keep his mouth shut and not rock the boat, but on he goes collecting more enemies and being let down by erstwhile friends.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock the boat	figurative	identical	PROPN PROPN VERB NOUN NOUN ADP VERB ADJ NOUN PART VERB ADJ NOUN VERB CCONJ ADV VERB DET NOUN CCONJ ADP PRON VERB VERB ADJ NOUN CCONJ VERB VERB PART ADP ADJ NOUN	▁Ms ▁Mor re ll ▁attempts ▁damage ▁limitation ▁by ▁telling ▁her ▁bo s s ▁to ▁keep ▁his ▁mouth ▁shut ▁and ▁not ▁rock ▁the ▁boat , ▁but ▁on ▁he ▁goes ▁collecting ▁more ▁enemies ▁and ▁being ▁let ▁down ▁by ▁er st while ▁friends .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN VERB NOUN NOUN ADP VERB ADJ NOUN NOUN NOUN PART VERB ADJ NOUN VERB CCONJ ADV VERB DET NOUN NOUN CCONJ ADP PRON VERB VERB ADJ NOUN CCONJ VERB VERB PART ADP ADJ ADJ ADJ NOUN NOUN
Republic of Ireland international Slaven said : ‘ I don't want to rock the boat.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	rock the boat	figurative	identical	PROPN ADP PROPN ADJ PROPN VERB PUNCT PUNCT PRON VERB VERB PART VERB DET NOUN	▁Republic ▁of ▁Ireland ▁international ▁S lav en ▁said ▁ : ▁ ‘ ▁I ▁don ' t ▁want ▁to ▁rock ▁the ▁boat .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PROPN ADP PROPN ADJ PROPN PROPN PROPN VERB PUNCT PUNCT PUNCT PUNCT PRON VERB VERB VERB VERB PART VERB DET NOUN NOUN
Therapy has rocked the boat because it's made me much more vulnerable.	0 0 1 0 1 0 0 0 0 0 0 0	rock the boat	figurative	inflection	NOUN VERB VERB DET NOUN ADP PRON VERB PRON ADV ADV ADJ	▁Therapy ▁has ▁rock ed ▁the ▁boat ▁because ▁it ' s ▁made ▁me ▁much ▁more ▁vulnerable .	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	NOUN VERB VERB VERB DET NOUN ADP PRON PRON PRON VERB PRON ADV ADV ADJ ADJ
At just 7 stone 7, Sam Benham won't be rocking the Oxford boat, but her call up as cox has caused a few ripples and waves down on the Thames.	0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock the boat	literal	combined-inflection	ADP ADV NUM NOUN NUM PROPN PROPN VERB VERB VERB DET PROPN NOUN CCONJ ADJ VERB PART ADP NOUN VERB VERB DET ADJ NOUN CCONJ NOUN PART ADP DET PROPN	▁At ▁just ▁7 ▁stone ▁7 , ▁Sam ▁Ben ham ▁won ' t ▁be ▁rock ing ▁the ▁Oxford ▁boat , ▁but ▁her ▁call ▁up ▁as ▁co x ▁has ▁caused ▁a ▁few ▁ri ppl es ▁and ▁waves ▁down ▁on ▁the ▁Tha mes .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADV NUM NOUN NUM NUM PROPN PROPN PROPN VERB VERB VERB VERB VERB VERB DET PROPN NOUN NOUN CCONJ ADJ VERB PART ADP NOUN NOUN VERB VERB DET ADJ NOUN NOUN NOUN CCONJ NOUN PART ADP DET PROPN PROPN PROPN
We could have gotten the hostages out any damn time we wanted to [ Coleman insists ], but nobody was willing to rock the boat with a rescue operation.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	rock the boat	figurative	identical	PRON VERB VERB VERB DET NOUN PART DET ADJ NOUN PRON VERB PART PUNCT PROPN VERB PUNCT CCONJ NOUN VERB ADJ PART VERB DET NOUN ADP DET NOUN NOUN	▁We ▁could ▁have ▁got ten ▁the ▁hostages ▁out ▁any ▁dam n ▁time ▁we ▁wanted ▁to ▁[ ▁C ole man ▁insist s ▁] , ▁but ▁nobody ▁was ▁willing ▁to ▁rock ▁the ▁boat ▁with ▁a ▁rescue ▁operation .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	PRON VERB VERB VERB VERB DET NOUN PART DET ADJ ADJ NOUN PRON VERB PART PUNCT PROPN PROPN PROPN VERB VERB PUNCT PUNCT CCONJ NOUN VERB ADJ PART VERB DET NOUN ADP DET NOUN NOUN NOUN
According to Dr D.W.F. James, the then Director of the Polytechnic of Wales, the government's decision was a reflection of its desire not to rock the boat and was connected with arguments about the Welsh language, arguments which had already saved Bangor Normal College from merging with the University College of North Wales so that it could develop as a Welsh medium teacher - training college.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock the boat	figurative	identical	VERB ADP PROPN PROPN PROPN DET ADV PROPN ADP DET PROPN ADP PROPN DET NOUN NOUN VERB DET NOUN ADP ADJ NOUN ADV PART VERB DET NOUN CCONJ VERB VERB ADP NOUN ADP DET PROPN NOUN NOUN ADJ VERB ADV VERB PROPN PROPN PROPN ADP VERB ADP DET PROPN PROPN ADP PROPN PROPN ADP ADP PRON VERB VERB ADP DET PROPN ADJ NOUN PUNCT NOUN NOUN	▁According ▁to ▁Dr ▁D . W . F . ▁James , ▁the ▁then ▁Director ▁of ▁the ▁Poly tech nic ▁of ▁Wales , ▁the ▁government ' s ▁decision ▁was ▁a ▁reflection ▁of ▁its ▁desire ▁not ▁to ▁rock ▁the ▁boat ▁and ▁was ▁connected ▁with ▁arguments ▁about ▁the ▁Welsh ▁language , ▁arguments ▁which ▁had ▁already ▁saved ▁B ang or ▁Normal ▁College ▁from ▁merging ▁with ▁the ▁University ▁College ▁of ▁North ▁Wales ▁so ▁that ▁it ▁could ▁develop ▁as ▁a ▁Welsh ▁medium ▁teacher ▁- ▁training ▁college .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN DET ADV PROPN ADP DET PROPN PROPN PROPN ADP PROPN PROPN DET NOUN NOUN NOUN NOUN VERB DET NOUN ADP ADJ NOUN ADV PART VERB DET NOUN CCONJ VERB VERB ADP NOUN ADP DET PROPN NOUN NOUN NOUN ADJ VERB ADV VERB PROPN PROPN PROPN PROPN PROPN ADP VERB ADP DET PROPN PROPN ADP PROPN PROPN ADP ADP PRON VERB VERB ADP DET PROPN ADJ NOUN PUNCT NOUN NOUN NOUN
I suppose the reason was one of policy really — they had the youngsters hooked and they wanted to keep them in that position by not rocking the boat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	rock the boat	figurative	inflection	PRON VERB DET NOUN VERB NUM ADP NOUN ADV PUNCT PRON VERB DET NOUN VERB CCONJ PRON VERB PART VERB PRON ADP DET NOUN ADP ADV VERB DET NOUN	▁I ▁suppose ▁the ▁reason ▁was ▁one ▁of ▁policy ▁really ▁ — ▁they ▁had ▁the ▁young sters ▁hook ed ▁and ▁they ▁wanted ▁to ▁keep ▁them ▁in ▁that ▁position ▁by ▁not ▁rock ing ▁the ▁boat .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	PRON VERB DET NOUN VERB NUM ADP NOUN ADV PUNCT PUNCT PRON VERB DET NOUN NOUN VERB VERB CCONJ PRON VERB PART VERB PRON ADP DET NOUN ADP ADV VERB VERB DET NOUN NOUN
‘ I intend doing it my own way but I won't be rocking the boat.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	rock the boat	figurative	inflection	PUNCT PRON VERB VERB PRON ADJ ADJ NOUN CCONJ PRON VERB VERB VERB DET NOUN	▁ ‘ ▁I ▁intend ▁doing ▁it ▁my ▁own ▁way ▁but ▁I ▁won ' t ▁be ▁rock ing ▁the ▁boat .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	PUNCT PUNCT PRON VERB VERB PRON ADJ ADJ NOUN CCONJ PRON VERB VERB VERB VERB VERB VERB DET NOUN NOUN
Once it's properly launched, where everyone can see it, you won't have to worry too much about rocking the boat,’ he said.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	rock the boat	figurative	combined-inflection	ADP PRON ADV VERB ADV NOUN VERB VERB PRON PRON VERB VERB PART VERB ADV ADV ADP VERB DET PROPN PRON VERB	▁Once ▁it ' s ▁properly ▁launched , ▁where ▁everyone ▁can ▁see ▁it , ▁you ▁won ' t ▁have ▁to ▁worry ▁too ▁much ▁about ▁rock ing ▁the ▁boat , ’ ▁he ▁said .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0	ADP PRON PRON PRON ADV VERB VERB ADV NOUN VERB VERB PRON PRON PRON VERB VERB VERB VERB PART VERB ADV ADV ADP VERB VERB DET PROPN PROPN PROPN PRON VERB VERB
Who the hell would want to rock the boat on a deal like that!	0 0 0 0 0 0 1 0 1 0 0 0 0 0	rock the boat	figurative	identical	NOUN DET NOUN VERB VERB PART VERB DET NOUN ADP DET NOUN ADP DET	▁Who ▁the ▁he ll ▁would ▁want ▁to ▁rock ▁the ▁boat ▁on ▁a ▁deal ▁like ▁that !	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	NOUN DET NOUN NOUN VERB VERB PART VERB DET NOUN ADP DET NOUN ADP DET DET
