Then once more out of the blue he said quietly, ‘ Are you elect?’	0 0 0 1 1 0 1 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADV ADV ADV ADP ADP DET NOUN PRON VERB ADV PUNCT VERB PRON ADJ	▁Then ▁once ▁more ▁out ▁of ▁the ▁blue ▁he ▁said ▁quiet ly , ▁ ‘ ▁Are ▁you ▁elect ? ’	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV ADP ADP DET NOUN PRON VERB ADV ADV ADV PUNCT PUNCT VERB PRON ADJ ADJ ADJ
It was just out of the blue really.	0 0 0 1 1 0 1 0	out of the blue	figurative	identical	PRON VERB ADV ADP ADP DET ADJ ADV	▁It ▁was ▁just ▁out ▁of ▁the ▁blue ▁really .	0 0 0 1 1 0 1 0 0	PRON VERB ADV ADP ADP DET ADJ ADV ADV
On New Year's Eve, and out of the blue, he told her he was going to a party and he didn't know what time he would be back.	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADP PROPN PROPN PROPN CCONJ ADP ADP DET ADJ PRON VERB PRON PRON VERB VERB ADP DET NOUN CCONJ PRON VERB VERB ADJ NOUN PRON VERB VERB ADV	▁On ▁New ▁Year ' s ▁E ve , ▁and ▁out ▁of ▁the ▁blue , ▁he ▁told ▁her ▁he ▁was ▁going ▁to ▁a ▁party ▁and ▁he ▁did n ' t ▁know ▁what ▁time ▁he ▁would ▁be ▁back .	0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ ADP ADP DET ADJ ADJ PRON VERB PRON PRON VERB VERB ADP DET NOUN CCONJ PRON VERB VERB VERB VERB VERB ADJ NOUN PRON VERB VERB ADV ADV
Miss Thomas said he had been concerned that the call had come out of the blue.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	out of the blue	figurative	identical	PROPN PROPN VERB PRON VERB VERB VERB ADP DET NOUN VERB VERB ADP ADP DET NOUN	▁Miss ▁Thomas ▁said ▁he ▁had ▁been ▁concerned ▁that ▁the ▁call ▁had ▁come ▁out ▁of ▁the ▁blue .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	PROPN PROPN VERB PRON VERB VERB VERB ADP DET NOUN VERB VERB ADP ADP DET NOUN NOUN
You 've still got the problem of addressing praise, because quite often you 've only, if you 've given somebody a specific task then it's easy to praise or not to praise in that situation, but if they 've just come in, done their job and gone home, you know, just sat on a checkout for four hours, right it's my time to leave, then, if they 've done nothing out of the blue, extraordinary, so they don't do anything wrong, or, you know.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	PRON VERB ADV VERB DET NOUN ADP VERB NOUN ADP ADV ADV PRON VERB ADV ADP PRON VERB VERB NOUN DET ADJ NOUN ADV PRON ADJ PART VERB CCONJ ADV PART VERB ADP DET NOUN CCONJ ADP PRON VERB ADV VERB ADV VERB ADJ NOUN CCONJ VERB ADV PRON VERB ADV VERB ADP DET NOUN ADP NUM NOUN INTJ PRON ADJ NOUN PART VERB ADV ADP PRON VERB VERB NOUN ADP ADP DET ADJ ADJ ADP PRON VERB VERB NOUN ADJ CCONJ PRON VERB	▁You ▁' ve ▁still ▁got ▁the ▁problem ▁of ▁addressing ▁praise , ▁because ▁quite ▁often ▁you ▁' ve ▁only , ▁if ▁you ▁' ve ▁given ▁somebody ▁a ▁specific ▁task ▁then ▁it ' s ▁easy ▁to ▁praise ▁or ▁not ▁to ▁praise ▁in ▁that ▁situation , ▁but ▁if ▁they ▁' ve ▁just ▁come ▁in , ▁done ▁their ▁job ▁and ▁gone ▁home , ▁you ▁know , ▁just ▁sat ▁on ▁a ▁check out ▁for ▁four ▁hours , ▁right ▁it ' s ▁my ▁time ▁to ▁leave , ▁then , ▁if ▁they ▁' ve ▁done ▁nothing ▁out ▁of ▁the ▁blue , ▁extraordinary , ▁so ▁they ▁don ' t ▁do ▁anything ▁wrong , ▁or , ▁you ▁know .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADV VERB DET NOUN ADP VERB NOUN NOUN ADP ADV ADV PRON VERB VERB ADV ADV ADP PRON VERB VERB VERB NOUN DET ADJ NOUN ADV PRON PRON PRON ADJ PART VERB CCONJ ADV PART VERB ADP DET NOUN NOUN CCONJ ADP PRON VERB VERB ADV VERB ADV ADV VERB ADJ NOUN CCONJ VERB ADV ADV PRON VERB VERB ADV VERB ADP DET NOUN NOUN ADP NUM NOUN NOUN INTJ PRON PRON PRON ADJ NOUN PART VERB VERB ADV ADV ADP PRON VERB VERB VERB NOUN ADP ADP DET ADJ ADJ ADJ ADJ ADP PRON VERB VERB VERB VERB NOUN ADJ ADJ CCONJ CCONJ PRON VERB VERB
Right out of the blue ; ran away and married her in England.	0 1 1 0 1 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADV ADP ADP DET ADJ PUNCT VERB ADV CCONJ VERB PRON ADP PROPN	▁Right ▁out ▁of ▁the ▁blue ▁ ; ▁ran ▁away ▁and ▁married ▁her ▁in ▁England .	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	ADV ADP ADP DET ADJ PUNCT PUNCT VERB ADV CCONJ VERB PRON ADP PROPN PROPN
We were putting an album together based on his light rock / folk style that he was developing — songs like ‘ Janine’, ‘ Unwashed And Slightly Dazed’— all that country rock flavour that he was developing and then, out of the blue, he wrote ‘ Space Oddity’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	out of the blue	figurative	identical	PRON VERB VERB DET NOUN ADV VERB ADP ADJ ADJ NOUN SYM NOUN NOUN ADP PRON VERB VERB PUNCT NOUN ADP ADJ PROPN PUNCT PROPN CCONJ ADV VERB ADJ DET NOUN NOUN NOUN ADP PRON VERB VERB CCONJ ADV ADP ADP DET ADJ PRON VERB PUNCT PROPN PROPN	▁We ▁were ▁putting ▁an ▁al b um ▁together ▁based ▁on ▁his ▁light ▁rock ▁/ ▁fol k ▁style ▁that ▁he ▁was ▁developing ▁ — ▁so ng s ▁like ▁ ‘ ▁Jan ine ’ , ▁ ‘ ▁Un wash ed ▁And ▁S light ly ▁Da zed ’— ▁all ▁that ▁country ▁rock ▁flavour ▁that ▁he ▁was ▁developing ▁and ▁then , ▁out ▁of ▁the ▁blue , ▁he ▁wrote ▁ ‘ ▁Space ▁Odd ity ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0	PRON VERB VERB DET NOUN NOUN NOUN ADV VERB ADP ADJ ADJ NOUN SYM NOUN NOUN NOUN ADP PRON VERB VERB PUNCT PUNCT NOUN NOUN NOUN ADP ADJ ADJ PROPN PROPN PROPN PROPN PUNCT PUNCT PROPN PROPN PROPN CCONJ ADV ADV ADV VERB VERB VERB ADJ DET NOUN NOUN NOUN ADP PRON VERB VERB CCONJ ADV ADV ADP ADP DET ADJ ADJ PRON VERB PUNCT PUNCT PROPN PROPN PROPN PROPN PROPN
My ex boyfriend just called me out ~ of ~ the ~ blue.	0 0 0 0 0 0 1 0 1 0 0 0 1	out of the blue	figurative	dashes	ADJ NUM NOUN ADV VERB PRON PART PUNCT ADP PUNCT DET PUNCT NOUN	▁My ▁ex ▁boy fri end ▁just ▁called ▁me ▁out ▁ ~ ▁of ▁ ~ ▁the ▁ ~ ▁blue .	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1	ADJ NUM NOUN NOUN NOUN ADV VERB PRON PART PUNCT PUNCT ADP PUNCT PUNCT DET PUNCT PUNCT NOUN NOUN
The appointment of Sally Coleman to the job of manager of Waterstones at Harrods from her current post running the Covent Garden outpost of the empire has come out of the blue.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	out of the blue	figurative	identical	DET NOUN ADP PROPN PROPN ADP DET NOUN ADP NOUN ADP PROPN ADP PROPN ADP ADJ ADJ NOUN VERB DET PROPN PROPN NOUN ADP DET NOUN VERB VERB ADP ADP DET NOUN	▁The ▁appointment ▁of ▁S ally ▁C ole man ▁to ▁the ▁job ▁of ▁manager ▁of ▁Water stone s ▁at ▁Har rod s ▁from ▁her ▁current ▁post ▁running ▁the ▁Co vent ▁Garden ▁out post ▁of ▁the ▁empire ▁has ▁come ▁out ▁of ▁the ▁blue .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	DET NOUN ADP PROPN PROPN PROPN PROPN PROPN ADP DET NOUN ADP NOUN ADP PROPN PROPN PROPN ADP PROPN PROPN PROPN ADP ADJ ADJ NOUN VERB DET PROPN PROPN PROPN NOUN NOUN ADP DET NOUN VERB VERB ADP ADP DET NOUN NOUN
So I did just ask him er just come to me right out of the blue when he was here one night.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	out of the blue	figurative	identical	ADV PRON VERB ADV VERB PRON INTJ ADV VERB ADP PRON ADV ADP ADP DET ADJ ADV PRON VERB ADV NUM NOUN	▁So ▁I ▁did ▁just ▁ask ▁him ▁er ▁just ▁come ▁to ▁me ▁right ▁out ▁of ▁the ▁blue ▁when ▁he ▁was ▁here ▁one ▁night .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	ADV PRON VERB ADV VERB PRON INTJ ADV VERB ADP PRON ADV ADP ADP DET ADJ ADV PRON VERB ADV NUM NOUN NOUN
Then, quite out of the blue at the end of 1983, they had a letter from the Palace saying that the Princess had decided she would like to be their patron.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADV ADV ADP ADP DET NOUN ADP DET NOUN ADP NUM PRON VERB DET NOUN ADP DET PROPN VERB ADP DET PROPN VERB VERB PRON VERB VERB PART VERB ADJ NOUN	▁Then , ▁quite ▁out ▁of ▁the ▁blue ▁at ▁the ▁end ▁of ▁1983, ▁they ▁had ▁a ▁letter ▁from ▁the ▁Pal ace ▁saying ▁that ▁the ▁Prince s s ▁had ▁decided ▁she ▁would ▁like ▁to ▁be ▁their ▁pat ron .	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV ADP ADP DET NOUN ADP DET NOUN ADP NUM PRON VERB DET NOUN ADP DET PROPN PROPN VERB ADP DET PROPN PROPN PROPN VERB VERB PRON VERB VERB PART VERB ADJ NOUN NOUN NOUN
Well, just dropping it on me like that, right out of the blue.	0 0 0 0 0 0 0 0 0 1 1 0 1	out of the blue	figurative	identical	INTJ ADV VERB PRON ADP PRON ADP DET ADV ADP ADP DET NOUN	▁Well , ▁just ▁dropping ▁it ▁on ▁me ▁like ▁that , ▁right ▁out ▁of ▁the ▁blue .	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	INTJ INTJ ADV VERB PRON ADP PRON ADP DET DET ADV ADP ADP DET NOUN NOUN
Quite out of the blue her sense of the ridiculous erupted ; the parallel he 'd drawn appealed to her, and she found herself actually laughing as she handed him one of the bowls.	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADJ ADP ADP DET ADJ ADJ NOUN ADP DET ADJ VERB PUNCT DET NOUN PRON VERB VERB VERB ADP PRON CCONJ PRON VERB PRON ADV VERB ADP PRON VERB PRON NUM ADP DET NOUN	▁Quit e ▁out ▁of ▁the ▁blue ▁her ▁sense ▁of ▁the ▁ridiculous ▁ erup ted ▁ ; ▁the ▁parallel ▁he ▁' d ▁drawn ▁appealed ▁to ▁her , ▁and ▁she ▁found ▁herself ▁actually ▁laugh ing ▁as ▁she ▁handed ▁him ▁one ▁of ▁the ▁bowl s .	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ ADP ADP DET ADJ ADJ NOUN ADP DET ADJ VERB VERB VERB PUNCT PUNCT DET NOUN PRON VERB VERB VERB VERB ADP PRON PRON CCONJ PRON VERB PRON ADV VERB VERB ADP PRON VERB PRON NUM ADP DET NOUN NOUN NOUN
Then, nine months of gestation later, an opportunity crops up out of the blue, or so it seems.	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	out of the blue	figurative	identical	ADV NUM NOUN ADP NOUN ADV DET NOUN VERB PART ADP ADP DET ADJ CCONJ ADV PRON VERB	▁Then , ▁nine ▁months ▁of ▁gestation ▁later , ▁an ▁opportunity ▁crops ▁up ▁out ▁of ▁the ▁blue , ▁or ▁so ▁it ▁seems .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0	ADV ADV NUM NOUN ADP NOUN ADV ADV DET NOUN VERB PART ADP ADP DET ADJ ADJ CCONJ ADV PRON VERB VERB
‘ It was really quite out of the blue.	0 0 0 0 0 1 1 0 1	out of the blue	figurative	identical	PUNCT PRON VERB ADV ADV ADP ADP DET NOUN	▁ ‘ ▁It ▁was ▁really ▁quite ▁out ▁of ▁the ▁blue .	0 0 0 0 0 0 1 1 0 1 1	PUNCT PUNCT PRON VERB ADV ADV ADP ADP DET NOUN NOUN
