Yet Filipinos themselves simply can not seem to imagine their leaders behind bars.	0 0 0 0 0 0 0 0 0 0 0 1 1	behind bars	figurative	identical	ADV PROPN PRON ADV VERB ADV VERB PART VERB ADJ NOUN ADP NOUN
Could you put your glasses through behind the bar?	0 0 0 0 0 0 1 0 1	behind bars	literal	combined-inflection	VERB PRON VERB ADJ NOUN ADP ADP DET NOUN
The rolling forest of Wensleydale that surrounded Bainbridge has gone now, with its deer and wild boar, but the horn that was blown at dusk every evening between Holyrood and Shrovetide to lead travellers out of the forest to safety still hangs behind the bar of the Rose and Crown, although it is blown now only at village weddings.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	DET VERB NOUN ADP PROPN ADJ VERB PROPN VERB VERB ADV ADP ADJ NOUN CCONJ ADJ NOUN CCONJ DET NOUN ADJ VERB VERB ADP NOUN DET NOUN ADP PROPN CCONJ PROPN PART VERB NOUN ADP ADP DET NOUN ADP NOUN ADV VERB ADP DET NOUN ADP DET PROPN CCONJ PROPN ADP PRON VERB VERB ADV ADV ADP NOUN NOUN
As Mr Urbanec met the opposition for the first time, it appeared increasingly likely that his predecessor, Mr Milos Jakes, would eventually find himself behind bars.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	behind bars	figurative	identical	ADP PROPN PROPN VERB DET NOUN ADP DET ADJ NOUN PRON VERB ADV ADJ ADP ADJ NOUN PROPN PROPN PROPN VERB ADV VERB PRON ADP NOUN
From behind bars, the notorious twins — already the subject of books and a film — have commissioned a firm to create a game based on their Sixties reign of terror in Bethnal Green.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	figurative	identical	ADP ADP NOUN DET ADJ NOUN PUNCT ADV DET NOUN ADP NOUN CCONJ DET NOUN PUNCT VERB VERB DET NOUN PART VERB DET NOUN VERB ADP ADJ NOUN NOUN ADP NOUN ADP PROPN PROPN
The House of Detention held dangerous men behind bars, some of them Irish, and she remembered how her father had been threatened with it when he 'd been caught causing trouble.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	figurative	identical	DET PROPN ADP PROPN VERB ADJ NOUN ADP NOUN DET ADP PRON ADJ CCONJ PRON VERB ADV ADJ NOUN VERB VERB VERB ADP PRON ADV PRON VERB VERB VERB VERB NOUN
In the silence that followed I could hear the beer pumps hissing behind the bar at the back of the room.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	behind bars	literal	combined-inflection	ADP DET NOUN ADJ VERB PRON VERB VERB DET NOUN NOUN VERB ADP DET NOUN ADP DET NOUN ADP DET NOUN
A SALESMAN who raped his ex - girlfriend and tortured her with an electric stun gun was behind bars last night.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	behind bars	figurative	identical	DET NOUN NOUN VERB ADJ NUM PUNCT NOUN CCONJ VERB PRON ADP DET ADJ NOUN NOUN VERB ADP NOUN ADJ NOUN
Four heavy screens, one behind the other, were held in a recess behind a locking bar.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	behind bars	literal	combined-inflection	NUM ADJ NOUN NUM ADP DET ADJ VERB VERB ADP DET NOUN ADP DET NOUN NOUN
Unemployment is up another 17 per cent ; more houses and shops are boarded up ; burglaries and joyriding continue — and if there is less ram - raiding it is only because 50 or so of the hardest cases are still behind bars.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	behind bars	figurative	identical	NOUN VERB ADP DET NUM NOUN NOUN PUNCT ADJ NOUN CCONJ NOUN VERB VERB PART PUNCT NOUN CCONJ ADJ NOUN PUNCT CCONJ ADP ADV VERB ADV NOUN PUNCT VERB PRON VERB ADV ADP NUM CCONJ ADV ADP DET ADJ NOUN VERB ADV ADP NOUN
Michael Milken, their chief advocate, is now behind bars.	0 0 0 0 0 0 0 1 1	behind bars	figurative	identical	PROPN PROPN ADJ ADJ NOUN VERB ADV ADP NOUN
I thought Laura was coming behind the bar to fucking us support.	0 0 0 0 0 1 0 1 0 0 0 0	behind bars	literal	combined-inflection	PRON VERB PROPN VERB VERB ADP DET NOUN PART VERB PRON NOUN
The barman was back ( a leap ) at his station behind the bar, as if nothing had happened.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	behind bars	literal	combined-inflection	DET NOUN VERB ADV PUNCT DET NOUN PUNCT ADP ADJ NOUN ADP DET NOUN ADP ADP NOUN VERB VERB
He said : ‘ You will be doing a service for the people of north Westmeath and, indeed, to the people of Ireland, North and South, if you enable the Garda to successfully prosecute these people and put them behind bars.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	behind bars	figurative	dashes	PRON VERB PUNCT PUNCT PRON VERB VERB VERB DET NOUN ADP DET NOUN ADP NOUN PROPN CCONJ ADV ADP DET NOUN ADP PROPN PROPN CCONJ PROPN ADP PRON VERB DET PROPN PART ADV VERB DET NOUN CCONJ VERB PRON ADP PROPN
JAILED soccer star Mickey Thomas skippers a prison XI side tomorrow at Kirkham, Lancashire, in a behind bars charity match against a team of ex - Liverpool and showbiz stars.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	figurative	identical	VERB NOUN NOUN PROPN PROPN VERB DET NOUN NOUN NOUN NOUN ADP PROPN PROPN ADP DET NOUN NOUN NOUN NOUN ADP DET NOUN ADP NUM PUNCT PROPN CCONJ NOUN NOUN
TWO police officers who set out to pick up a prisoner ended up behind bars themselves, a court heard yesterday.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	behind bars	figurative	identical	NUM NOUN NOUN NOUN VERB PART PART VERB PART DET NOUN VERB PART ADP NOUN PRON DET NOUN VERB NOUN
The long room was dark, but a tiny light behind the bar showed the bartender which shot - glass held a full measure.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	DET ADJ NOUN VERB ADJ CCONJ DET ADJ NOUN ADP DET NOUN VERB DET NOUN ADJ VERB PUNCT NOUN VERB DET ADJ NOUN
‘ I could do nothing while I was behind bars so I was forced to make a run for it.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	behind bars	figurative	identical	PUNCT PRON VERB VERB NOUN ADP PRON VERB ADP NOUN ADP PRON VERB VERB PART VERB DET NOUN ADP PRON
Above all, there seemed to be little recognition of the special needs of people who were destined to spend very long periods behind bars : the long - termers were treated not very differently from the short - termers, and relatively little thought seemed to have been given to the risk of mental deterioration in an environment without stimulus.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	figurative	identical	ADP DET ADV VERB PART VERB ADJ NOUN ADP DET ADJ NOUN ADP NOUN NOUN VERB VERB PART VERB ADV ADJ NOUN ADP NOUN PUNCT DET ADJ PUNCT NOUN VERB VERB ADV ADV ADV ADP DET ADJ PUNCT NOUN CCONJ ADV ADJ NOUN VERB PART VERB VERB VERB ADP DET NOUN ADP ADJ NOUN ADP DET NOUN ADP NOUN
Perhaps the Home Office is relying on apathy towards a lot of Irish people behind bars.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	behind bars	figurative	identical	ADV DET PROPN PROPN VERB VERB ADP NOUN ADP DET NOUN ADP ADJ NOUN ADP NOUN
By educating children that a large part of society would like to see behind bars, we are breaking down important taboos,’ said Alda Marco Antonio, state welfare secretary.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	figurative	identical	ADP VERB NOUN ADP DET ADJ NOUN ADP NOUN VERB VERB PART VERB ADP NOUN PRON VERB VERB PART ADJ NOUN VERB PROPN PROPN PROPN NOUN NOUN NOUN
I went into the dome car and stood behind the bar with the bartender, and felt furious with Sheridan, not for his outrageous behaviour but because he was getting me noticed.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	PRON VERB ADP DET ADJ NOUN CCONJ VERB ADP DET NOUN ADP DET NOUN CCONJ VERB ADJ ADP PROPN ADV ADP ADJ ADJ NOUN CCONJ ADP PRON VERB VERB PRON ADJ
I turned and looked at myself in the cracked Cutty Sark Whisky mirror behind Mama Sipcott's bar.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	behind bars	literal	combined-inflection	PRON VERB CCONJ VERB ADP PRON ADP DET VERB PROPN PROPN PROPN NOUN ADP PROPN PROPN NOUN
In their first underground leaflet, the Women's Higher Council stated the following : ' To our great masses of women, to the steadfast mothers, sisters, to our women heroines behind the iron bars of the zionist jails and in the revolutionary camps — to women workers, peasants, students — You had a central, important and distinguished role in the great Intifada — had part in its continuity, escalation and in sparking its flame ; this role has expressed itself in the wide participation of women in all fields of daily confrontation and resistance since the Uprisings first day.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	literal	insertion-other	ADP ADJ ADJ ADJ NOUN DET PROPN PROPN PROPN VERB DET VERB PUNCT PUNCT ADP ADJ ADJ NOUN ADP NOUN ADP DET ADJ NOUN NOUN ADP ADJ NOUN NOUN ADP DET NOUN NOUN ADP DET ADJ NOUN CCONJ ADP DET ADJ NOUN PUNCT ADP NOUN NOUN NOUN NOUN PUNCT PRON VERB DET ADJ ADJ CCONJ ADJ NOUN ADP DET ADJ PROPN PUNCT VERB NOUN ADP ADJ NOUN NOUN CCONJ ADP VERB ADJ NOUN PUNCT DET NOUN VERB VERB PRON ADP DET ADJ NOUN ADP NOUN ADP DET NOUN ADP ADJ NOUN CCONJ NOUN ADP DET PROPN ADJ NOUN
A notorious Australian criminal is behind bars again eight weeks after walking out of an open prison.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	behind bars	figurative	identical	DET ADJ ADJ NOUN VERB ADP NOUN ADV NUM NOUN ADP VERB ADP ADP DET ADJ NOUN
It seems for many the idea of setting up behind the bar is even more powerful than the interest rates.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	PRON VERB ADP ADJ DET NOUN ADP VERB PART ADP DET NOUN VERB ADV ADV ADJ ADP DET NOUN NOUN
' Something smells awful in here, ' I said to the man behind the fish bar.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	behind bars	literal	combined-inflection	PUNCT NOUN VERB ADJ ADP ADV PUNCT PRON VERB ADP DET NOUN ADP DET NOUN NOUN
‘ You haven't even met him yet and already you 've put him behind bars for life.’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	behind bars	figurative	identical	PUNCT PRON VERB ADV VERB PRON ADV CCONJ ADV PRON VERB VERB PRON ADP NOUN ADP NOUN
Some pubs have their ' cellars ' on the ground floor while a few pubs, often in rural areas, keep their casks on or behind the bar and serve the beer by gravity from a tap in the tap hole.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	DET NOUN VERB ADJ PUNCT NOUN PUNCT ADP DET NOUN NOUN ADP DET ADJ NOUN ADV ADP ADJ NOUN VERB ADJ NOUN ADP CCONJ ADP DET NOUN CCONJ VERB DET NOUN ADP NOUN ADP DET NOUN ADP DET NOUN NOUN
If half the things I 've done became public, I might be behind bars now.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	behind bars	figurative	identical	ADP ADJ DET NOUN PRON VERB VERB VERB ADJ PRON VERB VERB ADP NOUN ADV
The light switches are behind the bar, and no one can get at them but Pepe himself. '	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	DET ADJ NOUN VERB ADP DET NOUN CCONJ DET NOUN VERB VERB ADP PRON CCONJ PROPN PRON PUNCT
AN ESCAPED prisoner is back behind bars after police arrested the runaway in a primary school.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	behind bars	figurative	identical	DET PROPN NOUN VERB ADV ADP NOUN ADP NOUN VERB DET NOUN ADP DET ADJ NOUN
I nodded to the twin tape - deck behind the bar as she counted out my change.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	behind bars	literal	combined-inflection	PRON VERB ADP DET ADJ NOUN PUNCT NOUN ADP DET NOUN ADP PRON VERB PART ADJ NOUN
He ended up behind bars and made threats when he got out.	0 0 0 1 1 0 0 0 0 0 0 0	behind bars	figurative	identical	PRON VERB PART ADP NOUN CCONJ VERB NOUN ADV PRON VERB PART
Now the forces of law and order that left vandals to do as they pleased were putting him behind bars.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	behind bars	figurative	identical	ADV DET NOUN ADP NOUN CCONJ NOUN ADJ VERB NOUN PART VERB ADP PRON VERB VERB VERB PRON ADP NOUN
He went behind the bar, grabbing at her.	0 0 1 0 1 0 0 0	behind bars	literal	combined-inflection	PRON VERB ADP DET NOUN VERB ADP PRON
People living near to the prison are releived Hanger is back behind bars.	0 0 0 0 0 0 0 0 0 0 0 1 1	behind bars	figurative	identical	NOUN VERB ADV ADP DET NOUN VERB VERB PROPN VERB ADV ADP NOUN
We, have we got a mop behind the bar?	0 0 0 0 0 0 1 0 1	behind bars	literal	combined-inflection	PRON VERB PRON VERB DET NOUN ADP DET NOUN
Have you got one behind bar?	0 0 0 0 1 1	behind bars	literal	inflection	VERB PRON VERB NUM ADP NOUN
He watched her covertly in the mirror behind the bar.	0 0 0 0 0 0 0 1 0 1	behind bars	literal	combined-inflection	PRON VERB PRON ADV ADP DET NOUN ADP DET NOUN
Her husband Walter, former secretary - general of the African National Congress, has been behind bars.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	behind bars	figurative	identical	ADJ NOUN PROPN ADJ NOUN PUNCT ADJ ADP DET PROPN PROPN PROPN VERB VERB ADP NOUN
He would not rest until he saw her behind bars.	0 0 0 0 0 0 0 0 1 1	behind bars	figurative	identical	PRON VERB ADV VERB ADP PRON VERB PRON ADP NOUN
Ned O'Mara frozen behind the bar.	0 0 0 1 0 1	behind bars	literal	combined-inflection	PROPN PROPN VERB ADP DET NOUN
I 've seen her behind the bar in that dress, many nights.	0 0 0 0 1 0 1 0 0 0 0 0	behind bars	literal	combined-inflection	PRON VERB VERB PRON ADP DET NOUN ADP DET NOUN ADJ NOUN
‘ I AM talking about a man that has done 26 years behind bars and if he had done the same crime today he would have got 10 years and would have got out five years ago’— actor Mike Reid on Reggie Kray.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	figurative	identical	PUNCT PRON VERB VERB ADP DET NOUN ADJ VERB VERB NUM NOUN ADP NOUN CCONJ ADP PRON VERB VERB DET ADJ NOUN NOUN PRON VERB VERB VERB NUM NOUN CCONJ VERB VERB VERB ADV NUM NOUN CCONJ NOUN PROPN PROPN ADP PROPN PROPN
‘ D'ye want to rot behind bars for five years!’	0 0 0 0 0 1 1 0 0 0	behind bars	figurative	identical	ADJ NOUN VERB PART VERB ADP NOUN ADP NUM NOUN
' It leads into an alley behind the bar.	0 0 0 0 0 0 1 0 1	behind bars	literal	combined-inflection	PUNCT PRON VERB ADP DET NOUN ADP DET NOUN
Squeaky re - appeared behind the bar with a large enamel jug of cider, and poured out two pints of the golden liquid for Yanto's inspection.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	ADJ NOUN PUNCT VERB ADP DET NOUN ADP DET ADJ ADJ NOUN ADP NOUN CCONJ VERB PART NUM NOUN ADP DET ADJ NOUN ADP PROPN NOUN
The new style regime gives prisoners a kind of freedom behind the bars.	0 0 0 0 0 0 0 0 0 0 1 0 1	behind bars	figurative	insertion-determiner	DET ADJ NOUN NOUN VERB NOUN DET NOUN ADP NOUN ADP DET NOUN
" By taking violent fugitives off the streets and putting them behind bars where they belong, " said Attorney ~ General Alberto ~ Gonzales, " we ' ve honored the victims and made our streets safer.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	figurative	identical	PUNCT ADP VERB ADJ NOUN ADP DET NOUN CCONJ VERB PRON ADP NOUN ADV PRON VERB PUNCT VERB PROPN PUNCT PROPN PROPN PUNCT PROPN PUNCT PRON PUNCT VERB VERB DET NOUN CCONJ VERB ADJ NOUN ADJ
' Jean - Paul half - rose from his seat, but the boy had gone, weaving his way through the throng of people behind the bar.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	behind bars	literal	combined-inflection	PUNCT PROPN PUNCT PROPN NOUN PUNCT VERB ADP ADJ NOUN CCONJ DET NOUN VERB VERB VERB ADJ NOUN ADP DET NOUN ADP NOUN ADP DET NOUN
He spent a Christmas behind bars after being found with cocaine, got a three - month jail sentence for breaking a probation order and a two - year suspended sentence for possessing cocaine.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	figurative	identical	PRON VERB DET PROPN ADP NOUN ADP VERB VERB ADP NOUN VERB DET NUM PUNCT NOUN NOUN NOUN ADP VERB DET NOUN NOUN CCONJ DET NUM PUNCT NOUN VERB NOUN ADP VERB NOUN
There were resistance fighters, those still busy secretly distributing leaflets to protest against the madness or those already behind bars for having done so.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	behind bars	figurative	identical	ADV VERB NOUN NOUN DET ADV ADJ ADV VERB NOUN PART VERB ADP DET NOUN CCONJ DET ADV ADP NOUN ADP VERB VERB ADV
If you testify against him, we can put him behind bars for good.	0 0 0 0 0 0 0 0 0 1 1 0 0	behind bars	figurative	identical	ADP PRON VERB ADP PRON PRON VERB VERB PRON ADP NOUN ADP NOUN
Those on the list are : Mr Sisulu, sentenced with Mr Mandela to life imprisonment in the ‘ Rivonia Trial’ of 1964 ; four other Rivonia triallists -Raymond Mhlaba, Elias Motsoaledi, Andrew Mlangeni, Ahmed Kathrada, Wilton Mkwayi and the oldest of them all, 80-year - old Oscar Mpheta, a trade union leader who has been behind bars since 1980, and whose whose sentence runs out next year.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	behind bars	figurative	identical	DET ADP DET NOUN VERB PUNCT PROPN PROPN VERB ADP PROPN PROPN ADP NOUN NOUN ADP DET PUNCT PROPN PROPN ADP NUM PUNCT NUM ADJ PROPN NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ DET ADJ ADP PRON DET NUM PUNCT ADJ PROPN PROPN DET NOUN NOUN NOUN NOUN VERB VERB ADP NOUN ADP NUM CCONJ ADJ ADJ NOUN VERB PART ADJ NOUN
She glanced up at Doyle as he returned behind the bar.	0 0 0 0 0 0 0 0 1 0 1	behind bars	literal	combined-inflection	PRON VERB PART ADP PROPN ADP PRON VERB ADP DET NOUN
Ruth was helping behind the bar, washing up glasses, and he asked her, ' Did the Welsh lad take himself off?	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	PROPN VERB VERB ADP DET NOUN VERB PART NOUN CCONJ PRON VERB PRON PUNCT VERB DET PROPN NOUN VERB PRON PART
Don't call him Dad behind, behind the bar.	0 0 0 0 0 1 0 1	behind bars	literal	combined-inflection	VERB VERB PRON PROPN ADV ADP DET NOUN
The boathook is usually kept on the wall behind the bar.	0 0 0 0 0 0 0 0 1 0 1	behind bars	literal	combined-inflection	DET NOUN VERB ADV VERB ADP DET NOUN ADP DET NOUN
Behind bars … toy company bosses jailed for multi - million pound fraud.	1 1 0 0 0 0 0 0 0 0 0 0 0	behind bars	figurative	case	ADP NOUN PUNCT NOUN NOUN NOUN VERB ADP ADJ PUNCT NUM NOUN NOUN
Trouble was something to be nipped in the bud ; dangerous agitators people to be kept behind bars.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	behind bars	figurative	identical	NOUN VERB NOUN PART VERB VERB ADP DET NOUN PUNCT ADJ NOUN NOUN PART VERB VERB ADP NOUN
There was a mirror behind the bar too ; the man was staring into it.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	ADV VERB DET NOUN ADP DET NOUN ADV PUNCT DET NOUN VERB VERB ADP PRON
Miguel led Shelley behind the bar and behind the beaded curtain into the private section of Pepe's.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	PROPN VERB PROPN ADP DET NOUN CCONJ ADP DET VERB NOUN ADP DET ADJ NOUN ADP PROPN
She said : ‘ I 'd rather he was sorted out than behind bars.	0 0 0 0 0 0 0 0 0 0 0 0 1 1	behind bars	figurative	identical	PRON VERB PUNCT PUNCT PRON VERB ADV PRON VERB VERB ADP ADP ADP NOUN
Connor went off to draw a couple of pints behind the bar, as Ruth shook hands with the young man.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	PROPN VERB PART PART VERB DET NOUN ADP NOUN ADP DET NOUN ADP PROPN VERB NOUN ADP DET ADJ NOUN
Now he's behind bars at a Scottish naval base.	0 0 1 1 0 0 0 0 0	behind bars	literal	identical	ADV PRON ADP NOUN ADP DET ADJ ADJ NOUN
During the evening disco a British lesbian stole a half - empty bottle of whisky from behind the bar, and was caught.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	behind bars	literal	combined-inflection	ADP DET NOUN NOUN DET ADJ NOUN VERB DET ADV PUNCT ADJ NOUN ADP NOUN ADP ADP DET NOUN CCONJ VERB VERB
The young lady behind the bar was scared stiff by our presence.	0 0 0 1 0 1 0 0 0 0 0 0	behind bars	literal	combined-inflection	DET ADJ NOUN ADP DET NOUN VERB VERB ADJ ADP ADJ NOUN
