Yet of all the lame ducks I 've met or heard of, she's the lamest.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	lame duck	figurative	inflection	CCONJ ADP ADJ DET ADJ NOUN PRON VERB VERB CCONJ VERB ADP PRON DET ADJ	▁Yet ▁of ▁all ▁the ▁lam e ▁ducks ▁I ▁' ve ▁met ▁or ▁heard ▁of , ▁she ' s ▁the ▁lam est .	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADP ADJ DET ADJ ADJ NOUN PRON VERB VERB VERB CCONJ VERB ADP ADP PRON PRON PRON DET ADJ ADJ ADJ
The sixth, Italy, was to prove something of a lame duck in their company, because of her lack of resources.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	lame duck	figurative	identical	DET ADJ PROPN VERB PART VERB NOUN ADP DET ADJ NOUN ADP ADJ NOUN ADP ADP ADJ NOUN ADP NOUN	▁The ▁sixth , ▁Italy , ▁was ▁to ▁prove ▁something ▁of ▁a ▁lam e ▁duck ▁in ▁their ▁company , ▁because ▁of ▁her ▁lack ▁of ▁resources .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	DET ADJ ADJ PROPN PROPN VERB PART VERB NOUN ADP DET ADJ ADJ NOUN ADP ADJ NOUN NOUN ADP ADP ADJ NOUN ADP NOUN NOUN
JERUSALEM – The resumption of peace talks between Israel and Syria after eight years of saber - rattling is not a diversion from the political troubles of Israel's lame - duck prime ~ minister.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	lame duck	figurative	dashes	PROPN PUNCT DET NOUN ADP NOUN NOUN ADP PROPN CCONJ PROPN ADP NUM NOUN ADP NOUN PUNCT NOUN VERB ADV DET NOUN ADP DET ADJ NOUN ADP PROPN ADJ PUNCT NOUN ADJ PUNCT NOUN	▁J ER US AL EM ▁ – ▁The ▁resumption ▁of ▁peace ▁talks ▁between ▁Israel ▁and ▁Syria ▁after ▁eight ▁years ▁of ▁sa ber ▁- ▁rat t ling ▁is ▁not ▁a ▁diversion ▁from ▁the ▁political ▁trouble s ▁of ▁Israel ' s ▁lam e ▁- ▁duck ▁prime ▁ ~ ▁minister .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PUNCT PUNCT DET NOUN ADP NOUN NOUN ADP PROPN CCONJ PROPN ADP NUM NOUN ADP NOUN NOUN PUNCT NOUN NOUN NOUN VERB ADV DET NOUN ADP DET ADJ NOUN NOUN ADP PROPN PROPN PROPN ADJ ADJ PUNCT NOUN ADJ PUNCT PUNCT NOUN NOUN
But many commentators believe that there are points of common interest between the government, the traffickers and the traditional ruling class, and that Mr Barco, a lame - duck president in the closing months of his administration, may no longer have the power within his own party to sustain his offensive.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lame duck	figurative	dashes	CCONJ ADJ NOUN VERB ADP ADV VERB NOUN ADP ADJ NOUN ADP DET NOUN DET NOUN CCONJ DET ADJ NOUN NOUN CCONJ ADP PROPN PROPN DET ADJ PUNCT NOUN NOUN ADP DET NOUN NOUN ADP ADJ NOUN VERB ADV ADV VERB DET NOUN ADP ADJ ADJ NOUN PART VERB ADJ NOUN	▁But ▁many ▁comment ators ▁believe ▁that ▁there ▁are ▁points ▁of ▁common ▁interest ▁between ▁the ▁government , ▁the ▁traffickers ▁and ▁the ▁traditional ▁ruling ▁class , ▁and ▁that ▁Mr ▁Bar co , ▁a ▁lam e ▁- ▁duck ▁president ▁in ▁the ▁closing ▁months ▁of ▁his ▁administration , ▁may ▁no ▁longer ▁have ▁the ▁power ▁within ▁his ▁own ▁party ▁to ▁sustain ▁his ▁offensive .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADJ NOUN NOUN VERB ADP ADV VERB NOUN ADP ADJ NOUN ADP DET NOUN NOUN DET NOUN CCONJ DET ADJ NOUN NOUN NOUN CCONJ ADP PROPN PROPN PROPN PROPN DET ADJ ADJ PUNCT NOUN NOUN ADP DET NOUN NOUN ADP ADJ NOUN NOUN VERB ADV ADV VERB DET NOUN ADP ADJ ADJ NOUN PART VERB ADJ NOUN NOUN
However, they know that your Company is not a lame duck, but widely described as one of the best managed in the industry.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	lame duck	figurative	identical	ADV PRON VERB ADP ADJ NOUN VERB ADV DET ADJ NOUN CCONJ ADV VERB ADP NUM ADP DET ADV VERB ADP DET NOUN	▁However , ▁they ▁know ▁that ▁your ▁Company ▁is ▁not ▁a ▁lam e ▁duck , ▁but ▁widely ▁described ▁as ▁one ▁of ▁the ▁best ▁managed ▁in ▁the ▁industry .	0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV PRON VERB ADP ADJ NOUN VERB ADV DET ADJ ADJ NOUN NOUN CCONJ ADV VERB ADP NUM ADP DET ADV VERB ADP DET NOUN NOUN
It has become clear that the House ~ Republicans will steadfastly refuse to vote for any increases in tax rates during the current lame - duck congressional session.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	lame duck	figurative	dashes	PRON VERB VERB ADJ ADP DET PROPN PUNCT PROPN VERB ADV VERB PART VERB ADP DET NOUN ADP NOUN NOUN ADP DET ADJ ADJ PUNCT NOUN ADJ NOUN	▁It ▁has ▁become ▁clear ▁that ▁the ▁House ▁ ~ ▁Republic ans ▁will ▁steadfast ly ▁refuse ▁to ▁vote ▁for ▁any ▁increases ▁in ▁tax ▁rates ▁during ▁the ▁current ▁lam e ▁- ▁duck ▁congress ional ▁session .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	PRON VERB VERB ADJ ADP DET PROPN PUNCT PUNCT PROPN PROPN VERB ADV ADV VERB PART VERB ADP DET NOUN ADP NOUN NOUN ADP DET ADJ ADJ ADJ PUNCT NOUN ADJ ADJ NOUN NOUN
Delhi's response has been complicated by the existence of the lame - duck Kashmiri state government of Dr Farooq Abdullah, who fought last month's general election in alliance with the then governing Congress party, and which is deeply unpopular in the valley.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lame duck	figurative	dashes	PROPN NOUN VERB VERB VERB ADP DET NOUN ADP DET ADJ PUNCT NOUN PROPN NOUN NOUN ADP PROPN PROPN PROPN NOUN VERB ADJ NOUN ADJ NOUN ADP NOUN ADP DET ADV VERB PROPN NOUN CCONJ ADJ VERB ADV ADJ ADP DET NOUN	▁Del hi ' s ▁response ▁has ▁been ▁complicated ▁by ▁the ▁existence ▁of ▁the ▁lam e ▁- ▁duck ▁Kashmir i ▁state ▁government ▁of ▁Dr ▁Far oo q ▁Abdullah , ▁who ▁fought ▁last ▁month ' s ▁general ▁election ▁in ▁alliance ▁with ▁the ▁then ▁governing ▁Congress ▁party , ▁and ▁which ▁is ▁deeply ▁un popu lar ▁in ▁the ▁valley .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN NOUN VERB VERB VERB ADP DET NOUN ADP DET ADJ ADJ PUNCT NOUN PROPN PROPN NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN NOUN VERB ADJ NOUN NOUN NOUN ADJ NOUN ADP NOUN ADP DET ADV VERB PROPN NOUN NOUN CCONJ ADJ VERB ADV ADJ ADJ ADJ ADP DET NOUN NOUN
Board of Trade President Michael Heseltine warned rebels they would be left with a lame duck administration if they did not ratify Maastricht.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	lame duck	figurative	identical	PROPN ADP PROPN PROPN PROPN PROPN VERB NOUN PRON VERB VERB VERB ADP DET ADJ NOUN NOUN ADP PRON VERB ADV VERB PROPN	▁Board ▁of ▁Trade ▁President ▁Michael ▁He sel tine ▁warned ▁rebel s ▁they ▁would ▁be ▁left ▁with ▁a ▁lam e ▁duck ▁administration ▁if ▁they ▁did ▁not ▁ratify ▁Maastricht .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	PROPN ADP PROPN PROPN PROPN PROPN PROPN PROPN VERB NOUN NOUN PRON VERB VERB VERB ADP DET ADJ ADJ NOUN NOUN ADP PRON VERB ADV VERB PROPN PROPN
As a result of the no - confidence vote, Poland faces four months with a lame - duck government at a time when hard decisions about privatisation, tax and banking reforms have been left untaken.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lame duck	figurative	dashes	ADP DET NOUN ADP DET DET PUNCT NOUN NOUN PROPN VERB NUM NOUN ADP DET ADJ PUNCT NOUN NOUN ADP DET NOUN ADV ADJ NOUN ADP NOUN NOUN CCONJ NOUN NOUN VERB VERB VERB ADJ	▁As ▁a ▁result ▁of ▁the ▁no ▁- ▁confidence ▁vote , ▁Poland ▁faces ▁four ▁months ▁with ▁a ▁lam e ▁- ▁duck ▁government ▁at ▁a ▁time ▁when ▁hard ▁decisions ▁about ▁privatisation , ▁tax ▁and ▁banking ▁reforms ▁have ▁been ▁left ▁un taken .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN ADP DET DET PUNCT NOUN NOUN NOUN PROPN VERB NUM NOUN ADP DET ADJ ADJ PUNCT NOUN NOUN ADP DET NOUN ADV ADJ NOUN ADP NOUN NOUN NOUN CCONJ NOUN NOUN VERB VERB VERB ADJ ADJ ADJ
He had turned out to be a lame duck and limped out of her life.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	lame duck	figurative	identical	PRON VERB VERB PART PART VERB DET ADJ NOUN CCONJ VERB ADP ADP ADJ NOUN	▁He ▁had ▁turned ▁out ▁to ▁be ▁a ▁lam e ▁duck ▁and ▁lim ped ▁out ▁of ▁her ▁life .	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	PRON VERB VERB PART PART VERB DET ADJ ADJ NOUN CCONJ VERB VERB ADP ADP ADJ NOUN NOUN
It may be desirable to spend what could otherwise be dole money on temporarily subsidizing lame ducks to ease the transition.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	lame duck	figurative	inflection	PRON VERB VERB ADJ PART VERB NOUN VERB ADV VERB ADJ NOUN ADP ADV VERB ADJ NOUN PART VERB DET NOUN	▁It ▁may ▁be ▁desirable ▁to ▁spend ▁what ▁could ▁otherwise ▁be ▁do le ▁money ▁on ▁temporarily ▁subsidiz ing ▁lam e ▁ducks ▁to ▁ease ▁the ▁transition .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	PRON VERB VERB ADJ PART VERB NOUN VERB ADV VERB ADJ ADJ NOUN ADP ADV VERB VERB ADJ ADJ NOUN PART VERB DET NOUN NOUN
This happened despite the government's claims that it was injecting market discipline into the private sector by not ‘ bailing out lame ducks’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	lame duck	figurative	deletion-determiner	DET VERB ADP DET NOUN NOUN ADP PRON VERB VERB NOUN NOUN ADP DET ADJ NOUN ADP ADV PUNCT VERB PART ADJ NOUN	▁This ▁happened ▁despite ▁the ▁government ' s ▁claims ▁that ▁it ▁was ▁injecting ▁market ▁discipline ▁into ▁the ▁private ▁sector ▁by ▁not ▁ ‘ ▁bail ing ▁out ▁lam e ▁ducks ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	DET VERB ADP DET NOUN NOUN NOUN NOUN ADP PRON VERB VERB NOUN NOUN ADP DET ADJ NOUN ADP ADV PUNCT PUNCT VERB VERB PART ADJ ADJ NOUN NOUN NOUN
