He says he is home and dry.	0 0 0 0 1 1 1	home and dry	figurative	identical	PRON VERB PRON VERB ADV CCONJ ADJ	▁He ▁says ▁he ▁is ▁home ▁and ▁dry .	0 0 0 0 1 1 1 1	PRON VERB PRON VERB ADV CCONJ ADJ ADJ
They 're home and dry.	0 0 1 1 1	home and dry	figurative	identical	PRON VERB ADV CCONJ ADJ	▁They ▁' re ▁home ▁and ▁dry .	0 0 0 1 1 1 1	PRON VERB VERB ADV CCONJ ADJ ADJ
Aim for that, and you 're home and dry!’	0 0 0 0 0 0 1 1 1	home and dry	figurative	dashes	VERB ADP DET CCONJ PRON VERB ADV CCONJ PROPN	▁A im ▁for ▁that , ▁and ▁you ▁' re ▁home ▁and ▁dry ! ’	0 0 0 0 0 0 0 0 0 1 1 1 1 1	VERB VERB ADP DET DET CCONJ PRON VERB VERB ADV CCONJ PROPN PROPN PROPN
Barcelona looked home and dry when going 2 - 0 up after 31 minutes but the Russians refused to surrender and scored three goals in 16 minutes either side of half - time.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	home and dry	figurative	identical	PROPN VERB ADV CCONJ ADJ ADV VERB NUM SYM NUM ADV ADP NUM NOUN CCONJ DET PROPN VERB PART VERB CCONJ VERB NUM NOUN ADP NUM NOUN CCONJ NOUN ADP ADJ PUNCT NOUN	▁Barcelona ▁looked ▁home ▁and ▁dry ▁when ▁going ▁2 ▁- ▁0 ▁up ▁after ▁31 ▁minutes ▁but ▁the ▁Russian s ▁refused ▁to ▁surrender ▁and ▁score d ▁three ▁goals ▁in ▁16 ▁minutes ▁either ▁side ▁of ▁half ▁- ▁time .	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN VERB ADV CCONJ ADJ ADV VERB NUM SYM NUM ADV ADP NUM NOUN CCONJ DET PROPN PROPN VERB PART VERB CCONJ VERB VERB NUM NOUN ADP NUM NOUN CCONJ NOUN ADP ADJ PUNCT NOUN NOUN
For the afternoon round trip from Crewe via Chester and Shrewsbury on the steam - hauled Cheshire Cheese ( buy your own coffee ), fifteen pounds was seeing you home and dry.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	home and dry	figurative	identical	ADP DET NOUN NOUN NOUN ADP PROPN ADP PROPN CCONJ PROPN ADP DET NOUN PUNCT VERB PROPN PROPN PUNCT VERB ADJ ADJ NOUN PUNCT NUM NOUN VERB VERB PRON ADV CCONJ ADJ	▁For ▁the ▁afternoon ▁round ▁trip ▁from ▁C rew e ▁via ▁Chest er ▁and ▁S h rew s bur y ▁on ▁the ▁steam ▁- ▁haul ed ▁Che shire ▁Cheese ▁( ▁buy ▁your ▁own ▁coffee ▁ ), ▁fifteen ▁pounds ▁was ▁seeing ▁you ▁home ▁and ▁dry .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP DET NOUN NOUN NOUN ADP PROPN PROPN PROPN ADP PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN PROPN ADP DET NOUN PUNCT VERB VERB PROPN PROPN PROPN PUNCT VERB ADJ ADJ NOUN PUNCT PUNCT NUM NOUN VERB VERB PRON ADV CCONJ ADJ ADJ
Although Kemira is not completely home and dry, the EC will find it virtually impossible not to find a solution to the problems it has recognised.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	home and dry	figurative	identical	ADP PROPN VERB ADV ADV ADV CCONJ ADJ DET PROPN VERB VERB PRON ADV ADJ ADV PART VERB DET NOUN ADP DET NOUN PRON VERB VERB	▁Although ▁Kem ira ▁is ▁not ▁completely ▁home ▁and ▁dry , ▁the ▁EC ▁will ▁find ▁it ▁virtual ly ▁impossible ▁not ▁to ▁find ▁a ▁solution ▁to ▁the ▁problems ▁it ▁has ▁recognised .	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PROPN PROPN VERB ADV ADV ADV CCONJ ADJ ADJ DET PROPN VERB VERB PRON ADV ADV ADJ ADV PART VERB DET NOUN ADP DET NOUN PRON VERB VERB VERB
Although Kemira is not completely home and dry, the EC will find it virtually impossible not to find a solution to the problems it has recognised.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	home and dry	figurative	identical	ADP PROPN VERB ADV ADV ADV CCONJ ADJ DET PROPN VERB VERB PRON ADV ADJ ADV PART VERB DET NOUN ADP DET NOUN PRON VERB VERB	▁Although ▁Kem ira ▁is ▁not ▁completely ▁home ▁and ▁dry , ▁the ▁EC ▁will ▁find ▁it ▁virtual ly ▁impossible ▁not ▁to ▁find ▁a ▁solution ▁to ▁the ▁problems ▁it ▁has ▁recognised .	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PROPN PROPN VERB ADV ADV ADV CCONJ ADJ ADJ DET PROPN VERB VERB PRON ADV ADV ADJ ADV PART VERB DET NOUN ADP DET NOUN PRON VERB VERB VERB
GUIL:(The nursemaid ) There! … and we 'll soon be home and dry … and high and dry …	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	home and dry	figurative	identical	PROPN ADJ PUNCT ADV PUNCT CCONJ PRON VERB ADV VERB ADV CCONJ ADJ PUNCT CCONJ ADJ CCONJ ADJ PUNCT	▁GU IL : ( The ▁nurse m aid ▁ ) ▁There ! ▁... ▁and ▁we ▁' ll ▁soon ▁be ▁home ▁and ▁dry ▁... ▁and ▁high ▁and ▁dry ▁...	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN ADJ ADJ ADJ PUNCT PUNCT ADV ADV PUNCT CCONJ PRON VERB VERB ADV VERB ADV CCONJ ADJ PUNCT CCONJ ADJ CCONJ ADJ PUNCT
With this discovery the concept of sea - floor spreading was home and dry, and almost universally accepted.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	home and dry	figurative	identical	ADP DET NOUN DET NOUN ADP NOUN PUNCT NOUN NOUN VERB ADV CCONJ ADJ CCONJ ADV ADV VERB	▁With ▁this ▁discovery ▁the ▁concept ▁of ▁sea ▁- ▁floor ▁spreading ▁was ▁home ▁and ▁dry , ▁and ▁almost ▁universal ly ▁accepted .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	ADP DET NOUN DET NOUN ADP NOUN PUNCT NOUN NOUN VERB ADV CCONJ ADJ ADJ CCONJ ADV ADV ADV VERB VERB
Kieron Brady was the executinor … and Doncaster were home and dry …	0 0 0 0 0 0 0 0 0 1 1 1 0	home and dry	figurative	identical	PROPN PROPN VERB DET NOUN PUNCT CCONJ PROPN VERB ADV CCONJ ADJ PUNCT	▁K ier on ▁Bra dy ▁was ▁the ▁ex ecu tin or ▁... ▁and ▁Don c aster ▁were ▁home ▁and ▁dry ▁...	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	PROPN PROPN PROPN PROPN PROPN VERB DET NOUN NOUN NOUN NOUN PUNCT CCONJ PROPN PROPN PROPN VERB ADV CCONJ ADJ PUNCT
I think basically, if you 've got good colour sense you 're home and dry as I have said many times, it doesn't matter how you put it together, but if the colours are superb, it's going to look good.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	home and dry	figurative	identical	PRON VERB ADV ADP PRON VERB VERB ADJ NOUN NOUN PRON VERB ADV CCONJ ADJ ADP PRON VERB VERB ADJ NOUN PRON VERB VERB ADV PRON VERB PRON ADV CCONJ ADP DET NOUN VERB ADJ PRON VERB PART VERB ADJ	▁I ▁think ▁basic ally , ▁if ▁you ▁' ve ▁got ▁good ▁colour ▁sense ▁you ▁' re ▁home ▁and ▁dry ▁as ▁I ▁have ▁said ▁many ▁times , ▁it ▁does n ' t ▁matter ▁how ▁you ▁put ▁it ▁together , ▁but ▁if ▁the ▁colours ▁are ▁super b , ▁it ' s ▁going ▁to ▁look ▁good .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADV ADV ADV ADP PRON VERB VERB VERB ADJ NOUN NOUN PRON VERB VERB ADV CCONJ ADJ ADP PRON VERB VERB ADJ NOUN NOUN PRON VERB VERB VERB VERB VERB ADV PRON VERB PRON ADV ADV CCONJ ADP DET NOUN VERB ADJ ADJ ADJ PRON PRON PRON VERB PART VERB ADJ ADJ
If Components Bureau can beat the champions for a second time, then they will virtually be home and dry.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	home and dry	figurative	identical	ADP PROPN PROPN VERB VERB DET NOUN ADP DET ADJ NOUN ADV PRON VERB ADV VERB ADV CCONJ ADJ	▁If ▁Components ▁Bureau ▁can ▁beat ▁the ▁champion s ▁for ▁a ▁second ▁time , ▁then ▁they ▁will ▁virtual ly ▁be ▁home ▁and ▁dry .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP PROPN PROPN VERB VERB DET NOUN NOUN ADP DET ADJ NOUN NOUN ADV PRON VERB ADV ADV VERB ADV CCONJ ADJ ADJ
We were home and dry.	0 0 1 1 1	home and dry	figurative	identical	PRON VERB ADV CCONJ ADJ	▁We ▁were ▁home ▁and ▁dry .	0 0 1 1 1 1	PRON VERB ADV CCONJ ADJ ADJ
So, we 're home and dry with some help for these people.	0 0 0 1 1 1 0 0 0 0 0 0	home and dry	figurative	identical	CCONJ PRON VERB ADV CCONJ ADJ ADP DET NOUN ADP DET NOUN	▁So , ▁we ▁' re ▁home ▁and ▁dry ▁with ▁some ▁help ▁for ▁these ▁people .	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	CCONJ CCONJ PRON VERB VERB ADV CCONJ ADJ ADP DET NOUN ADP DET NOUN NOUN
Level 10 has the awesome super guard, kill him and your home and dry, if only you could kill him!	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	home and dry	figurative	identical	NOUN NUM VERB DET ADJ ADJ NOUN VERB PRON CCONJ ADJ NOUN CCONJ ADJ ADP ADV PRON VERB VERB PRON	▁Level ▁10 ▁has ▁the ▁a we some ▁super ▁guard , ▁kill ▁him ▁and ▁your ▁home ▁and ▁dry , ▁if ▁only ▁you ▁could ▁kill ▁him !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	NOUN NUM VERB DET ADJ ADJ ADJ ADJ NOUN NOUN VERB PRON CCONJ ADJ NOUN CCONJ ADJ ADJ ADP ADV PRON VERB VERB PRON PRON
‘ His father,’ he began — and Theodora knew she was home and dry —‘was a regular army officer.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	home and dry	figurative	identical	PUNCT ADJ X PRON VERB PUNCT CCONJ PROPN VERB PRON VERB ADV CCONJ ADJ VERB DET ADJ NOUN NOUN	▁ ‘ ▁His ▁father , ’ ▁he ▁began ▁ — ▁and ▁The od or a ▁knew ▁she ▁was ▁home ▁and ▁dry ▁ —‘ was ▁a ▁regular ▁army ▁officer .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	PUNCT PUNCT ADJ X X X PRON VERB PUNCT PUNCT CCONJ PROPN PROPN PROPN PROPN VERB PRON VERB ADV CCONJ ADJ VERB VERB VERB DET ADJ NOUN NOUN NOUN
Level 10 has the awesome super guard, kill him and your home and dry, if only you could kill him!	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	home and dry	figurative	identical	NOUN NUM VERB DET ADJ ADJ NOUN VERB PRON CCONJ ADJ NOUN CCONJ ADJ ADP ADV PRON VERB VERB PRON	▁Level ▁10 ▁has ▁the ▁a we some ▁super ▁guard , ▁kill ▁him ▁and ▁your ▁home ▁and ▁dry , ▁if ▁only ▁you ▁could ▁kill ▁him !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	NOUN NUM VERB DET ADJ ADJ ADJ ADJ NOUN NOUN VERB PRON CCONJ ADJ NOUN CCONJ ADJ ADJ ADP ADV PRON VERB VERB PRON PRON
But even then employers are not necessarily home and dry.	0 0 0 0 0 0 0 1 1 1	home and dry	figurative	identical	CCONJ ADV ADV NOUN VERB ADV ADV ADV CCONJ ADJ	▁But ▁even ▁then ▁employers ▁are ▁not ▁necessarily ▁home ▁and ▁dry .	0 0 0 0 0 0 0 1 1 1 1	CCONJ ADV ADV NOUN VERB ADV ADV ADV CCONJ ADJ ADJ
‘ Uh - oh, Cloughie thinks we 're home and dry.’	0 0 0 0 0 0 0 0 1 1 1	home and dry	figurative	dashes	PUNCT INTJ PUNCT INTJ PROPN VERB PRON VERB ADV CCONJ ADJ	▁ ‘ ▁U h ▁- ▁ oh , ▁C lough ie ▁thinks ▁we ▁' re ▁home ▁and ▁dry . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PUNCT PUNCT INTJ INTJ PUNCT INTJ INTJ INTJ PROPN PROPN PROPN VERB PRON VERB VERB ADV CCONJ ADJ ADJ ADJ
