Scraping rock bottom	0 1 1	rock bottom	figurative	identical	VERB NOUN NOUN	▁Sc rap ing ▁rock ▁bottom	0 0 0 1 1	VERB VERB VERB NOUN NOUN
There are those who believe that hitting a real " rock bottom ", losing absolutely everything and then struggling back solely with the aid of the Anonymous Fellowships, is the only true recovery.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	identical	ADV VERB DET NOUN VERB ADP VERB DET ADJ PUNCT NOUN NOUN PUNCT VERB ADV NOUN CCONJ ADV VERB ADV ADV ADP DET NOUN ADP DET PROPN PROPN VERB DET ADJ ADJ NOUN	▁There ▁are ▁those ▁who ▁believe ▁that ▁hit ting ▁a ▁real ▁" ▁rock ▁bottom ▁" , ▁ losing ▁absolutely ▁everything ▁and ▁then ▁struggling ▁back ▁solely ▁with ▁the ▁aid ▁of ▁the ▁An on ym ous ▁F el low ships , ▁is ▁the ▁only ▁true ▁recovery .	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV VERB DET NOUN VERB ADP VERB VERB DET ADJ PUNCT NOUN NOUN PUNCT PUNCT VERB VERB ADV NOUN CCONJ ADV VERB ADV ADV ADP DET NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB DET ADJ ADJ NOUN NOUN
They 're up to their ears in them because the wet summer has produced a glut … and forced prices to rock bottom.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	rock bottom	figurative	identical	PRON VERB ADP ADP ADJ NOUN ADP PRON ADP DET ADJ NOUN VERB VERB DET NOUN PUNCT CCONJ VERB NOUN PART VERB NOUN	▁They ▁' re ▁up ▁to ▁their ▁ears ▁in ▁them ▁because ▁the ▁wet ▁summer ▁has ▁produced ▁a ▁glu t ▁... ▁and ▁forced ▁prices ▁to ▁rock ▁bottom .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	PRON VERB VERB ADP ADP ADJ NOUN ADP PRON ADP DET ADJ NOUN VERB VERB DET NOUN NOUN PUNCT CCONJ VERB NOUN PART VERB NOUN NOUN
‘ Your opinion of me is just about rock bottom, isn't it?’	0 0 0 0 0 0 0 0 1 1 0 0	rock bottom	figurative	identical	PUNCT ADJ NOUN ADP PRON VERB ADV ADP NOUN NOUN VERB ADJ	▁ ‘ ▁Your ▁opinion ▁of ▁me ▁is ▁just ▁about ▁rock ▁bottom , ▁is n ' t ▁it ? ’	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	PUNCT PUNCT ADJ NOUN ADP PRON VERB ADV ADP NOUN NOUN NOUN VERB VERB VERB VERB ADJ ADJ ADJ
Today, the US Treasury can still borrow unlimited amounts at rock - bottom interest rates.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	rock bottom	figurative	dashes	NOUN DET PROPN PROPN VERB ADV VERB ADJ NOUN ADP NOUN PUNCT NOUN NOUN NOUN	▁Today , ▁the ▁US ▁Treasury ▁can ▁still ▁borrow ▁unlimited ▁amounts ▁at ▁rock ▁- ▁bottom ▁interest ▁rates .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	NOUN NOUN DET PROPN PROPN VERB ADV VERB ADJ NOUN ADP NOUN PUNCT NOUN NOUN NOUN NOUN
and it's extraordinary to notice to make a note of the fact that from being a defender of the people, a popular character, Jesus now is hitting rock bottom.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	rock bottom	figurative	identical	CCONJ PRON ADJ PART VERB PART VERB DET NOUN ADP DET NOUN ADP ADP VERB DET NOUN ADP DET NOUN DET ADJ NOUN PROPN ADV VERB VERB NOUN NOUN	▁and ▁it ' s ▁extraordinary ▁to ▁notice ▁to ▁make ▁a ▁note ▁of ▁the ▁fact ▁that ▁from ▁being ▁a ▁defend er ▁of ▁the ▁people , ▁a ▁popular ▁character , ▁Jesus ▁now ▁is ▁hit ting ▁rock ▁bottom .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	CCONJ PRON PRON PRON ADJ PART VERB PART VERB DET NOUN ADP DET NOUN ADP ADP VERB DET NOUN NOUN ADP DET NOUN NOUN DET ADJ NOUN NOUN PROPN ADV VERB VERB VERB NOUN NOUN NOUN
' Rock bottom ' sounds nasty, but in fact the whole experience is rather disappointingly painless.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	case	PUNCT PROPN NOUN PUNCT VERB ADJ CCONJ ADP NOUN DET ADJ NOUN VERB ADV ADV ADJ	▁' ▁Rock ▁bottom ▁' ▁sound s ▁na s ty , ▁but ▁in ▁fact ▁the ▁whole ▁experience ▁is ▁rather ▁disappointing ly ▁pain less .	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PROPN NOUN PUNCT VERB VERB ADJ ADJ ADJ ADJ CCONJ ADP NOUN DET ADJ NOUN VERB ADV ADV ADV ADJ ADJ ADJ
But this time he does seem to have hit rock bottom.	0 0 0 0 0 0 0 0 0 1 1	rock bottom	figurative	identical	CCONJ DET NOUN PRON VERB VERB PART VERB VERB NOUN NOUN	▁But ▁this ▁time ▁he ▁does ▁seem ▁to ▁have ▁hit ▁rock ▁bottom .	0 0 0 0 0 0 0 0 0 1 1 1	CCONJ DET NOUN PRON VERB VERB PART VERB VERB NOUN NOUN NOUN
As most of Paterson's book deals with the histories of Ayrshire's leading families, his comment on the shoot may have been coloured by a desire to please the gentry involved in the Society, as by 1870 interest had declined to rock bottom with no entries for the papingo shoot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	rock bottom	figurative	identical	ADP ADJ ADP PROPN NOUN NOUN ADP DET NOUN ADP PROPN VERB NOUN ADJ NOUN ADP DET NOUN VERB VERB VERB VERB ADP DET NOUN PART VERB DET NOUN VERB ADP DET PROPN ADP ADP NUM NOUN VERB VERB PART VERB NOUN ADP DET NOUN ADP DET NOUN NOUN	▁As ▁most ▁of ▁Pat erson ' s ▁book ▁deals ▁with ▁the ▁his to ries ▁of ▁A yr shire ' s ▁leading ▁families , ▁his ▁comment ▁on ▁the ▁shoot ▁may ▁have ▁been ▁coloured ▁by ▁a ▁desire ▁to ▁please ▁the ▁g entry ▁involved ▁in ▁the ▁Society , ▁as ▁by ▁18 70 ▁interest ▁had ▁declined ▁to ▁rock ▁bottom ▁with ▁no ▁entries ▁for ▁the ▁p ap ing o ▁shoot .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	ADP ADJ ADP PROPN PROPN PROPN PROPN NOUN NOUN ADP DET NOUN NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN VERB NOUN NOUN ADJ NOUN ADP DET NOUN VERB VERB VERB VERB ADP DET NOUN PART VERB DET NOUN NOUN VERB ADP DET PROPN PROPN ADP ADP NUM NUM NOUN VERB VERB PART VERB NOUN ADP DET NOUN ADP DET NOUN NOUN NOUN NOUN NOUN NOUN
We now have the lowest rates in Europe and rock bottom inflation.	0 0 0 0 0 0 0 0 0 1 1 0	rock bottom	figurative	identical	PRON ADV VERB DET ADJ NOUN ADP PROPN CCONJ NOUN ADJ NOUN	▁We ▁now ▁have ▁the ▁lowest ▁rates ▁in ▁Europe ▁and ▁rock ▁bottom ▁inflation .	0 0 0 0 0 0 0 0 0 1 1 0 0	PRON ADV VERB DET ADJ NOUN ADP PROPN CCONJ NOUN ADJ NOUN NOUN
That setback left Howard Kendall's men just three points off the foot of the table with the game looming against rock - bottom Forest.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	rock bottom	figurative	dashes	DET NOUN VERB PROPN PROPN NOUN ADV NUM NOUN PART DET NOUN ADP DET NOUN ADP DET NOUN VERB ADP NOUN PUNCT NOUN PROPN	▁That ▁set back ▁left ▁How ard ▁K end all ' s ▁men ▁just ▁three ▁points ▁off ▁the ▁foot ▁of ▁the ▁table ▁with ▁the ▁game ▁ loom ing ▁against ▁rock ▁- ▁bottom ▁Forest .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	DET NOUN NOUN VERB PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN ADV NUM NOUN PART DET NOUN ADP DET NOUN ADP DET NOUN VERB VERB VERB ADP NOUN PUNCT NOUN PROPN PROPN
In another report, Texaco fixed a ULCC of about 320,000 tonnes out of the Gulf at a rock - bottom rate of W20.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	rock bottom	figurative	dashes	ADP DET NOUN PROPN VERB DET PROPN ADP ADV NUM NOUN ADP ADP DET PROPN ADP DET NOUN PUNCT NOUN NOUN ADP PROPN	▁In ▁another ▁report , ▁Te xa co ▁fixed ▁a ▁UL CC ▁of ▁about ▁32 0,000 ▁tonnes ▁out ▁of ▁the ▁Gulf ▁at ▁a ▁rock ▁- ▁bottom ▁rate ▁of ▁W 20 .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	ADP DET NOUN NOUN PROPN PROPN PROPN VERB DET PROPN PROPN ADP ADV NUM NUM NOUN ADP ADP DET PROPN ADP DET NOUN PUNCT NOUN NOUN ADP PROPN PROPN PROPN
Cabinet colleagues back PM as he hits rock bottom in polls	0 0 0 0 0 0 0 1 1 0 0	rock bottom	figurative	identical	NOUN NOUN VERB NOUN ADP PRON VERB NOUN NOUN ADP NOUN	▁Cabinet ▁colleagues ▁back ▁PM ▁as ▁he ▁hit s ▁rock ▁bottom ▁in ▁poll s	0 0 0 0 0 0 0 0 1 1 0 0 0	NOUN NOUN VERB NOUN ADP PRON VERB VERB NOUN NOUN ADP NOUN NOUN
At the time, I thought one had hit rock bottom.	0 0 0 0 0 0 0 0 1 1	rock bottom	figurative	identical	ADP DET NOUN PRON VERB PRON VERB VERB NOUN NOUN	▁At ▁the ▁time , ▁I ▁thought ▁one ▁had ▁hit ▁rock ▁bottom .	0 0 0 0 0 0 0 0 0 1 1 1	ADP DET NOUN NOUN PRON VERB PRON VERB VERB NOUN NOUN NOUN
It will, because er in part, under compulsory competitive tendering, the pricing is driven down to rock bottom and below.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	rock bottom	figurative	identical	PRON VERB ADP INTJ ADP NOUN ADP ADJ ADJ NOUN DET NOUN VERB VERB PART ADP NOUN NOUN CCONJ ADV	▁It ▁will , ▁because ▁er ▁in ▁part , ▁under ▁compulsory ▁competitive ▁tendering , ▁the ▁pricing ▁is ▁driven ▁down ▁to ▁rock ▁bottom ▁and ▁below .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	PRON VERB VERB ADP INTJ ADP NOUN NOUN ADP ADJ ADJ NOUN NOUN DET NOUN VERB VERB PART ADP NOUN NOUN CCONJ ADV ADV
For decades, developing countries dreamed of a nirvana of sky - high commodity prices and rock - bottom international interest rates.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	rock bottom	figurative	dashes	ADP NOUN VERB NOUN VERB ADP DET NOUN ADP NOUN PUNCT ADJ NOUN NOUN CCONJ NOUN PUNCT ADJ ADJ NOUN NOUN	▁For ▁decades , ▁developing ▁countries ▁dream ed ▁of ▁a ▁ni rv ana ▁of ▁sky ▁- ▁high ▁commodity ▁prices ▁and ▁rock ▁- ▁bottom ▁international ▁interest ▁rates .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	ADP NOUN NOUN VERB NOUN VERB VERB ADP DET NOUN NOUN NOUN ADP NOUN PUNCT ADJ NOUN NOUN CCONJ NOUN PUNCT ADJ ADJ NOUN NOUN NOUN
JOHN Major's Cabinet colleagues yesterday ruled out a leadership challenge this side of the general election, as the Prime Minister's stock remains at rock bottom in new opinion polls.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	rock bottom	figurative	identical	PROPN PROPN PROPN NOUN NOUN VERB PART DET NOUN NOUN DET NOUN ADP DET ADJ NOUN ADP DET PROPN PROPN NOUN VERB ADP NOUN NOUN ADP ADJ NOUN NOUN	▁JO HN ▁Major ' s ▁Cabinet ▁colleagues ▁yesterday ▁ruled ▁out ▁a ▁leadership ▁challenge ▁this ▁side ▁of ▁the ▁general ▁election , ▁as ▁the ▁Prime ▁Minister ' s ▁stock ▁remains ▁at ▁rock ▁bottom ▁in ▁new ▁opinion ▁poll s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN NOUN NOUN VERB PART DET NOUN NOUN DET NOUN ADP DET ADJ NOUN NOUN ADP DET PROPN PROPN PROPN PROPN NOUN VERB ADP NOUN NOUN ADP ADJ NOUN NOUN NOUN NOUN
