The route then heads south west to Force Mills.	0 0 0 1 1 0 0 0 0	head south	literal	inflection	DET NOUN ADV VERB ADV ADV ADP PROPN PROPN
On Thursday morning we leave Fresno and head south into the Sequoia National Forest, home of the country's largest redwood trees.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	identical	ADP PROPN NOUN PRON VERB PROPN CCONJ VERB ADV ADP DET PROPN PROPN PROPN NOUN ADP DET NOUN ADJ NOUN NOUN
The driver closed the door behind him and moments later the car drew away from the road - block, heading south.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	head south	literal	inflection	DET NOUN VERB DET NOUN ADP PRON CCONJ NOUN ADV DET NOUN VERB ADV ADP DET NOUN PUNCT NOUN VERB ADV
Ward took the wheel as we left the hotel, but instead of heading south, he turned north, and when Iris Sunderby remonstrated with him, all he said was, ‘ Chanchán.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	inflection	PROPN VERB DET NOUN ADP PRON VERB DET NOUN CCONJ ADV ADP VERB ADV PRON VERB ADV CCONJ ADV PROPN PROPN VERB ADP PRON DET PRON VERB VERB PUNCT PROPN
From the Stac Polly car park, the road continues eastwards through scenes of mountain grandeur, skirting the lower slopes of Cul Beag and reaching the main road, now the A.835, coming from Kylesku or Lairg and heading south to Ullapool, with retrospective views of Stac Polly until declining into Strath Kanaird and arriving on the coast at Ardmair Bay.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	inflection	ADP DET PROPN PROPN NOUN NOUN DET NOUN VERB NOUN ADP NOUN ADP NOUN NOUN VERB DET ADJ NOUN ADP PROPN PROPN CCONJ VERB DET ADJ NOUN ADV DET NOUN VERB ADP PROPN CCONJ PROPN CCONJ VERB ADV ADP PROPN ADP ADJ NOUN ADP PROPN PROPN ADP VERB ADP PROPN PROPN CCONJ VERB ADP DET NOUN ADP PROPN PROPN
I 'm on a train now, heading south at evening.	0 0 0 0 0 0 1 1 0 0	head south	literal	inflection	PRON VERB ADP DET NOUN ADV VERB ADV ADP NOUN
The approval ratings for Russia ’s president and prime ~ minister are heading south.	0 0 0 0 0 0 0 0 0 0 0 0 1 1	head south	figurative	inflection	DET NOUN NOUN ADP PROPN PART NOUN CCONJ ADJ PUNCT NOUN VERB VERB ADV
The next section cross rolling countryside to the strangely named Joan's Hole before heading south - west to climb Abberley Hill.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	head south	literal	inflection	DET ADJ NOUN NOUN VERB NOUN ADP DET ADV VERB PROPN PROPN ADP VERB ADV PUNCT NOUN PART VERB PROPN PROPN
For some open road we headed south on the A34 circling Oxford.	0 0 0 0 0 1 1 0 0 0 0 0	head south	literal	inflection	ADP DET ADJ NOUN PRON VERB ADV ADP DET PROPN VERB PROPN
If one can go north, one can turn around and head south ; equally, if one can go forward in imaginary time, one ought to be able to turn round and go backward.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	identical	ADP PRON VERB VERB ADV PRON VERB VERB PART CCONJ VERB ADV PUNCT ADV ADP PRON VERB VERB ADV ADP ADJ NOUN PRON VERB PART VERB ADJ PART VERB ADV CCONJ VERB ADV
Heading south and with part of it reportedly burning, it threatened to have a devastating effect on the marine environment of the northern Gulf, which was particularly vulnerable as a shallow, largely closed area of water with little natural turbulence or tidal flushing.	1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	combined-inflection	VERB ADV CCONJ ADP NOUN ADP PRON ADV VERB PRON VERB PART VERB DET ADJ NOUN ADP DET ADJ NOUN ADP DET ADJ PROPN ADJ VERB ADV ADJ ADP DET ADJ ADV ADJ NOUN ADP NOUN ADP ADJ ADJ NOUN CCONJ ADJ NOUN
In 1989, she headed south from her birthplace to settle in the forests east of the Värmland town of Arvika.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	inflection	ADP NUM PRON VERB ADV ADP ADJ NOUN PART VERB ADP DET NOUN ADV ADP DET PROPN NOUN ADP PROPN
His stage set, along with the thumping music, flashing lights, and dry - ice clouds that go with it, had just come in from Scotland, and was due to head south as soon as we television camp - followers had done our reports in front of it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	identical	ADJ NOUN VERB ADP ADP DET NOUN NOUN NOUN NOUN CCONJ ADJ PUNCT NOUN NOUN ADJ VERB ADP PRON VERB ADV VERB PART ADP PROPN CCONJ VERB ADJ PART VERB ADV ADV ADV ADP PRON NOUN NOUN PUNCT NOUN VERB VERB ADJ NOUN ADP NOUN ADP PRON
How to give such support is the crux of the problem, Ms Hewitt muses as she heads back south.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	head south	literal	combined-inflection	ADV PART VERB ADJ NOUN VERB DET NOUN ADP DET NOUN PROPN PROPN NOUN ADP PRON VERB ADV ADV
The smallest road I could find on my not - very - good road map headed south - east from Idar towards Kaiserslautern, through the hill country of the Bergland.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	inflection	DET ADJ NOUN PRON VERB VERB ADP ADJ ADV PUNCT ADV PUNCT ADJ NOUN NOUN VERB ADJ PUNCT NOUN ADP PROPN ADP PROPN ADP DET NOUN NOUN ADP DET PROPN
We 're heading south.	0 0 1 1	head south	literal	inflection	PRON VERB VERB ADV
From Sgwyd yr Eira head south to Dinas Rock, staying on the east side of the Mellte and make your way back to Pont - Nedd - Fechan.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	identical	ADP PROPN PROPN PROPN NOUN ADV ADP PROPN PROPN VERB ADP DET ADJ NOUN ADP DET PROPN CCONJ VERB ADJ NOUN ADV ADP PROPN PUNCT PROPN PUNCT PROPN
Follow this track over a stile heading south.	0 0 0 0 0 0 1 1	head south	literal	inflection	VERB DET NOUN ADP DET NOUN NOUN ADV
Next thing I know, he 'd driven out of there, hell for leather, in a bright red sports car, and headed south.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	head south	literal	inflection	ADJ NOUN PRON VERB PRON VERB VERB ADP ADP ADV NOUN ADP NOUN ADP DET ADJ ADJ NOUN NOUN CCONJ VERB ADV
After completing a tour of the baroque wonders of Prague, I decided that my detour from the Danube had lasted long enough, and that it was time to head south again.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	head south	literal	identical	ADP VERB DET NOUN ADP DET NOUN NOUN ADP PROPN PRON VERB ADP ADJ NOUN ADP DET PROPN VERB VERB ADV ADV CCONJ ADP PRON VERB NOUN PART VERB ADV ADV
Soon we were off, heading south on the coastal Sligo Road.	0 0 0 0 1 1 0 0 0 0 0	head south	literal	inflection	ADV PRON VERB ADV VERB ADV ADP DET ADJ PROPN PROPN
There was even a report from three sea anglers off Folkestone who saw the eagle heading south - west over the Channel towards France.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	head south	literal	inflection	ADV VERB ADV DET NOUN ADP NUM NOUN NOUN ADP PROPN NOUN VERB DET NOUN VERB ADJ PUNCT NOUN ADP DET PROPN ADP PROPN
Go south descending over rocky terrain at first to reach a track heading south - west along a ridge to reach Craig Llugwy spur ( 678 632 ).	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	inflection	VERB ADV VERB ADP ADJ NOUN ADP ADV PART VERB DET NOUN VERB ADV PUNCT NOUN ADP DET NOUN PART VERB PROPN PROPN NOUN PUNCT NUM NUM PUNCT
I dawdled around for a while and then headed south.	0 0 0 0 0 0 0 0 1 1	head south	literal	inflection	PRON VERB ADV ADP DET NOUN CCONJ ADV VERB ADV
To reach Ireby, descend alongside the wall heading south - west, crossing it where convenient and continuing down the other side until confronted by a large shakehole with a floor of boulders.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	inflection	PART VERB PROPN VERB ADP DET NOUN VERB ADV PUNCT NOUN VERB PRON ADV ADJ CCONJ VERB PART DET ADJ NOUN ADP VERB ADP DET ADJ NOUN ADP DET NOUN ADP NOUN
The A sixty one is is heading due south.	0 0 0 0 0 0 1 0 1	head south	literal	combined-inflection	DET PROPN NUM NOUN VERB VERB VERB ADJ ADV
Head south and turn left at the point where you see a track on the right to North Appleford.	1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	case	PROPN ADV CCONJ VERB VERB ADP DET NOUN ADV PRON VERB DET NOUN ADP DET NOUN ADP PROPN PROPN
Donleavy, accompanied this time by another agent, arrived there early next morning, the 15th, for a full day's debriefing, and that night Coleman headed south for Alabama to rejoin Mary - Claude at the Lake Martin cottage.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	inflection	PROPN VERB DET NOUN ADP DET NOUN VERB ADV ADJ ADJ NOUN DET NOUN ADP DET ADJ NOUN NOUN CCONJ DET NOUN PROPN VERB ADV ADP PROPN PART VERB PROPN PUNCT PROPN ADP DET PROPN PROPN NOUN
Pickpockets head south	0 1 1	head south	literal	identical	NOUN VERB ADV
Their quick advance set in motion a panicked mass flight heading south.	0 0 0 0 0 0 0 0 0 0 1 1	head south	literal	inflection	ADJ ADJ NOUN VERB ADP NOUN DET VERB NOUN NOUN NOUN ADV
Ouragon No 215 was a familiar scene in the airfield carpark at Abbeville to thousands of tourists as they left the ferry ports and headed south through France.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	head south	literal	inflection	PROPN PROPN NUM VERB DET ADJ NOUN ADP DET NOUN NOUN ADP PROPN ADP NOUN ADP NOUN ADP PRON VERB DET NOUN NOUN CCONJ VERB ADV ADP PROPN
No. 61145 heads south towards Grassmoor and into history.	0 0 1 1 0 0 0 0 0	head south	literal	inflection	INTJ NUM NOUN ADV ADP PROPN CCONJ ADP NOUN
One local woman had said she 'd had it with Petrolia, packed up her things and headed south.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	head south	literal	inflection	NUM ADJ NOUN VERB VERB PRON VERB VERB PRON ADP PROPN VERB PART ADJ NOUN CCONJ VERB ADV
In Ariel ( 15 ) a miner who has been made redundant heads south to Helsinki and falls in love.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	head south	literal	inflection	ADP PROPN PUNCT NUM PUNCT DET NOUN NOUN VERB VERB VERB ADJ NOUN ADV ADP PROPN CCONJ VERB ADP NOUN
Start an afternoon's walk from the town centre and head south to the River Brue and Kennard Moor.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	head south	literal	identical	VERB DET NOUN NOUN ADP DET NOUN NOUN CCONJ NOUN ADV ADP DET PROPN PROPN CCONJ PROPN PROPN
In it, a miner who has been made redundant heads south to Helsinki and falls in love.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	head south	literal	inflection	ADP PRON DET NOUN NOUN VERB VERB VERB ADJ NOUN ADV ADP PROPN CCONJ VERB ADP NOUN
A descent of the western slope over rough ground leads to a confluence of streams that now goes forward as Hell Gill Beck, still forming the county boundary and being accompanied by a track as it heads south - west.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	head south	literal	inflection	DET NOUN ADP DET ADJ NOUN ADP ADJ NOUN VERB ADP DET NOUN ADP NOUN ADJ ADV VERB ADV ADP PROPN PROPN PROPN ADV VERB DET NOUN NOUN CCONJ VERB VERB ADP DET NOUN ADP PRON VERB ADV PUNCT NOUN
