As Crilly is taken back into the cells, he catches my eyes.	0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	ADP PROPN VERB VERB ADV ADP DET NOUN PRON VERB ADJ NOUN	▁As ▁Cr illy ▁is ▁taken ▁back ▁into ▁the ▁cells , ▁he ▁catches ▁my ▁eyes .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP PROPN PROPN VERB VERB ADV ADP DET NOUN NOUN PRON VERB ADJ NOUN NOUN
Ursula turned away and instantly caught Charlotte's eye.	0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	NOUN VERB ADV CCONJ ADV VERB PROPN NOUN	▁Ur s ula ▁turned ▁away ▁and ▁in stantly ▁caught ▁Char l otte ' s ▁eye .	0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1	NOUN NOUN NOUN VERB ADV CCONJ ADV ADV VERB PROPN PROPN PROPN PROPN PROPN NOUN NOUN
But a large plate of bread slices, nearly invisible beneath a glossy coating of dark red jam, caught my eye as I walked past their stall.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	CCONJ DET ADJ NOUN ADP NOUN NOUN ADV ADJ ADP DET ADJ NOUN ADP ADJ ADJ NOUN VERB ADJ NOUN ADP PRON VERB ADP ADJ NOUN	▁But ▁a ▁large ▁plate ▁of ▁bread ▁slice s , ▁nearly ▁in vis ible ▁beneath ▁a ▁gloss y ▁coating ▁of ▁dark ▁red ▁ jam , ▁caught ▁my ▁eye ▁as ▁I ▁walked ▁past ▁their ▁stall .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	CCONJ DET ADJ NOUN ADP NOUN NOUN NOUN NOUN ADV ADJ ADJ ADJ ADP DET ADJ ADJ NOUN ADP ADJ ADJ NOUN NOUN NOUN VERB ADJ NOUN ADP PRON VERB ADP ADJ NOUN NOUN
She caught the barman's eye and beamed contentedly at his hot red face as he sipped iced water, taking a brief rest.	0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PRON VERB DET NOUN NOUN CCONJ VERB ADV ADP ADJ ADJ ADJ NOUN ADP PRON VERB ADJ NOUN VERB DET ADJ NOUN	▁She ▁caught ▁the ▁bar man ' s ▁eye ▁and ▁beam ed ▁content ed ly ▁at ▁his ▁hot ▁red ▁face ▁as ▁he ▁si pped ▁ice d ▁water , ▁taking ▁a ▁brief ▁rest .	0 1 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET NOUN NOUN NOUN NOUN NOUN CCONJ VERB VERB ADV ADV ADV ADP ADJ ADJ ADJ NOUN ADP PRON VERB VERB ADJ ADJ NOUN NOUN VERB DET ADJ NOUN NOUN
This was an ingenious wheelchair attached to the front of a bicycle ; and lastly as I left, I had a word with Stefan Sielaff from Germany, who had designed a fantastic three - wheeled single seater vehicle in fibreglass, that was catching everyone's eye!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	DET VERB DET ADJ NOUN VERB ADP DET NOUN ADP DET NOUN PUNCT CCONJ ADV ADP PRON VERB PRON VERB DET NOUN ADP PROPN PROPN ADP PROPN NOUN VERB VERB DET ADJ NUM PUNCT ADJ ADJ NOUN NOUN ADP NOUN ADJ VERB VERB NOUN NOUN	▁This ▁was ▁an ▁in gen ious ▁wheelchair ▁attached ▁to ▁the ▁front ▁of ▁a ▁bicycle ▁ ; ▁and ▁lastly ▁as ▁I ▁left , ▁I ▁had ▁a ▁word ▁with ▁Ste fan ▁S iel aff ▁from ▁Germany , ▁who ▁had ▁designed ▁a ▁fan tas tic ▁three ▁- ▁wheeled ▁single ▁seat er ▁vehicle ▁in ▁fibre glass , ▁that ▁was ▁catching ▁everyone ' s ▁eye !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	DET VERB DET ADJ ADJ ADJ NOUN VERB ADP DET NOUN ADP DET NOUN PUNCT PUNCT CCONJ ADV ADP PRON VERB VERB PRON VERB DET NOUN ADP PROPN PROPN PROPN PROPN PROPN ADP PROPN PROPN NOUN VERB VERB DET ADJ ADJ ADJ NUM PUNCT ADJ ADJ NOUN NOUN NOUN ADP NOUN NOUN NOUN ADJ VERB VERB NOUN NOUN NOUN NOUN NOUN
Above us, on a ledge, the conspicuous white breast feathers of a male peregrine caught John's eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	ADP PRON ADP DET NOUN DET ADJ ADJ NOUN NOUN ADP DET ADJ NOUN VERB PROPN NOUN	▁Above ▁us , ▁on ▁a ▁led ge , ▁the ▁conspicuous ▁white ▁breast ▁feathers ▁of ▁a ▁male ▁per eg rine ▁caught ▁John ' s ▁eye .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	ADP PRON PRON ADP DET NOUN NOUN NOUN DET ADJ ADJ NOUN NOUN ADP DET ADJ NOUN NOUN NOUN VERB PROPN PROPN PROPN NOUN NOUN
Tom caught my eye behind her back and winked to acknowledge my presence on alien territory.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PROPN VERB ADJ NOUN ADP ADJ ADV CCONJ VERB PART VERB ADJ NOUN ADP ADJ NOUN	▁Tom ▁caught ▁my ▁eye ▁behind ▁her ▁back ▁and ▁win ked ▁to ▁acknowledge ▁my ▁presence ▁on ▁alien ▁territory .	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN VERB ADJ NOUN ADP ADJ ADV CCONJ VERB VERB PART VERB ADJ NOUN ADP ADJ NOUN NOUN
They kept their heads down in their books though they had long ceased to study, unwilling to catch his eye or even to breathe loudly.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	catch someone's eye	figurative	possessive	PRON VERB ADJ NOUN PART ADP ADJ NOUN ADP PRON VERB ADV VERB PART VERB ADJ PART VERB ADJ NOUN CCONJ ADV PART VERB ADV	▁They ▁kept ▁their ▁heads ▁down ▁in ▁their ▁books ▁though ▁they ▁had ▁long ▁ceased ▁to ▁study , ▁unwilling ▁to ▁catch ▁his ▁eye ▁or ▁even ▁to ▁breathe ▁loud ly .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	PRON VERB ADJ NOUN PART ADP ADJ NOUN ADP PRON VERB ADV VERB PART VERB VERB ADJ PART VERB ADJ NOUN CCONJ ADV PART VERB ADV ADV ADV
He thought he would do me a service by telling me that the Ice Princess who had caught my eye was right here, in Roma.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PRON VERB PRON VERB VERB PRON DET NOUN ADP VERB PRON ADP DET PROPN PROPN NOUN VERB VERB ADJ NOUN VERB ADV ADV ADP ADJ	▁He ▁thought ▁he ▁would ▁do ▁me ▁a ▁service ▁by ▁telling ▁me ▁that ▁the ▁I ce ▁Prince s s ▁who ▁had ▁caught ▁my ▁eye ▁was ▁right ▁here , ▁in ▁Roma . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	PRON VERB PRON VERB VERB PRON DET NOUN ADP VERB PRON ADP DET PROPN PROPN PROPN PROPN PROPN NOUN VERB VERB ADJ NOUN VERB ADV ADV ADV ADP ADJ ADJ ADJ
A pile of comics caught Willie's eye.	0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	DET NOUN ADP NOUN VERB PROPN NOUN	▁A ▁pile ▁of ▁com ics ▁caught ▁Will ie ' s ▁eye .	0 0 0 0 0 1 1 1 1 1 1 1	DET NOUN ADP NOUN NOUN VERB PROPN PROPN PROPN PROPN NOUN NOUN
We had gone about a hundred yards when one particular house caught my eye.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	PRON VERB VERB ADP DET NUM NOUN ADV NUM ADJ NOUN VERB ADJ NOUN	▁We ▁had ▁gone ▁about ▁a ▁hundred ▁yards ▁when ▁one ▁particular ▁house ▁caught ▁my ▁eye .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB VERB ADP DET NUM NOUN ADV NUM ADJ NOUN VERB ADJ NOUN NOUN
And then the doctor caught her eye.	0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	CCONJ ADV DET NOUN VERB ADJ NOUN	▁And ▁then ▁the ▁doctor ▁caught ▁her ▁eye .	0 0 0 0 1 1 1 1	CCONJ ADV DET NOUN VERB ADJ NOUN NOUN
David Beaton caught Eachuinn Odhar's eye, frowned, set a finger to his lips and shook his head.	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PROPN PROPN VERB PROPN PROPN NOUN VERB VERB DET NOUN ADP ADJ NOUN CCONJ VERB ADJ NOUN	▁David ▁Be a ton ▁caught ▁E ach uin n ▁O d har ' s ▁eye , ▁fr owned , ▁set ▁a ▁finger ▁to ▁his ▁lips ▁and ▁sh ook ▁his ▁head .	0 0 0 0 1 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN VERB PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN NOUN VERB VERB VERB VERB DET NOUN ADP ADJ NOUN CCONJ VERB VERB ADJ NOUN NOUN
There was a series of engravings on the wall which caught Katherine's eye : dark, sombre images where clusters of fraught figures seemed to howl.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	ADV VERB DET NOUN ADP NOUN ADP DET NOUN ADJ VERB PROPN NOUN PUNCT ADJ ADJ NOUN ADV NOUN ADP ADJ NOUN VERB ADP NOUN	▁There ▁was ▁a ▁series ▁of ▁en gra ving s ▁on ▁the ▁wall ▁which ▁caught ▁K ather ine ' s ▁eye ▁ : ▁dark , ▁so mbre ▁images ▁where ▁cluster s ▁of ▁f raught ▁figures ▁seemed ▁to ▁how l .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV VERB DET NOUN ADP NOUN NOUN NOUN NOUN ADP DET NOUN ADJ VERB PROPN PROPN PROPN PROPN PROPN NOUN PUNCT PUNCT ADJ ADJ ADJ ADJ NOUN ADV NOUN NOUN ADP ADJ ADJ NOUN VERB ADP NOUN NOUN NOUN
Piper managed to catch Bernice's eye, but the archaeologist only shrugged helplessly.	0 0 0 1 1 1 0 0 0 0 0 0	catch someone's eye	figurative	combined-other	NOUN VERB PART VERB PROPN NOUN CCONJ DET NOUN ADV VERB ADV	▁Pipe r ▁managed ▁to ▁catch ▁Bern ice ' s ▁eye , ▁but ▁the ▁arch a eo logist ▁only ▁sh rug g ed ▁help lessly .	0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN VERB PART VERB PROPN PROPN PROPN PROPN NOUN NOUN CCONJ DET NOUN NOUN NOUN NOUN ADV VERB VERB VERB VERB ADV ADV ADV
Then a mark on the back of the card caught her eye.	0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	ADV DET NOUN ADP DET NOUN ADP DET NOUN VERB ADJ NOUN	▁Then ▁a ▁mark ▁on ▁the ▁back ▁of ▁the ▁card ▁caught ▁her ▁eye .	0 0 0 0 0 0 0 0 0 1 1 1 1	ADV DET NOUN ADP DET NOUN ADP DET NOUN VERB ADJ NOUN NOUN
Seven goals in as many games caught Graham Taylor's eye but it all went wrong with a missed chance early in his England debut against Spain in September.	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	NUM NOUN ADP ADV ADJ NOUN VERB PROPN PROPN NOUN CCONJ PRON DET VERB ADJ ADP DET VERB NOUN ADV ADP ADJ PROPN NOUN ADP PROPN ADP PROPN	▁Seven ▁goals ▁in ▁as ▁many ▁games ▁caught ▁Gra ham ▁Taylor ' s ▁eye ▁but ▁it ▁all ▁went ▁wrong ▁with ▁a ▁missed ▁chance ▁early ▁in ▁his ▁England ▁de but ▁against ▁Spain ▁in ▁September .	0 0 0 0 0 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NUM NOUN ADP ADV ADJ NOUN VERB PROPN PROPN PROPN PROPN PROPN NOUN CCONJ PRON DET VERB ADJ ADP DET VERB NOUN ADV ADP ADJ PROPN NOUN NOUN ADP PROPN ADP PROPN PROPN
A moving spectator caught her eye as she swung and she hooked into sand on her way to the first of three successive bogeys.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	DET VERB NOUN VERB ADJ NOUN ADP PRON VERB CCONJ PRON VERB ADP NOUN ADP ADJ NOUN ADP DET ADJ ADP NUM ADJ NOUN	▁A ▁moving ▁spect ator ▁caught ▁her ▁eye ▁as ▁she ▁sw ung ▁and ▁she ▁hook ed ▁into ▁sand ▁on ▁her ▁way ▁to ▁the ▁first ▁of ▁three ▁successive ▁bog ey s .	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET VERB NOUN NOUN VERB ADJ NOUN ADP PRON VERB VERB CCONJ PRON VERB VERB ADP NOUN ADP ADJ NOUN ADP DET ADJ ADP NUM ADJ NOUN NOUN NOUN NOUN
nor yet confirm, my eyes were caught	0 0 0 1 1 0 1	catch someone's eye	figurative	misc	CCONJ ADV VERB ADJ NOUN VERB VERB	▁nor ▁yet ▁confirm , ▁my ▁eyes ▁were ▁caught	0 0 0 0 1 1 0 1	CCONJ ADV VERB VERB ADJ NOUN VERB VERB
If I don't want anything I, I just go in there and I think well I 'll just go and see I may see something which catches my eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	ADP PRON VERB VERB NOUN PRON PRON ADV VERB ADV ADV CCONJ PRON VERB INTJ PRON VERB ADV VERB CCONJ VERB PRON VERB VERB NOUN ADJ VERB ADJ NOUN	▁If ▁I ▁don ' t ▁want ▁anything ▁I , ▁I ▁just ▁go ▁in ▁there ▁and ▁I ▁think ▁well ▁I ▁' ll ▁just ▁go ▁and ▁see ▁I ▁may ▁see ▁something ▁which ▁catches ▁my ▁eye .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP PRON VERB VERB VERB VERB NOUN PRON PRON PRON ADV VERB ADV ADV CCONJ PRON VERB INTJ PRON VERB VERB ADV VERB CCONJ VERB PRON VERB VERB NOUN ADJ VERB ADJ NOUN NOUN
Sam tried to catch Evelyn's eye, but she was more than usually preoccupied.	0 0 0 1 1 1 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-other	PROPN VERB PART VERB PROPN NOUN CCONJ PRON VERB ADJ ADP ADV VERB	▁Sam ▁tried ▁to ▁catch ▁E vel yn ' s ▁eye , ▁but ▁she ▁was ▁more ▁than ▁usually ▁pre occupied .	0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0	PROPN VERB PART VERB PROPN PROPN PROPN PROPN PROPN NOUN NOUN CCONJ PRON VERB ADJ ADP ADV VERB VERB VERB
Gabriel turned so that Izzie could not catch his eye.	0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	possessive	PROPN VERB ADV ADP PROPN VERB ADV VERB ADJ NOUN	▁Ga br iel ▁turned ▁so ▁that ▁I zzi e ▁could ▁not ▁catch ▁his ▁eye .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PROPN PROPN PROPN VERB ADV ADP PROPN PROPN PROPN VERB ADV VERB ADJ NOUN NOUN
She stood by the window for some minutes, looking down into Hand and Ball Court, where an old tramp was feeling his way round the walls and trying not to catch people's eyes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	PRON VERB ADP DET NOUN ADP DET NOUN VERB PART ADP PROPN CCONJ PROPN PROPN ADV DET ADJ NOUN VERB VERB ADJ NOUN ADP DET NOUN CCONJ VERB ADV PART VERB NOUN NOUN	▁She ▁stood ▁by ▁the ▁window ▁for ▁some ▁minutes , ▁looking ▁down ▁into ▁Hand ▁and ▁Ball ▁Court , ▁where ▁an ▁old ▁tram p ▁was ▁feeling ▁his ▁way ▁round ▁the ▁walls ▁and ▁trying ▁not ▁to ▁catch ▁people ' s ▁eyes .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	PRON VERB ADP DET NOUN ADP DET NOUN NOUN VERB PART ADP PROPN CCONJ PROPN PROPN PROPN ADV DET ADJ NOUN NOUN VERB VERB ADJ NOUN ADP DET NOUN CCONJ VERB ADV PART VERB NOUN NOUN NOUN NOUN NOUN
She had caught his eye as she came down the aisle.	0 0 1 1 1 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PRON VERB VERB ADJ NOUN ADP PRON VERB ADP DET NOUN	▁She ▁had ▁caught ▁his ▁eye ▁as ▁she ▁came ▁down ▁the ▁a is le .	0 0 1 1 1 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADJ NOUN ADP PRON VERB ADP DET NOUN NOUN NOUN NOUN
As the Colonel began to swell up with rage, Pooley caught Milton's eye and shot him a warning glance.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	ADP DET PROPN VERB PART VERB PART ADP NOUN PROPN VERB PROPN NOUN CCONJ VERB PRON DET NOUN NOUN	▁As ▁the ▁Colonel ▁began ▁to ▁s well ▁up ▁with ▁r age , ▁Pool ey ▁caught ▁Mil ton ' s ▁eye ▁and ▁shot ▁him ▁a ▁warning ▁glance .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0	ADP DET PROPN VERB PART VERB VERB PART ADP NOUN NOUN NOUN PROPN PROPN VERB PROPN PROPN PROPN PROPN NOUN CCONJ VERB PRON DET NOUN NOUN NOUN
