More than one myth can be held ‘ in the mind’ at one and the same time.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	one and the same	figurative	identical	ADJ ADP NUM NOUN VERB VERB VERB PRON ADP DET NOUN ADP NUM CCONJ DET ADJ NOUN	▁More ▁than ▁one ▁my th ▁can ▁be ▁held ▁ ‘ ▁in ▁the ▁mind ’ ▁at ▁one ▁and ▁the ▁same ▁time .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	ADJ ADP NUM NOUN NOUN VERB VERB VERB PRON PRON ADP DET NOUN NOUN ADP NUM CCONJ DET ADJ NOUN NOUN
There is literally no social arena — from the strongest material relationship to the most subtle moral one — in which the possessing classes and a self - conscious proletariat could take one and the same position and figure as an undifferentiated whole.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	one and the same	figurative	identical	ADV VERB ADV DET ADJ NOUN PUNCT ADP DET ADJ NOUN NOUN ADP DET ADV ADJ ADJ NUM PUNCT ADP ADJ DET VERB NOUN CCONJ DET NOUN PUNCT ADJ NOUN VERB VERB NUM CCONJ DET ADJ NOUN CCONJ NOUN ADP DET ADJ NOUN	▁There ▁is ▁literally ▁no ▁social ▁are na ▁ — ▁from ▁the ▁strongest ▁material ▁relationship ▁to ▁the ▁most ▁sub tle ▁moral ▁one ▁ — ▁in ▁which ▁the ▁possess ing ▁classes ▁and ▁a ▁self ▁- ▁conscious ▁pro let ariat ▁could ▁take ▁one ▁and ▁the ▁same ▁position ▁and ▁figure ▁as ▁an ▁un differentiated ▁whole .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	ADV VERB ADV DET ADJ NOUN NOUN PUNCT PUNCT ADP DET ADJ NOUN NOUN ADP DET ADV ADJ ADJ ADJ NUM PUNCT PUNCT ADP ADJ DET VERB VERB NOUN CCONJ DET NOUN PUNCT ADJ NOUN NOUN NOUN VERB VERB NUM CCONJ DET ADJ NOUN CCONJ NOUN ADP DET ADJ ADJ NOUN NOUN
The committee was seriously convinced of the benefits that must result from an institution to cultivate and teach veterinary medicine ; the object of this committee's concern, and that of Vial, were one and the same ; and it was greatly to be desired that the two plans — that of the Odiham Agricultural Society and that of Vial—(which may be termed the Alfort plan ) should be consolidated into one.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	one and the same	figurative	identical	DET NOUN VERB ADV VERB ADP DET NOUN ADJ VERB VERB ADP DET NOUN PART VERB CCONJ VERB ADJ NOUN PUNCT DET NOUN ADP DET NOUN NOUN CCONJ DET ADP PROPN VERB NUM CCONJ DET ADJ PUNCT CCONJ PRON VERB ADV PART VERB VERB ADP DET NUM NOUN PUNCT DET ADP DET PROPN PROPN PROPN CCONJ DET ADP PROPN VERB VERB VERB DET PROPN NOUN PUNCT VERB VERB VERB ADP NUM	▁The ▁committee ▁was ▁seriously ▁convinced ▁of ▁the ▁benefits ▁that ▁must ▁result ▁from ▁an ▁institution ▁to ▁cultivat e ▁and ▁teach ▁veterinary ▁medicine ▁ ; ▁the ▁object ▁of ▁this ▁committee ' s ▁concern , ▁and ▁that ▁of ▁Vial , ▁were ▁one ▁and ▁the ▁same ▁ ; ▁and ▁it ▁was ▁greatly ▁to ▁be ▁desired ▁that ▁the ▁two ▁plans ▁ — ▁that ▁of ▁the ▁O di ham ▁Agricultural ▁Society ▁and ▁that ▁of ▁Vial — ( which ▁may ▁be ▁term ed ▁the ▁Al fort ▁plan ▁ ) ▁should ▁be ▁consolidated ▁into ▁one .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB ADV VERB ADP DET NOUN ADJ VERB VERB ADP DET NOUN PART VERB VERB CCONJ VERB ADJ NOUN PUNCT PUNCT DET NOUN ADP DET NOUN NOUN NOUN NOUN NOUN CCONJ DET ADP PROPN PROPN VERB NUM CCONJ DET ADJ PUNCT PUNCT CCONJ PRON VERB ADV PART VERB VERB ADP DET NUM NOUN PUNCT PUNCT DET ADP DET PROPN PROPN PROPN PROPN PROPN CCONJ DET ADP PROPN PROPN PROPN PROPN VERB VERB VERB VERB DET PROPN PROPN NOUN PUNCT PUNCT VERB VERB VERB ADP NUM NUM
This is because the two properties may coexist in one and the same expression.	0 0 0 0 0 0 0 0 0 1 1 0 1 0	one and the same	figurative	identical	DET VERB ADP DET NUM NOUN VERB VERB ADP NUM CCONJ DET ADJ NOUN	▁This ▁is ▁because ▁the ▁two ▁properties ▁may ▁coexist ▁in ▁one ▁and ▁the ▁same ▁expression .	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	DET VERB ADP DET NUM NOUN VERB VERB ADP NUM CCONJ DET ADJ NOUN NOUN
What people say and what people do is not always one and the same thing.	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	one and the same	figurative	identical	NOUN NOUN VERB CCONJ NOUN NOUN VERB VERB ADV ADV NUM CCONJ DET ADJ NOUN	▁What ▁people ▁say ▁and ▁what ▁people ▁do ▁is ▁not ▁always ▁one ▁and ▁the ▁same ▁thing .	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	NOUN NOUN VERB CCONJ NOUN NOUN VERB VERB ADV ADV NUM CCONJ DET ADJ NOUN NOUN
Our bodies are elements in this infinite physical system and our minds are elements in the all - comprehensive mind, and thus aspects of one and the same individual fragment of the total divine reality.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	one and the same	figurative	identical	ADJ NOUN VERB NOUN ADP DET ADJ ADJ NOUN CCONJ ADJ NOUN VERB NOUN ADP DET ADV PUNCT ADJ NOUN CCONJ ADV NOUN ADP NUM CCONJ DET ADJ ADJ NOUN ADP DET ADJ ADJ NOUN	▁Our ▁bodies ▁are ▁elements ▁in ▁this ▁in finite ▁physical ▁system ▁and ▁our ▁minds ▁are ▁elements ▁in ▁the ▁all ▁- ▁comprehensive ▁mind , ▁and ▁thus ▁aspects ▁of ▁one ▁and ▁the ▁same ▁individual ▁fragment ▁of ▁the ▁total ▁di vin e ▁reality .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB NOUN ADP DET ADJ ADJ ADJ NOUN CCONJ ADJ NOUN VERB NOUN ADP DET ADV PUNCT ADJ NOUN NOUN CCONJ ADV NOUN ADP NUM CCONJ DET ADJ ADJ NOUN ADP DET ADJ ADJ ADJ ADJ NOUN NOUN
It has been the sometimes unspoken assumption of these two parallel debates — whose spokespersons are often one and the same — that to be on the side of modernity and modernism is to be on the side of critical theory, and that to be a postmodernist is at the same time to be in sympathy with poststructuralism.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	one and the same	figurative	identical	PRON VERB VERB DET ADV ADJ NOUN ADP DET NUM ADJ NOUN PUNCT ADJ NOUN VERB ADV NUM CCONJ DET ADJ PUNCT DET PART VERB ADP DET NOUN ADP NOUN CCONJ NOUN VERB PART VERB ADP DET NOUN ADP ADJ NOUN CCONJ DET PART VERB DET NOUN VERB ADP DET ADJ NOUN PART VERB ADP NOUN ADP NOUN	▁It ▁has ▁been ▁the ▁sometimes ▁un s po ken ▁assumption ▁of ▁these ▁two ▁parallel ▁debates ▁ — ▁whose ▁spoke s persons ▁are ▁often ▁one ▁and ▁the ▁same ▁ — ▁that ▁to ▁be ▁on ▁the ▁side ▁of ▁modern ity ▁and ▁modern ism ▁is ▁to ▁be ▁on ▁the ▁side ▁of ▁critical ▁theory , ▁and ▁that ▁to ▁be ▁a ▁post mod ern ist ▁is ▁at ▁the ▁same ▁time ▁to ▁be ▁in ▁sympathy ▁with ▁post structural ism .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB DET ADV ADJ ADJ ADJ ADJ NOUN ADP DET NUM ADJ NOUN PUNCT PUNCT ADJ NOUN NOUN NOUN VERB ADV NUM CCONJ DET ADJ PUNCT PUNCT DET PART VERB ADP DET NOUN ADP NOUN NOUN CCONJ NOUN NOUN VERB PART VERB ADP DET NOUN ADP ADJ NOUN NOUN CCONJ DET PART VERB DET NOUN NOUN NOUN NOUN VERB ADP DET ADJ NOUN PART VERB ADP NOUN ADP NOUN NOUN NOUN NOUN
Secondly, it is very striking that this liberal disjunction between liberty and democracy so readily overlooks the fact that in history the struggle for democracy and the struggle for fundamental liberties have very often been one and the same.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	one and the same	figurative	identical	ADV PRON VERB ADV ADJ ADP DET ADJ NOUN ADP NOUN CCONJ NOUN ADV ADV VERB DET NOUN ADP ADP NOUN DET NOUN ADP NOUN CCONJ DET NOUN ADP ADJ NOUN VERB ADV ADV VERB NUM CCONJ DET ADJ	▁Secondly , ▁it ▁is ▁very ▁striking ▁that ▁this ▁liberal ▁dis junc tion ▁between ▁liberty ▁and ▁democracy ▁so ▁readily ▁overlook s ▁the ▁fact ▁that ▁in ▁history ▁the ▁struggle ▁for ▁democracy ▁and ▁the ▁struggle ▁for ▁fundamental ▁liberties ▁have ▁very ▁often ▁been ▁one ▁and ▁the ▁same .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	ADV ADV PRON VERB ADV ADJ ADP DET ADJ NOUN NOUN NOUN ADP NOUN CCONJ NOUN ADV ADV VERB VERB DET NOUN ADP ADP NOUN DET NOUN ADP NOUN CCONJ DET NOUN ADP ADJ NOUN VERB ADV ADV VERB NUM CCONJ DET ADJ ADJ
I now say : that to talk about perceived - as appearances, and to talk about what, on looking at things, listening to them, and so on, we would believe about them if we had no reason to think otherwise, are to talk about one and the same thing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	one and the same	figurative	identical	PRON ADV VERB PUNCT DET PART VERB ADP VERB PUNCT ADP NOUN CCONJ PART VERB ADP NOUN ADP VERB ADP NOUN VERB ADP PRON CCONJ ADV ADV PRON VERB VERB ADP PRON ADP PRON VERB DET NOUN PART VERB ADV VERB PART VERB ADP NUM CCONJ DET ADJ NOUN	▁I ▁now ▁say ▁ : ▁that ▁to ▁talk ▁about ▁perceived ▁- ▁as ▁appearance s , ▁and ▁to ▁talk ▁about ▁what , ▁on ▁looking ▁at ▁things , ▁listening ▁to ▁them , ▁and ▁so ▁on , ▁we ▁would ▁believe ▁about ▁them ▁if ▁we ▁had ▁no ▁reason ▁to ▁think ▁otherwise , ▁are ▁to ▁talk ▁about ▁one ▁and ▁the ▁same ▁thing .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	PRON ADV VERB PUNCT PUNCT DET PART VERB ADP VERB PUNCT ADP NOUN NOUN NOUN CCONJ PART VERB ADP NOUN NOUN ADP VERB ADP NOUN NOUN VERB ADP PRON PRON CCONJ ADV ADV ADV PRON VERB VERB ADP PRON ADP PRON VERB DET NOUN PART VERB ADV ADV VERB PART VERB ADP NUM CCONJ DET ADJ NOUN NOUN
Right well the next one Well seven and eight actually are one and the same.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	one and the same	figurative	identical	ADV INTJ DET ADJ NUM INTJ NUM CCONJ NUM ADV VERB NUM CCONJ DET ADJ	▁Right ▁well ▁the ▁next ▁one ▁Well ▁seven ▁and ▁eight ▁actually ▁are ▁one ▁and ▁the ▁same .	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	ADV INTJ DET ADJ NUM INTJ NUM CCONJ NUM ADV VERB NUM CCONJ DET ADJ ADJ
It is, therefore, a phase of male sexuality which is purportedly being portrayed with the result that female readers are frequently belittled and diminished as they read about girls who are at one and the same time both the object of male disgust and the arousers of male sexual interest.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	one and the same	figurative	identical	PRON VERB ADV DET NOUN ADP ADJ NOUN ADJ VERB ADV VERB VERB ADP DET NOUN ADP ADJ NOUN VERB ADV VERB CCONJ VERB ADP PRON VERB ADP NOUN NOUN VERB ADP NUM CCONJ DET ADJ NOUN CCONJ DET NOUN ADP ADJ NOUN CCONJ DET NOUN ADP ADJ ADJ NOUN	▁It ▁is , ▁therefore , ▁a ▁phase ▁of ▁male ▁sexual ity ▁which ▁is ▁purport ed ly ▁being ▁portray ed ▁with ▁the ▁result ▁that ▁female ▁readers ▁are ▁frequently ▁be li ttle d ▁and ▁diminished ▁as ▁they ▁read ▁about ▁girls ▁who ▁are ▁at ▁one ▁and ▁the ▁same ▁time ▁both ▁the ▁object ▁of ▁male ▁dis gus t ▁and ▁the ▁arouse rs ▁of ▁male ▁sexual ▁interest .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADV ADV DET NOUN ADP ADJ NOUN NOUN ADJ VERB ADV ADV ADV VERB VERB VERB ADP DET NOUN ADP ADJ NOUN VERB ADV VERB VERB VERB VERB CCONJ VERB ADP PRON VERB ADP NOUN NOUN VERB ADP NUM CCONJ DET ADJ NOUN CCONJ DET NOUN ADP ADJ NOUN NOUN NOUN CCONJ DET NOUN NOUN ADP ADJ ADJ NOUN NOUN
Completing the internal or single European market and 1992 are one and the same thing.	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	one and the same	figurative	identical	VERB DET ADJ CCONJ ADJ ADJ NOUN CCONJ NUM VERB NUM CCONJ DET ADJ NOUN	▁ Complet ing ▁the ▁internal ▁or ▁single ▁European ▁market ▁and ▁1992 ▁are ▁one ▁and ▁the ▁same ▁thing .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	VERB VERB VERB DET ADJ CCONJ ADJ ADJ NOUN CCONJ NUM VERB NUM CCONJ DET ADJ NOUN NOUN
Yet there is much to be said for thinking of the general, the ‘ disinterested’, and what I have called the theoretical as one and the same.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	one and the same	figurative	identical	CCONJ ADV VERB ADJ PART VERB VERB ADP NOUN ADP DET ADJ DET ADJ PROPN CCONJ NOUN PRON VERB VERB DET ADJ ADP NUM CCONJ DET ADJ	▁Yet ▁there ▁is ▁much ▁to ▁be ▁said ▁for ▁thinking ▁of ▁the ▁general , ▁the ▁ ‘ ▁dis interest ed ’ , ▁and ▁what ▁I ▁have ▁called ▁the ▁theoretical ▁as ▁one ▁and ▁the ▁same .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	CCONJ ADV VERB ADJ PART VERB VERB ADP NOUN ADP DET ADJ ADJ DET ADJ ADJ PROPN PROPN PROPN PROPN PROPN CCONJ NOUN PRON VERB VERB DET ADJ ADP NUM CCONJ DET ADJ ADJ
The egalitarianism by which aristocrats and their slaves shared in one and the same eucharist was extraordinary.	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	one and the same	figurative	identical	DET NOUN ADP ADJ NOUN CCONJ ADJ NOUN VERB ADP NUM CCONJ DET ADJ NOUN VERB ADJ	▁The ▁e gal itarian ism ▁by ▁which ▁a ris to crats ▁and ▁their ▁slave s ▁shared ▁in ▁one ▁and ▁the ▁same ▁eu char ist ▁was ▁extraordinary .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	DET NOUN NOUN NOUN NOUN ADP ADJ NOUN NOUN NOUN NOUN CCONJ ADJ NOUN NOUN VERB ADP NUM CCONJ DET ADJ NOUN NOUN NOUN VERB ADJ ADJ
At one and the same time advocacy for dispersal from big cities was related to proposals for planned development in the depressed regions.	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	one and the same	figurative	identical	ADP NUM CCONJ DET ADJ NOUN NOUN ADP NOUN ADP ADJ NOUN VERB VERB ADP NOUN ADP VERB NOUN ADP DET ADJ NOUN	▁At ▁one ▁and ▁the ▁same ▁time ▁ad vo c acy ▁for ▁ dispers al ▁from ▁big ▁cities ▁was ▁related ▁to ▁proposals ▁for ▁planned ▁development ▁in ▁the ▁depressed ▁regions .	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP NUM CCONJ DET ADJ NOUN NOUN NOUN NOUN NOUN ADP NOUN NOUN NOUN ADP ADJ NOUN VERB VERB ADP NOUN ADP VERB NOUN ADP DET ADJ NOUN NOUN
They think they 're one and the same, and that she was responsible for the attack.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	one and the same	figurative	identical	PRON VERB PRON VERB NUM CCONJ DET ADJ CCONJ ADP PRON VERB ADJ ADP DET NOUN	▁They ▁think ▁they ▁' re ▁one ▁and ▁the ▁same , ▁and ▁that ▁she ▁was ▁responsible ▁for ▁the ▁attack .	0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0	PRON VERB PRON VERB VERB NUM CCONJ DET ADJ ADJ CCONJ ADP PRON VERB ADJ ADP DET NOUN NOUN
History was sex, French was sex, art was sex, the Bible, poetry, penfriends, games, music, everything was sex except biology which was obviously sex but obviously not really sex, not the one which was secret and ecstatic and wicked and a sacrament and all the things it was supposed to be at one and the same time — I got that in the boiler room and it turned out to be biology after all.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	one and the same	figurative	identical	NOUN VERB NOUN PROPN VERB NOUN NOUN VERB NOUN DET PROPN NOUN NOUN NOUN NOUN NOUN VERB NOUN ADP NOUN ADJ VERB ADV NOUN CCONJ ADV ADV ADV NOUN ADV DET NOUN ADJ VERB ADJ CCONJ ADJ CCONJ ADJ CCONJ DET NOUN CCONJ ADJ DET NOUN PRON VERB VERB PART VERB ADP NUM CCONJ DET ADJ NOUN PUNCT PRON VERB DET ADP DET NOUN NOUN CCONJ PRON VERB PART PART VERB NOUN ADV ADV	▁History ▁was ▁sex , ▁French ▁was ▁sex , ▁art ▁was ▁sex , ▁the ▁B ible , ▁poet ry , ▁pen fri ends , ▁games , ▁music , ▁everything ▁was ▁sex ▁except ▁biology ▁which ▁was ▁obviously ▁sex ▁but ▁obviously ▁not ▁really ▁sex , ▁not ▁the ▁one ▁which ▁was ▁secret ▁and ▁ec static ▁and ▁wicked ▁and ▁a ▁sacr ament ▁and ▁all ▁the ▁things ▁it ▁was ▁supposed ▁to ▁be ▁at ▁one ▁and ▁the ▁same ▁time ▁ — ▁I ▁got ▁that ▁in ▁the ▁boiler ▁room ▁and ▁it ▁turned ▁out ▁to ▁be ▁biology ▁after ▁all .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN VERB NOUN NOUN PROPN VERB NOUN NOUN NOUN VERB NOUN NOUN DET PROPN PROPN PROPN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN VERB NOUN ADP NOUN ADJ VERB ADV NOUN CCONJ ADV ADV ADV NOUN NOUN ADV DET NOUN ADJ VERB ADJ CCONJ ADJ ADJ CCONJ ADJ CCONJ DET NOUN NOUN CCONJ ADJ DET NOUN PRON VERB VERB PART VERB ADP NUM CCONJ DET ADJ NOUN PUNCT PUNCT PRON VERB DET ADP DET NOUN NOUN CCONJ PRON VERB PART PART VERB NOUN ADV ADV ADV
What these anomalies mean is that within one and the same constituency the price paid in first - preference votes for the election of a TD varies greatly.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	one and the same	figurative	identical	NOUN DET NOUN VERB VERB ADP ADP NUM CCONJ DET ADJ NOUN DET NOUN VERB ADP ADJ PUNCT NOUN NOUN ADP DET NOUN ADP DET NOUN VERB ADV	▁What ▁these ▁anomalies ▁mean ▁is ▁that ▁within ▁one ▁and ▁the ▁same ▁constituency ▁the ▁price ▁paid ▁in ▁first ▁- ▁preference ▁votes ▁for ▁the ▁election ▁of ▁a ▁TD ▁varies ▁greatly .	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN DET NOUN VERB VERB ADP ADP NUM CCONJ DET ADJ NOUN DET NOUN VERB ADP ADJ PUNCT NOUN NOUN ADP DET NOUN ADP DET NOUN VERB ADV ADV
But meanwhile this is the supposition on which we proceed ; we assume that there is only one price in the market at one and the same time ; it being understood that separate allowance is made, when necessary, for differences in the expense of delivering goods to dealers in different parts of the market ; including allowance for the special expenses of retailing, if it is a retail market.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	one and the same	figurative	identical	CCONJ ADV DET VERB DET NOUN ADP ADJ PRON VERB PUNCT PRON VERB ADP ADV VERB ADV NUM NOUN ADP DET NOUN ADP NUM CCONJ DET ADJ NOUN PUNCT PRON VERB VERB ADP ADJ NOUN VERB VERB ADV ADJ ADP NOUN ADP DET NOUN ADP VERB NOUN ADP NOUN ADP ADJ NOUN ADP DET NOUN PUNCT VERB NOUN ADP DET ADJ NOUN ADP NOUN ADP PRON VERB DET ADJ NOUN	▁But ▁meanwhile ▁this ▁is ▁the ▁sup position ▁on ▁which ▁we ▁proceed ▁ ; ▁we ▁assume ▁that ▁there ▁is ▁only ▁one ▁price ▁in ▁the ▁market ▁at ▁one ▁and ▁the ▁same ▁time ▁ ; ▁it ▁being ▁understood ▁that ▁separate ▁allowance ▁is ▁made , ▁when ▁necessary , ▁for ▁differences ▁in ▁the ▁expense ▁of ▁delivering ▁goods ▁to ▁dealers ▁in ▁different ▁parts ▁of ▁the ▁market ▁ ; ▁including ▁allowance ▁for ▁the ▁special ▁expenses ▁of ▁retail ing , ▁if ▁it ▁is ▁a ▁retail ▁market .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADV DET VERB DET NOUN NOUN ADP ADJ PRON VERB PUNCT PUNCT PRON VERB ADP ADV VERB ADV NUM NOUN ADP DET NOUN ADP NUM CCONJ DET ADJ NOUN PUNCT PUNCT PRON VERB VERB ADP ADJ NOUN VERB VERB VERB ADV ADJ ADJ ADP NOUN ADP DET NOUN ADP VERB NOUN ADP NOUN ADP ADJ NOUN ADP DET NOUN PUNCT PUNCT VERB NOUN ADP DET ADJ NOUN ADP NOUN NOUN NOUN ADP PRON VERB DET ADJ NOUN NOUN
one and the same?	1 1 0 1	one and the same	figurative	identical	NUM CCONJ DET ADJ	▁one ▁and ▁the ▁same ?	1 1 0 1 1	NUM CCONJ DET ADJ ADJ
Religion, morality, and a social sense - the chief elements in the higher side of man — were originally one and the same thing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	one and the same	figurative	identical	NOUN NOUN CCONJ DET ADJ NOUN PUNCT DET ADJ NOUN ADP DET ADJ NOUN ADP NOUN PUNCT VERB ADV NUM CCONJ DET ADJ NOUN	▁R elig ion , ▁morality , ▁and ▁a ▁social ▁sense ▁- ▁the ▁chief ▁elements ▁in ▁the ▁higher ▁side ▁of ▁man ▁ — ▁were ▁originally ▁one ▁and ▁the ▁same ▁thing .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	NOUN NOUN NOUN NOUN NOUN NOUN CCONJ DET ADJ NOUN PUNCT DET ADJ NOUN ADP DET ADJ NOUN ADP NOUN PUNCT PUNCT VERB ADV NUM CCONJ DET ADJ NOUN NOUN
We assumed that Elsie's death explained her disappearance, that the two events were one and the same thing.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	one and the same	figurative	identical	PRON VERB ADP PROPN NOUN VERB ADJ NOUN ADP DET NUM NOUN VERB NUM CCONJ DET ADJ NOUN	▁We ▁assumed ▁that ▁El s ie ' s ▁death ▁explained ▁her ▁disappearance , ▁that ▁the ▁two ▁events ▁were ▁one ▁and ▁the ▁same ▁thing .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	PRON VERB ADP PROPN PROPN PROPN PROPN PROPN NOUN VERB ADJ NOUN NOUN ADP DET NUM NOUN VERB NUM CCONJ DET ADJ NOUN NOUN
