They are also a way of injecting new blood into the Fair.	0 0 0 0 0 0 0 1 1 0 0 0	new blood	figurative	identical	PRON VERB ADV DET NOUN ADP VERB ADJ NOUN ADP DET PROPN	▁They ▁are ▁also ▁a ▁way ▁of ▁injecting ▁new ▁blood ▁into ▁the ▁Fair .	0 0 0 0 0 0 0 1 1 0 0 0 0	PRON VERB ADV DET NOUN ADP VERB ADJ NOUN ADP DET PROPN PROPN
Old university pecking order draws new blood	0 0 0 0 0 1 1	new blood	figurative	identical	ADJ NOUN VERB NOUN VERB ADJ NOUN	▁Old ▁university ▁p eck ing ▁order ▁draws ▁new ▁blood	0 0 0 0 0 0 0 1 1	ADJ NOUN VERB VERB VERB NOUN VERB ADJ NOUN
Chairman Dick Corden, looking for new blood on the board, said : ‘ I 'll be happy to finish fifth from bottom.’	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	PROPN PROPN PROPN VERB ADP ADJ NOUN ADP DET NOUN VERB PUNCT PUNCT PRON VERB VERB ADJ PART VERB ADV ADP NOUN	▁Chairman ▁D ick ▁Cor den , ▁looking ▁for ▁new ▁blood ▁on ▁the ▁board , ▁said ▁ : ▁ ‘ ▁I ▁' ll ▁be ▁happy ▁to ▁finish ▁fifth ▁from ▁bottom . ’	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN VERB ADP ADJ NOUN ADP DET NOUN NOUN VERB PUNCT PUNCT PUNCT PUNCT PRON VERB VERB VERB ADJ PART VERB ADV ADP NOUN NOUN NOUN
With 800–900 of Switzerland's 2300 professors due to retire before the end of the decade, the Swiss have taken a leaf out of Britain's book and set up a scheme for appointing ‘ new blood’ assistant professors at the rate of 300 in each of the next two four - year planning periods.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	dashes	ADP NUM ADP PROPN NUM NOUN ADP ADP NOUN ADP DET NOUN ADP DET NOUN DET PROPN VERB VERB DET NOUN ADP ADP PROPN NOUN CCONJ VERB PART DET NOUN ADP VERB ADJ ADJ ADJ NOUN NOUN ADP DET NOUN ADP NUM ADP DET ADP DET ADJ NUM NUM PUNCT NOUN NOUN NOUN	▁With ▁800 – 900 ▁of ▁Switzerland ' s ▁2 300 ▁professor s ▁due ▁to ▁retire ▁before ▁the ▁end ▁of ▁the ▁decade , ▁the ▁Swiss ▁have ▁taken ▁a ▁leaf ▁out ▁of ▁Britain ' s ▁book ▁and ▁set ▁up ▁a ▁scheme ▁for ▁a ppointing ▁ ‘ ▁new ▁blood ’ ▁assistant ▁professor s ▁at ▁the ▁rate ▁of ▁300 ▁in ▁each ▁of ▁the ▁next ▁two ▁four ▁- ▁year ▁planning ▁periods .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP NUM NUM NUM ADP PROPN PROPN PROPN NUM NUM NOUN NOUN ADP ADP NOUN ADP DET NOUN ADP DET NOUN NOUN DET PROPN VERB VERB DET NOUN ADP ADP PROPN PROPN PROPN NOUN CCONJ VERB PART DET NOUN ADP VERB VERB ADJ ADJ ADJ ADJ ADJ NOUN NOUN NOUN ADP DET NOUN ADP NUM ADP DET ADP DET ADJ NUM NUM PUNCT NOUN NOUN NOUN NOUN
They will be much better against Australia, and some new blood will be inevitable.	0 0 0 0 0 0 0 0 0 1 1 0 0 0	new blood	figurative	identical	PRON VERB VERB ADV ADJ ADP PROPN CCONJ DET ADJ NOUN VERB VERB ADJ	▁They ▁will ▁be ▁much ▁better ▁against ▁Australia , ▁and ▁some ▁new ▁blood ▁will ▁be ▁inevitable .	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	PRON VERB VERB ADV ADJ ADP PROPN PROPN CCONJ DET ADJ NOUN VERB VERB ADJ ADJ
That's why I need some new blood in the design department.	0 0 0 0 0 1 1 0 0 0 0	new blood	figurative	identical	DET ADV PRON VERB DET ADJ NOUN ADP DET NOUN NOUN	▁That ' s ▁why ▁I ▁need ▁some ▁new ▁blood ▁in ▁the ▁design ▁department .	0 0 0 0 0 0 0 1 1 0 0 0 0 0	DET DET DET ADV PRON VERB DET ADJ NOUN ADP DET NOUN NOUN NOUN
But it needed new blood.	0 0 0 1 1	new blood	figurative	identical	CCONJ PRON VERB ADJ NOUN	▁But ▁it ▁needed ▁new ▁blood .	0 0 0 1 1 1	CCONJ PRON VERB ADJ NOUN NOUN
Speaking of luck, there's a colt I want to buy not far from Lexington — came up for sale just when I was thinking of getting in some new blood.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	new blood	figurative	identical	VERB ADP NOUN ADV DET NOUN PRON VERB PART VERB ADV ADV ADP PROPN PUNCT VERB PART ADP NOUN ADV ADV PRON VERB VERB ADP VERB ADP DET ADJ NOUN	▁Speak ing ▁of ▁luck , ▁there ' s ▁a ▁col t ▁I ▁want ▁to ▁buy ▁not ▁far ▁from ▁L ex ing ton ▁ — ▁came ▁up ▁for ▁sale ▁just ▁when ▁I ▁was ▁thinking ▁of ▁gett ing ▁in ▁some ▁new ▁blood .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	VERB VERB ADP NOUN NOUN ADV ADV ADV DET NOUN NOUN PRON VERB PART VERB ADV ADV ADP PROPN PROPN PROPN PROPN PUNCT PUNCT VERB PART ADP NOUN ADV ADV PRON VERB VERB ADP VERB VERB ADP DET ADJ NOUN NOUN
The business was in need of new blood, he had a widowed mother to consider, and his lineage through Nathan, Lyon and Lazarus claimed priestly — not to say professional — satisfaction.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	DET NOUN VERB ADP NOUN ADP ADJ NOUN PRON VERB DET VERB NOUN PART VERB CCONJ ADJ NOUN ADP PROPN PROPN CCONJ PROPN VERB ADV PUNCT ADV PART VERB ADJ PUNCT NOUN	▁The ▁business ▁was ▁in ▁need ▁of ▁new ▁blood , ▁he ▁had ▁a ▁widow ed ▁mother ▁to ▁consider , ▁and ▁his ▁line age ▁through ▁Na than , ▁Lyon ▁and ▁L azar us ▁claimed ▁priest ly ▁ — ▁not ▁to ▁say ▁professional ▁ — ▁satisfaction .	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB ADP NOUN ADP ADJ NOUN NOUN PRON VERB DET VERB VERB NOUN PART VERB VERB CCONJ ADJ NOUN NOUN ADP PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN VERB ADV ADV PUNCT PUNCT ADV PART VERB ADJ PUNCT PUNCT NOUN NOUN
These more remote areas were ‘ dying’ agriculturally as they could neither keep the present generation nor attract ‘ new blood’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	new blood	figurative	dashes	DET ADV ADJ NOUN VERB PUNCT NOUN ADV ADP PRON VERB CCONJ VERB DET ADJ NOUN CCONJ VERB ADJ ADJ NOUN	▁These ▁more ▁remote ▁areas ▁were ▁ ‘ ▁dying ’ ▁agricultural ly ▁as ▁they ▁could ▁neither ▁keep ▁the ▁present ▁generation ▁nor ▁attract ▁ ‘ ▁new ▁blood ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	DET ADV ADJ NOUN VERB PUNCT PUNCT NOUN NOUN ADV ADV ADP PRON VERB CCONJ VERB DET ADJ NOUN CCONJ VERB ADJ ADJ ADJ NOUN NOUN NOUN
‘ It's good to get new blood as it gives us more spark.’	0 0 0 0 0 1 1 0 0 0 0 0 0	new blood	figurative	identical	PUNCT PRON ADJ PART VERB ADJ NOUN ADP PRON VERB PRON ADJ NOUN	▁ ‘ ▁It ' s ▁good ▁to ▁get ▁new ▁blood ▁as ▁it ▁gives ▁us ▁more ▁spark . ’	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON PRON PRON ADJ PART VERB ADJ NOUN ADP PRON VERB PRON ADJ NOUN NOUN NOUN
As noted earlier, a number of attempts have been made to overcome the problems of those early days On more than one occasion " new blood " has been introduced in the form of teachers and others who were thought by the panel to have something to offer in fields with which the project was concerned.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	ADP VERB ADV DET NOUN ADP NOUN VERB VERB VERB PART VERB DET NOUN ADP DET ADJ NOUN ADP ADJ ADP NUM NOUN PUNCT ADJ NOUN PUNCT VERB VERB VERB ADP DET NOUN ADP NOUN CCONJ NOUN NOUN VERB VERB ADP DET NOUN PART VERB NOUN PART VERB ADP NOUN ADP ADJ DET NOUN VERB VERB	▁As ▁noted ▁earlier , ▁a ▁number ▁of ▁attempts ▁have ▁been ▁made ▁to ▁overcome ▁the ▁problems ▁of ▁those ▁early ▁days ▁On ▁more ▁than ▁one ▁occasion ▁" ▁new ▁blood ▁" ▁has ▁been ▁introduced ▁in ▁the ▁form ▁of ▁teachers ▁and ▁others ▁who ▁were ▁thought ▁by ▁the ▁panel ▁to ▁have ▁something ▁to ▁offer ▁in ▁fields ▁with ▁which ▁the ▁project ▁was ▁concerned .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP VERB ADV ADV DET NOUN ADP NOUN VERB VERB VERB PART VERB DET NOUN ADP DET ADJ NOUN ADP ADJ ADP NUM NOUN PUNCT ADJ NOUN PUNCT VERB VERB VERB ADP DET NOUN ADP NOUN CCONJ NOUN NOUN VERB VERB ADP DET NOUN PART VERB NOUN PART VERB ADP NOUN ADP ADJ DET NOUN VERB VERB VERB
Three state art academies ensure the necessary supply of creative new blood.	0 0 0 0 0 0 0 0 0 0 1 1	new blood	figurative	identical	NUM NOUN NOUN NOUN VERB DET ADJ NOUN ADP ADJ ADJ NOUN	▁Three ▁state ▁art ▁a cade m ies ▁ensure ▁the ▁necessary ▁supply ▁of ▁creative ▁new ▁blood .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	NUM NOUN NOUN NOUN NOUN NOUN NOUN VERB DET ADJ NOUN ADP ADJ ADJ NOUN NOUN
Characterised by confusion over aims and changes of membership, the panel made a number of false starts and fresh starts with the injection of new blood to try to give more direction to its work.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	VERB ADP NOUN ADP NOUN CCONJ NOUN ADP NOUN DET NOUN VERB DET NOUN ADP ADJ NOUN CCONJ ADJ NOUN ADP DET NOUN ADP ADJ NOUN PART VERB PART VERB ADJ NOUN ADP ADJ NOUN	▁Chara c ter ised ▁by ▁confusion ▁over ▁aims ▁and ▁changes ▁of ▁membership , ▁the ▁panel ▁made ▁a ▁number ▁of ▁false ▁starts ▁and ▁fresh ▁starts ▁with ▁the ▁injection ▁of ▁new ▁blood ▁to ▁try ▁to ▁give ▁more ▁direction ▁to ▁its ▁work .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	VERB VERB VERB VERB ADP NOUN ADP NOUN CCONJ NOUN ADP NOUN NOUN DET NOUN VERB DET NOUN ADP ADJ NOUN CCONJ ADJ NOUN ADP DET NOUN ADP ADJ NOUN PART VERB PART VERB ADJ NOUN ADP ADJ NOUN NOUN
In 1927–8, however, the party was rejuvenated by an influx of new blood from a second generation of young intellectuals, on the one hand the Surrealists — Breton, Aragon, Eluard, Peret and Unik —and on the other, the Marxist " Philosophies " group comprising Politzer, Lefebvre, Nizan, Morhange and Guterman.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	ADP NUM ADV DET NOUN VERB VERB ADP DET NOUN ADP ADJ NOUN ADP DET ADJ NOUN ADP ADJ NOUN ADP DET NUM NOUN DET PROPN PUNCT PROPN PROPN PROPN PROPN CCONJ PROPN PROPN ADP DET ADJ DET ADJ PUNCT NOUN PUNCT NOUN VERB PROPN PROPN PROPN PROPN CCONJ PROPN	▁In ▁19 27 – 8, ▁however , ▁the ▁party ▁was ▁re ju ven ated ▁by ▁an ▁in flu x ▁of ▁new ▁blood ▁from ▁a ▁second ▁generation ▁of ▁young ▁intellectual s , ▁on ▁the ▁one ▁hand ▁the ▁Sur real ists ▁ — ▁Bre ton , ▁Ar agon , ▁E lu ard , ▁Per et ▁and ▁Un ik ▁ — and ▁on ▁the ▁other , ▁the ▁Mar x ist ▁" ▁P hil os oph ies ▁" ▁group ▁comprising ▁Poli t zer , ▁Le fe bv re , ▁N iz an , ▁Mor hang e ▁and ▁Gu term an .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP NUM NUM NUM NUM ADV ADV DET NOUN VERB VERB VERB VERB VERB ADP DET NOUN NOUN NOUN ADP ADJ NOUN ADP DET ADJ NOUN ADP ADJ NOUN NOUN NOUN ADP DET NUM NOUN DET PROPN PROPN PROPN PUNCT PUNCT PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN ADP DET ADJ ADJ DET ADJ ADJ ADJ PUNCT NOUN NOUN NOUN NOUN NOUN PUNCT NOUN VERB PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN
JIM Maxmin, Laura Ashley's ebullient new American chief executive, may be just the sort of new blood the company needs, but his transatlantic marketing speak sits uncomfortably with the brand's image.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	PROPN PROPN PROPN PROPN ADJ ADJ ADJ ADJ NOUN VERB VERB ADV DET NOUN ADP ADJ NOUN DET NOUN VERB CCONJ ADJ ADJ NOUN NOUN VERB ADV ADP DET NOUN NOUN	▁J IM ▁Max min , ▁La ura ▁Ash ley ' s ▁e b ull ient ▁new ▁American ▁chief ▁executive , ▁may ▁be ▁just ▁the ▁sort ▁of ▁new ▁blood ▁the ▁company ▁needs , ▁but ▁his ▁trans atlantic ▁marketing ▁speak ▁sit s ▁un com for tably ▁with ▁the ▁brand ' s ▁image .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADJ ADJ ADJ ADJ ADJ ADJ ADJ NOUN NOUN VERB VERB ADV DET NOUN ADP ADJ NOUN DET NOUN VERB VERB CCONJ ADJ ADJ ADJ NOUN NOUN VERB VERB ADV ADV ADV ADV ADP DET NOUN NOUN NOUN NOUN NOUN
Still, it's a good thing from the hunt's point of view that new blood is coming along, surely?	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	new blood	figurative	identical	ADV PRON DET ADJ NOUN ADP DET NOUN NOUN ADP NOUN ADP ADJ NOUN VERB VERB ADV ADV	▁Still , ▁it ' s ▁a ▁good ▁thing ▁from ▁the ▁hunt ' s ▁point ▁of ▁view ▁that ▁new ▁blood ▁is ▁coming ▁along , ▁surely ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	ADV ADV PRON PRON PRON DET ADJ NOUN ADP DET NOUN NOUN NOUN NOUN ADP NOUN ADP ADJ NOUN VERB VERB ADV ADV ADV ADV
Peter said that although fifth was a respectable position he felt the team was capable of pushing for the top spot and added the society was eager for new blood.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	new blood	figurative	identical	PROPN VERB ADP ADP ADJ VERB DET ADJ NOUN PRON VERB DET NOUN VERB ADJ ADP VERB ADP DET ADJ NOUN CCONJ VERB DET NOUN VERB ADJ ADP ADJ NOUN	▁Peter ▁said ▁that ▁although ▁fifth ▁was ▁a ▁respect able ▁position ▁he ▁felt ▁the ▁team ▁was ▁capable ▁of ▁pushing ▁for ▁the ▁top ▁spot ▁and ▁added ▁the ▁society ▁was ▁eager ▁for ▁new ▁blood .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	PROPN VERB ADP ADP ADJ VERB DET ADJ ADJ NOUN PRON VERB DET NOUN VERB ADJ ADP VERB ADP DET ADJ NOUN CCONJ VERB DET NOUN VERB ADJ ADP ADJ NOUN NOUN
And Douglas will retire soon, I think, so we can have new blood at the foreign office.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	new blood	figurative	identical	CCONJ PROPN VERB VERB ADV PRON VERB ADV PRON VERB VERB ADJ NOUN ADP DET ADJ NOUN	▁And ▁Douglas ▁will ▁retire ▁soon , ▁I ▁think , ▁so ▁we ▁can ▁have ▁new ▁blood ▁at ▁the ▁foreign ▁office .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	CCONJ PROPN VERB VERB ADV ADV PRON VERB VERB ADV PRON VERB VERB ADJ NOUN ADP DET ADJ NOUN NOUN
